transaction_id,student_id,book_id,issue_date,return_date,status
T00077,S0523,B03340,2025-06-12,2025-07-15,Issued
T00078,S0502,B03775,2025-08-11,2026-02-25,Issued
T00079,S0068,B03708,2026-06-14,2026-06-16,Issued
T00080,S0633,B02098,2026-04-26,2026-07-10,Issued
T00081,S0651,B03877,2025-03-03,2025-12-06,Returned
T00082,S0674,B03113,2025-02-03,2026-01-03,Late Return
T00083,S0710,B03520,2025-09-08,2026-01-08,Issued
T00084,S0181,B01573,2025-12-05,2026-04-09,Issued
T00085,S0345,B01014,2024-12-04,2026-02-14,Late Return
T00086,S0275,B04719,2026-06-24,2026-08-14,Late Return
T00087,S0129,B03653,2025-04-25,2025-07-21,Late Return
T00088,S0269,B04713,2026-05-31,2026-06-14,Issued
T00089,S0551,B00026,2025-03-02,2026-06-16,Issued
T00090,S0240,B03216,2026-04-17,2026-07-10,Issued
T00091,S0426,B00779,2026-02-28,2026-07-30,Late Return
T00092,S0242,B04916,2025-10-02,2026-03-25,Late Return
T00093,S0488,B03522,2024-09-30,2026-01-08,Issued
T00094,S0077,B01894,2025-01-24,2025-11-10,Returned
T00095,S0672,B01150,2025-05-31,2026-03-29,Returned
T00096,S0803,B02232,2026-01-03,2026-05-30,Returned
T00097,S0316,B01842,2026-07-15,2026-08-07,Late Return
T00098,S0365,B01466,2025-07-10,2026-05-25,Returned
T00099,S0923,B03795,2024-11-04,2026-03-18,Returned
T00100,S0881,B01202,2025-07-20,2026-08-11,Late Return
T00101,S0814,B02291,2025-06-20,2026-01-29,Returned
T00102,S0529,B02782,2025-06-27,2025-07-04,Late Return
T00103,S0455,B02471,2025-09-15,2025-12-30,Late Return
T00104,S0724,B02752,2026-01-08,2026-05-25,Returned
T00105,S0253,B00116,2025-04-09,2026-04-19,Late Return
T00106,S0551,B04477,2024-10-21,2025-01-24,Late Return
T00107,S0811,B01054,2025-04-01,2026-06-26,Issued
T00108,S0859,B04933,2025-03-09,2025-11-09,Returned
T00109,S0812,B00315,2026-05-11,2026-07-22,Late Return
T00110,S0555,B02136,2024-11-18,2026-06-04,Late Return
T00111,S0195,B04666,2026-05-14,2026-05-17,Issued
T00112,S0142,B00569,2025-10-03,2026-08-11,Returned
T00113,S0368,B00095,2024-09-02,2025-06-22,Late Return
T00114,S0697,B03674,2025-02-25,2026-07-23,Returned
T00115,S0694,B03477,2024-12-22,2025-07-24,Returned
T00116,S0652,B00029,2024-08-23,2025-01-25,Late Return
T00117,S0714,B02659,2025-02-12,2025-11-12,Issued
T00118,S0697,B03105,2025-02-01,2025-09-25,Late Return
T00119,S0391,B03744,2026-01-13,2026-07-10,Issued
T00120,S0433,B03753,2025-02-19,2026-05-03,Issued
T00121,S0378,B00702,2026-04-26,2026-05-23,Issued
T00122,S0227,B03821,2025-12-15,2026-01-01,Late Return
T00123,S0503,B01222,2024-08-19,2024-12-13,Returned
T00124,S0166,B02232,2024-11-15,2025-12-27,Issued
T00125,S0357,B01060,2025-11-24,2026-05-01,Issued
T00126,S0945,B01592,2025-08-12,2025-11-09,Issued
T00127,S0813,B00056,2025-07-25,2025-11-06,Issued
T00128,S0915,B00358,2026-01-02,2026-05-14,Late Return
T00129,S0543,B00630,2025-02-11,2026-05-03,Issued
T00130,S0163,B04566,2024-09-24,2026-04-03,Issued
T00131,S0363,B02185,2025-06-28,2026-04-26,Issued
T00132,S0401,B01956,2025-01-18,2026-06-10,Late Return
T00133,S0312,B04236,2026-01-12,2026-07-04,Late Return
T00134,S0568,B01402,2025-09-04,2025-11-16,Issued
T00135,S0045,B03461,2025-01-02,2025-08-17,Issued
T00136,S0313,B00289,2025-03-31,2025-08-12,Late Return
T00137,S0079,B00292,2025-09-02,2025-12-24,Late Return
T00138,S0989,B00665,2025-05-08,2025-11-20,Issued
T00139,S0701,B02633,2024-08-06,2025-05-23,Returned
T00140,S0033,B03012,2025-05-31,2025-11-03,Returned
T00141,S0804,B03759,2025-11-11,2026-04-05,Issued
T00142,S0125,B03582,2024-11-07,2026-08-12,Late Return
T00143,S0493,B01319,2025-11-08,2026-02-07,Late Return
T00144,S0053,B01580,2026-05-03,2026-06-12,Issued
T00145,S0287,B02628,2026-03-21,2026-06-05,Returned
T00146,S0036,B02976,2025-10-07,2026-03-05,Issued
T00147,S0312,B02337,2026-06-02,2026-07-16,Returned
T00148,S0661,B02212,2026-06-11,2026-07-30,Issued
T00149,S0236,B04312,2025-06-29,2025-12-09,Issued
T00150,S0342,B01067,2026-03-22,2026-06-22,Returned
T00151,S0888,B04892,2025-08-27,2025-10-11,Issued
T00152,S0610,B02434,2026-07-06,2026-08-15,Issued
T00153,S0297,B04408,2025-03-22,2025-05-30,Late Return
T00154,S0353,B03551,2025-04-05,2025-10-14,Issued
T00155,S0838,B02249,2025-01-24,2025-10-28,Issued
T00156,S0292,B01791,2024-08-10,2026-05-24,Returned
T00157,S0994,B02777,2026-06-28,2026-07-19,Returned
T00158,S0254,B02998,2026-06-19,2026-08-02,Issued
T00159,S0345,B00690,2025-12-26,2026-06-03,Issued
T00160,S0119,B00067,2025-11-15,2026-03-22,Issued
T00161,S0697,B00235,2024-09-05,2024-11-02,Returned
T00162,S0532,B01230,2025-07-26,2025-10-24,Late Return
T00163,S0172,B03777,2025-07-29,2026-03-16,Returned
T00164,S0074,B00680,2026-05-10,2026-06-03,Late Return
T00165,S0702,B00515,2025-05-08,2025-06-20,Issued
T00166,S0347,B00086,2026-01-11,2026-04-17,Issued
T00167,S0261,B00839,2025-02-07,2026-04-10,Issued
T00168,S0163,B01829,2025-06-30,2025-09-15,Issued
T00169,S0987,B00509,2025-07-12,2025-09-14,Returned
T00170,S0563,B01690,2024-10-16,2025-09-14,Issued
T00171,S0890,B03992,2026-05-10,2026-05-20,Issued
T00172,S0581,B03952,2025-05-21,2025-10-13,Late Return
T00173,S0502,B04077,2025-04-26,2026-05-06,Issued
T00174,S0078,B04694,2026-03-17,2026-03-31,Late Return
T00175,S0481,B02810,2025-07-29,2026-04-03,Returned
T00176,S0237,B02827,2024-12-28,2025-06-30,Returned
T00177,S0287,B00141,2025-03-16,2026-03-09,Late Return
T00178,S0532,B00216,2024-10-06,2026-04-06,Returned
T00179,S0606,B04629,2025-06-07,2025-07-05,Late Return
T00180,S0606,B00965,2026-01-25,2026-02-26,Issued
T00181,S0132,B00310,2026-04-03,2026-06-05,Returned
T00182,S0661,B02939,2025-09-16,2026-02-13,Issued
T00183,S0458,B03987,2025-11-21,2025-12-25,Returned
T00184,S0394,B02154,2024-10-23,2026-07-02,Issued
T00185,S0081,B01303,2026-04-12,2026-07-10,Late Return
T00186,S0984,B02272,2026-05-09,2026-08-04,Late Return
T00187,S0281,B02586,2025-08-12,2026-02-18,Late Return
T00188,S0959,B01031,2024-12-27,2026-03-20,Returned
T00189,S0533,B00055,2025-12-30,2026-01-11,Returned
T00190,S0380,B02317,2025-02-01,2025-08-13,Late Return
T00191,S0105,B01208,2025-05-25,2025-11-14,Late Return
T00192,S0893,B04147,2025-09-22,2026-06-06,Late Return
T00193,S0652,B04314,2026-04-14,2026-08-14,Returned
T00194,S0056,B01184,2025-09-03,2026-06-05,Returned
T00195,S0453,B02256,2024-11-27,2025-05-21,Late Return
T00196,S0392,B00136,2026-04-14,2026-07-17,Issued
T00197,S0977,B02071,2025-01-25,2025-10-02,Returned
T00198,S0041,B01489,2025-03-26,2026-01-20,Returned
T00199,S0451,B03011,2025-10-05,2026-08-15,Returned
T00200,S0404,B03218,2025-03-29,2026-03-16,Returned
T00201,S0454,B04007,2025-01-24,2026-03-31,Issued
T00202,S0108,B01675,2025-07-11,2026-05-15,Late Return
T00203,S0981,B00892,2026-06-12,2026-07-10,Returned
T00204,S0260,B02070,2024-10-10,2025-10-26,Late Return
T00205,S0477,B01285,2025-06-26,2026-08-06,Returned
T00206,S0337,B01130,2024-10-29,2026-07-03,Late Return
T00207,S0218,B02601,2025-04-04,2025-04-08,Late Return
T00208,S0795,B02074,2024-09-30,2026-07-24,Returned
T00209,S0377,B02071,2025-10-22,2026-05-03,Late Return
T00210,S0816,B04243,2026-01-30,2026-06-14,Returned
T00211,S0596,B01355,2025-01-07,2026-01-14,Issued
T00212,S0522,B04081,2026-07-05,2026-07-31,Late Return
T00213,S0489,B03654,2025-08-28,2025-10-11,Issued
T00214,S0508,B01024,2025-10-07,2026-07-16,Late Return
T00215,S0300,B00626,2025-03-23,2025-11-04,Late Return
T00216,S0833,B03253,2025-03-22,2025-06-26,Late Return
T00217,S0682,B03317,2026-04-20,2026-06-07,Late Return
T00218,S0871,B04640,2024-08-05,2026-03-02,Issued
T00219,S0798,B02870,2024-07-29,2026-02-09,Issued
T00220,S0946,B03828,2026-03-31,2026-07-08,Late Return
T00221,S0163,B02203,2026-03-24,2026-06-29,Late Return
T00222,S0472,B04673,2025-08-02,2025-11-28,Issued
T00223,S0851,B03114,2026-01-24,2026-04-10,Issued
T00224,S0297,B03248,2025-01-16,2026-05-05,Late Return
T00225,S0648,B02940,2024-11-28,2026-05-09,Issued
T00226,S0347,B01022,2025-06-30,2026-06-02,Late Return
T00227,S0717,B04750,2026-04-16,2026-06-07,Returned
T00228,S0254,B04482,2025-04-16,2026-07-07,Issued
T00229,S0927,B04007,2025-07-09,2026-07-16,Issued
T00230,S0916,B01831,2025-01-27,2025-07-21,Late Return
T00231,S0110,B00368,2024-08-06,2025-12-05,Late Return
T00232,S0503,B04083,2024-12-23,2025-08-23,Late Return
T00233,S0417,B04283,2025-03-24,2025-11-30,Late Return
T00234,S0561,B03132,2025-05-17,2025-12-15,Late Return
T00235,S0040,B02144,2025-12-23,2026-04-05,Returned
T00236,S0982,B04985,2025-05-01,2025-06-27,Returned
T00237,S0153,B01424,2025-01-11,2025-07-04,Late Return
T00238,S0049,B01486,2024-09-09,2025-06-05,Returned
T00239,S0046,B04051,2024-12-20,2025-04-19,Issued
T00240,S0371,B02113,2026-03-19,2026-03-31,Returned
T00241,S0075,B01786,2026-06-13,2026-06-26,Returned
T00242,S0674,B00720,2025-07-04,2025-12-08,Returned
T00243,S0426,B03549,2025-04-19,2026-08-14,Late Return
T00244,S0804,B04215,2026-03-27,2026-06-28,Returned
T00245,S0243,B04453,2026-05-25,2026-06-26,Returned
T00246,S0242,B03346,2026-03-11,2026-04-28,Late Return
T00247,S0752,B04982,2025-09-03,2025-09-09,Late Return
T00248,S0996,B02192,2024-10-18,2026-02-17,Late Return
T00249,S0345,B02043,2024-08-23,2024-08-31,Issued
T00250,S0315,B02875,2026-07-07,2026-08-01,Late Return
T00251,S0044,B03322,2025-09-17,2026-07-20,Returned
T00252,S0865,B04919,2026-06-17,2026-07-20,Returned
T00253,S0451,B01997,2024-08-30,2024-09-28,Late Return
T00254,S0439,B04039,2026-04-27,2026-08-04,Late Return
T00255,S0415,B01515,2025-10-09,2025-12-27,Returned
T00256,S0835,B02886,2025-06-13,2026-04-03,Issued
T00257,S0547,B01964,2024-11-25,2025-01-12,Returned
T00258,S0387,B01608,2025-04-05,2026-05-11,Returned
T00259,S0753,B01259,2024-07-16,2026-01-22,Late Return
T00260,S0389,B02100,2025-03-08,2026-03-24,Issued
T00261,S0135,B02854,2026-07-07,2026-07-19,Issued
T00262,S0472,B01086,2025-04-02,2026-01-11,Issued
T00263,S0593,B01688,2026-07-09,2026-08-01,Late Return
T00264,S0552,B03024,2025-11-06,2025-12-10,Late Return
T00265,S0809,B04863,2024-11-02,2025-07-08,Returned
T00266,S0543,B04138,2025-05-24,2026-06-10,Issued
T00267,S0247,B01197,2026-05-15,2026-06-17,Issued
T00268,S0368,B01198,2025-07-01,2025-11-29,Late Return
T00269,S0752,B00766,2025-08-24,2025-09-09,Late Return
T00270,S0325,B02154,2026-03-09,2026-04-18,Issued
T00271,S0100,B03559,2025-09-16,2025-12-14,Late Return
T00272,S0083,B00758,2025-08-16,2026-08-04,Returned
T00273,S0662,B01019,2025-07-16,2025-10-20,Returned
T00274,S0989,B02947,2025-03-18,2026-01-05,Issued
T00275,S0445,B03857,2025-11-06,2026-02-20,Late Return
T00276,S0182,B02418,2025-12-28,2026-01-20,Late Return
T00277,S0420,B00220,2025-07-21,2026-07-07,Issued
T00278,S0590,B03582,2025-10-03,2026-07-21,Issued
T00279,S0083,B03390,2025-10-15,2025-11-19,Returned
T00280,S0494,B04572,2026-06-23,2026-07-22,Late Return
T00281,S0393,B02809,2025-10-04,2026-03-29,Issued
T00282,S0440,B04636,2025-05-11,2026-04-21,Issued
T00283,S0911,B01900,2025-12-07,2026-05-09,Returned
T00284,S0933,B03722,2026-04-11,2026-05-10,Returned
T00285,S0119,B02374,2024-12-23,2026-06-06,Issued
T00286,S0505,B00863,2026-01-04,2026-05-07,Issued
T00287,S0465,B01284,2025-07-19,2025-09-27,Late Return
T00288,S0728,B00242,2025-07-14,2026-01-07,Issued
T00289,S0355,B04964,2026-02-19,2026-04-26,Late Return
T00290,S0428,B02263,2026-01-20,2026-08-14,Issued
T00291,S0520,B04508,2025-10-17,2026-01-02,Late Return
T00292,S0949,B01930,2024-08-17,2026-08-04,Returned
T00293,S0003,B04185,2026-07-10,2026-07-31,Returned
T00294,S0219,B04629,2025-01-03,2026-05-07,Late Return
T00295,S0160,B02950,2024-11-25,2025-11-12,Issued
T00296,S0727,B03290,2025-04-09,2025-09-26,Issued
T00297,S0135,B00991,2025-12-22,2026-06-21,Issued
T00298,S0805,B02278,2026-05-11,2026-07-14,Late Return
T00299,S0480,B03926,2026-02-28,2026-03-05,Issued
T00300,S0417,B04788,2026-03-12,2026-07-21,Returned
T00301,S0083,B03566,2025-02-03,2025-09-20,Late Return
T00302,S0680,B03251,2025-03-12,2026-01-02,Issued
T00303,S0193,B04271,2026-05-06,2026-05-19,Issued
T00304,S0463,B00737,2025-07-09,2025-07-25,Issued
T00305,S0493,B00434,2025-12-09,2026-05-29,Issued
T00306,S0474,B01479,2025-12-16,2026-05-30,Issued
T00307,S0548,B00843,2026-07-10,2026-07-30,Late Return
T00308,S0744,B02885,2024-09-30,2025-10-04,Late Return
T00309,S0787,B00701,2026-04-30,2026-07-18,Returned
T00310,S0201,B04340,2025-01-02,2025-03-02,Returned
T00311,S0492,B04893,2025-07-30,2026-06-15,Returned
T00312,S0633,B00581,2024-11-11,2026-05-22,Issued
T00313,S0777,B04806,2026-07-10,2026-07-30,Issued
T00314,S0525,B03303,2025-04-01,2025-08-19,Late Return
T00315,S0901,B03646,2025-12-25,2026-01-20,Issued
T00316,S0099,B00223,2024-10-15,2024-12-13,Issued
T00317,S0782,B01310,2024-12-03,2024-12-18,Issued
T00318,S0446,B03724,2026-02-03,2026-06-03,Issued
T00319,S0440,B00790,2025-04-25,2025-08-28,Late Return
T00320,S0823,B02622,2026-01-10,2026-01-20,Issued
T00321,S0966,B04439,2025-04-17,2025-11-07,Issued
T00322,S0642,B04715,2026-02-11,2026-03-15,Returned
T00323,S0352,B03892,2024-12-02,2025-03-29,Late Return
T00324,S0495,B04512,2025-01-01,2025-03-11,Returned
T00325,S0378,B02263,2025-05-04,2025-09-10,Returned
T00326,S0912,B03663,2025-11-21,2026-05-22,Returned
T00327,S0686,B03240,2026-05-18,2026-07-14,Returned
T00328,S0878,B04294,2026-04-07,2026-06-24,Late Return
T00329,S0014,B04767,2026-03-27,2026-05-06,Issued
T00330,S0446,B02889,2025-03-17,2025-10-24,Issued
T00331,S0490,B00681,2025-11-11,2025-12-19,Returned
T00332,S0577,B02398,2025-10-22,2026-03-19,Late Return
T00333,S0279,B03548,2024-11-02,2025-09-18,Issued
T00334,S0339,B00647,2025-07-09,2026-06-28,Returned
T00335,S0080,B00070,2025-03-18,2025-07-06,Late Return
T00336,S0874,B00203,2025-12-11,2026-07-06,Returned
T00337,S0384,B02000,2026-04-11,2026-08-11,Late Return
T00338,S0747,B00355,2025-09-22,2026-05-11,Issued
T00339,S0341,B00583,2025-03-18,2025-10-26,Returned
T00340,S0868,B03025,2024-09-05,2026-07-31,Returned
T00341,S0149,B04413,2025-12-26,2025-12-30,Late Return
T00342,S0911,B00623,2026-07-01,2026-07-30,Late Return
T00343,S0107,B00273,2025-07-13,2025-12-05,Returned
T00344,S0139,B02740,2025-03-11,2025-12-04,Issued
T00345,S0953,B04566,2025-01-22,2025-02-27,Late Return
T00346,S0785,B02821,2025-05-22,2026-06-27,Late Return
T00347,S0280,B02924,2024-07-16,2025-10-09,Returned
T00348,S0934,B00968,2025-01-01,2026-07-05,Late Return
T00349,S0598,B04799,2024-11-24,2024-12-30,Returned
T00350,S0092,B01478,2025-06-09,2026-03-13,Issued
T00351,S0201,B03056,2025-12-06,2026-08-05,Late Return
T00352,S0544,B01659,2024-10-20,2026-07-27,Returned
T00353,S0875,B00774,2025-05-10,2025-06-22,Late Return
T00354,S0956,B03020,2025-12-25,2026-05-11,Issued
T00355,S0770,B01209,2025-05-26,2025-12-10,Returned
T00356,S0894,B04391,2024-11-26,2025-04-15,Late Return
T00357,S0046,B00725,2024-11-29,2025-10-18,Returned
T00358,S0797,B00556,2025-04-12,2026-03-13,Issued
T00359,S0220,B04060,2025-06-18,2025-11-19,Late Return
T00360,S0057,B02253,2025-12-28,2026-05-07,Issued
T00361,S0366,B04981,2026-05-24,2026-07-25,Late Return
T00362,S0861,B04784,2026-01-19,2026-06-18,Returned
T00363,S0880,B00011,2024-12-15,2025-10-09,Returned
T00364,S0644,B04179,2025-08-12,2025-09-08,Late Return
T00365,S0103,B02756,2025-07-24,2025-10-10,Late Return
T00366,S0458,B02492,2024-10-03,2025-06-29,Issued
T00367,S0881,B02852,2025-07-03,2025-07-26,Returned
T00368,S0098,B01143,2025-11-11,2026-07-15,Issued
T00369,S0803,B02056,2025-11-26,2026-04-19,Returned
T00370,S0036,B02180,2024-11-16,2025-02-28,Late Return
T00371,S0097,B04731,2026-06-23,2026-07-13,Issued
T00372,S0970,B04419,2025-07-09,2025-10-14,Returned
T00373,S0573,B01386,2024-07-19,2024-08-30,Issued
T00374,S0057,B03827,2025-09-10,2026-05-23,Returned
T00375,S0739,B03902,2025-02-19,2026-03-21,Returned
T00376,S0333,B01597,2025-08-13,2026-05-01,Returned
T00377,S0111,B04453,2025-07-11,2026-07-17,Late Return
T00378,S0134,B04794,2025-04-01,2025-08-29,Late Return
T00379,S0862,B03459,2024-12-03,2025-07-05,Late Return
T00380,S0336,B00345,2024-12-13,2026-03-18,Late Return
T00381,S0764,B01631,2025-02-05,2026-03-03,Returned
T00382,S0597,B00557,2024-08-20,2026-06-06,Returned
T00383,S0525,B00198,2026-04-17,2026-07-21,Returned
T00384,S0687,B00891,2025-01-28,2026-04-02,Returned
T00385,S0431,B02521,2024-09-10,2025-09-07,Late Return
T00386,S0373,B03755,2026-01-04,2026-01-14,Issued
T00387,S0650,B04510,2025-01-19,2026-02-07,Late Return
T00388,S0289,B01145,2026-05-05,2026-06-13,Returned
T00389,S0889,B02212,2024-11-20,2025-03-27,Returned
T00390,S0059,B03899,2025-05-20,2026-08-08,Returned
T00391,S0831,B04605,2026-04-19,2026-05-10,Issued
T00392,S0296,B03691,2025-01-19,2025-03-29,Issued
T00393,S0727,B03953,2026-03-09,2026-03-28,Late Return
T00394,S0262,B04423,2026-04-25,2026-08-04,Issued
T00395,S0904,B04428,2024-12-20,2025-09-02,Late Return
T00396,S0118,B00180,2025-09-17,2026-03-15,Late Return
T00397,S0189,B00815,2025-03-15,2025-12-22,Late Return
T00398,S0140,B01346,2025-06-11,2025-08-23,Returned
T00399,S0529,B04596,2025-08-01,2025-08-06,Issued
T00400,S0797,B03408,2025-09-13,2025-09-28,Issued
T00401,S0679,B00208,2025-10-05,2026-02-11,Late Return
T00402,S0633,B01147,2025-09-02,2025-11-04,Returned
T00403,S0411,B00952,2026-01-16,2026-08-04,Issued
T00404,S0547,B00633,2026-03-14,2026-06-02,Returned
T00405,S0387,B00124,2026-07-03,2026-07-09,Issued
T00406,S0765,B02338,2025-10-08,2026-06-09,Issued
T00407,S0578,B00775,2025-03-22,2025-09-27,Issued
T00408,S0623,B01661,2025-10-27,2026-03-11,Late Return
T00409,S0051,B02739,2025-02-20,2026-07-29,Returned
T00410,S0222,B02408,2024-10-12,2025-03-24,Issued
T00411,S0865,B00652,2024-11-17,2025-12-23,Late Return
T00412,S0521,B04646,2025-07-23,2026-05-03,Late Return
T00413,S0227,B01585,2025-08-09,2025-10-17,Issued
T00414,S0756,B01121,2024-12-11,2025-12-23,Late Return
T00415,S0931,B00548,2025-09-30,2026-04-04,Late Return
T00416,S0055,B01711,2024-10-21,2024-12-25,Late Return
T00417,S0655,B03944,2025-07-05,2026-06-07,Returned
T00418,S0138,B00551,2025-01-27,2026-07-09,Late Return
T00419,S0741,B00451,2025-10-14,2026-07-16,Late Return
T00420,S0705,B02146,2025-07-18,2026-06-11,Returned
T00421,S0862,B04342,2025-09-10,2025-11-24,Late Return
T00422,S0482,B03220,2025-01-05,2025-09-05,Returned
T00423,S0955,B04353,2025-11-11,2026-05-24,Late Return
T00424,S0223,B03013,2026-05-24,2026-07-22,Late Return
T00425,S0892,B03461,2025-05-31,2026-01-14,Issued
T00426,S0323,B04624,2026-03-10,2026-06-06,Issued
T00427,S0086,B01552,2025-02-15,2026-01-11,Late Return
T00428,S0351,B01156,2025-07-14,2026-07-10,Returned
T00429,S0895,B02521,2026-03-18,2026-05-03,Late Return
T00430,S0625,B01310,2024-11-30,2026-04-19,Returned
T00431,S0040,B03857,2025-11-29,2025-12-18,Late Return
T00432,S0967,B00788,2024-12-28,2025-07-07,Returned
T00433,S0492,B03823,2025-07-06,2025-10-11,Returned
T00434,S0524,B01375,2025-10-09,2025-12-31,Late Return
T00435,S0812,B01832,2026-04-09,2026-08-11,Late Return
T00436,S0910,B03323,2025-04-03,2025-05-18,Late Return
T00437,S0385,B04786,2026-01-08,2026-03-14,Issued
T00438,S0555,B00164,2025-07-09,2026-03-02,Late Return
T00439,S0609,B04826,2024-11-10,2025-01-11,Issued
T00440,S0305,B02667,2025-11-03,2026-03-01,Issued
T00441,S0410,B00638,2025-10-01,2026-01-12,Issued
T00442,S0990,B03601,2026-05-15,2026-07-30,Issued
T00443,S0559,B03287,2026-05-29,2026-07-02,Returned
T00444,S0264,B00912,2026-01-02,2026-01-23,Issued
T00445,S0398,B01260,2025-12-03,2026-05-31,Late Return
T00446,S0307,B00499,2024-09-11,2025-03-24,Issued
T00447,S0435,B00040,2026-01-16,2026-04-26,Issued
T00448,S0623,B02245,2025-06-10,2025-06-30,Returned
T00449,S0873,B04119,2025-12-29,2026-04-13,Late Return
T00450,S0297,B00474,2025-02-19,2025-12-26,Returned
T00451,S0945,B00384,2025-11-04,2026-03-19,Issued
T00452,S0823,B01660,2025-09-05,2025-12-31,Returned
T00453,S0649,B00874,2025-11-29,2026-01-21,Late Return
T00454,S0744,B02737,2025-06-28,2026-03-15,Late Return
T00455,S0861,B04572,2025-12-06,2026-01-21,Returned
T00456,S0857,B02475,2025-07-06,2025-12-10,Returned
T00457,S0833,B04155,2024-09-09,2026-03-17,Returned
T00458,S0640,B02423,2024-08-24,2026-06-03,Late Return
T00459,S0508,B02360,2024-07-30,2025-04-19,Returned
