subject_id,subject_name,semester,credits,course_id
SUB0255,Programming in Python,3,3,C007
SUB0256,Machine Learning,5,3,C009
SUB0257,Computer Graphics,2,5,C004
SUB0258,Programming in Java,6,4,C009
SUB0259,Engineering Mathematics,3,5,C003
SUB0260,Programming in Java,5,5,C002
SUB0261,Operating Systems,6,3,C004
SUB0262,Database Management System,3,2,C009
SUB0263,Database Management System,6,5,C010
SUB0264,Computer Graphics,8,2,C006
SUB0265,Deep Learning,7,5,C003
SUB0266,Machine Learning,1,3,C006
SUB0267,Data Structures,1,4,C008
SUB0268,Computer Networks,6,5,C010
SUB0269,Data Mining,4,2,C006
SUB0270,Data Analytics,4,2,C005
SUB0271,Cloud Computing,6,5,C006
SUB0272,Object Oriented Programming,6,4,C010
SUB0273,Statistics,5,3,C005
SUB0274,Microprocessors,4,3,C009
SUB0275,Engineering Mathematics,7,4,C006
SUB0276,Discrete Mathematics,5,4,C010
SUB0277,Algorithms,8,4,C002
SUB0278,Algorithms,6,4,C007
SUB0279,Artificial Intelligence,8,4,C009
SUB0280,Programming in Python,1,4,C002
SUB0281,Engineering Mathematics,7,4,C004
SUB0282,Programming in Java,5,3,C001
SUB0283,Data Mining,1,4,C006
SUB0284,Data Analytics,7,2,C006
SUB0285,Discrete Mathematics,1,3,C010
SUB0286,Programming in Java,3,5,C010
SUB0287,Programming in Java,8,5,C006
SUB0288,Database Management System,3,4,C006
SUB0289,Data Structures,8,4,C003
SUB0290,Programming in Python,6,3,C010
SUB0291,Data Analytics,5,5,C005
SUB0292,Programming in Java,2,4,C008
SUB0293,Statistics,4,3,C007
SUB0294,Software Engineering,3,4,C001
SUB0295,Artificial Intelligence,7,3,C007
SUB0296,Artificial Intelligence,1,3,C007
SUB0297,Machine Learning,4,3,C007
SUB0298,Data Analytics,6,5,C006
SUB0299,Big Data,5,4,C004
SUB0300,Computer Networks,6,4,C001
SUB0301,Machine Learning,2,4,C002
SUB0302,Machine Learning,5,4,C007
SUB0303,Microprocessors,5,3,C007
SUB0304,Machine Learning,4,3,C001
SUB0305,Data Structures,5,3,C001
SUB0306,Big Data,6,4,C004
SUB0307,Machine Learning,2,5,C006
SUB0308,Operating Systems,7,4,C010
SUB0309,Deep Learning,2,3,C010
SUB0310,Programming in Python,2,5,C001
SUB0311,Engineering Mathematics,7,3,C007
SUB0312,Operating Systems,7,2,C003
SUB0313,Object Oriented Programming,7,2,C004
SUB0314,Programming in C,2,3,C008
SUB0315,Programming in C,8,5,C006
SUB0316,Computer Networks,3,3,C003
SUB0317,Engineering Mathematics,3,5,C006
SUB0318,Cyber Security,8,3,C004
SUB0319,Database Management System,3,3,C003
SUB0320,Machine Learning,2,5,C001
SUB0321,Object Oriented Programming,4,2,C001
SUB0322,Data Analytics,4,5,C010
SUB0323,Discrete Mathematics,5,4,C005
SUB0324,Computer Networks,4,3,C004
SUB0325,Deep Learning,4,5,C003
SUB0326,Engineering Mathematics,7,2,C010
SUB0327,Artificial Intelligence,5,2,C006
SUB0328,Data Mining,8,5,C008
SUB0329,Digital Logic,3,4,C002
SUB0330,Machine Learning,7,2,C009
SUB0331,Computer Graphics,6,3,C009
SUB0332,Algorithms,5,4,C006
SUB0333,Cloud Computing,4,5,C003
SUB0334,Microprocessors,4,5,C009
SUB0335,Programming in Python,4,2,C009
SUB0336,Software Engineering,3,4,C002
SUB0337,Programming in Java,2,4,C002
SUB0338,Database Management System,3,5,C004
SUB0339,Data Structures,1,3,C002
SUB0340,Big Data,4,2,C008
SUB0341,Operating Systems,4,4,C008
SUB0342,Operating Systems,2,2,C006
SUB0343,Big Data,3,5,C008
SUB0344,Computer Networks,5,5,C007
SUB0345,Cloud Computing,4,3,C001
SUB0346,Microprocessors,3,3,C006
SUB0347,Data Structures,8,5,C003
SUB0348,Artificial Intelligence,4,3,C002
SUB0349,Deep Learning,7,3,C003
SUB0350,Computer Networks,3,5,C010
SUB0351,Big Data,7,3,C005
SUB0352,Computer Networks,5,2,C003
SUB0353,Artificial Intelligence,6,3,C004
SUB0354,Computer Networks,2,3,C008
SUB0355,Object Oriented Programming,7,5,C003
SUB0356,Data Mining,8,3,C005
SUB0357,Deep Learning,1,5,C003
SUB0358,Operating Systems,2,5,C006
SUB0359,Data Structures,2,5,C005
SUB0360,Big Data,6,4,C008
SUB0361,Computer Graphics,8,3,C002
SUB0362,Data Mining,7,4,C007
SUB0363,Digital Logic,4,4,C001
SUB0364,Compiler Design,5,4,C009
SUB0365,Computer Networks,2,4,C005
SUB0366,Big Data,2,2,C005
SUB0367,Digital Logic,6,4,C008
SUB0368,Programming in C,2,3,C001
SUB0369,Database Management System,1,4,C002
SUB0370,Engineering Mathematics,8,5,C005
SUB0371,Algorithms,8,4,C005
SUB0372,Discrete Mathematics,4,3,C001
SUB0373,Compiler Design,2,5,C006
SUB0374,Cloud Computing,6,2,C007
SUB0375,Operating Systems,4,5,C001
SUB0376,Discrete Mathematics,1,5,C009
SUB0377,Compiler Design,1,5,C006
SUB0378,Discrete Mathematics,3,5,C001
SUB0379,Software Engineering,7,2,C009
SUB0380,Database Management System,3,2,C005
SUB0381,Database Management System,5,4,C005
SUB0382,Engineering Mathematics,3,4,C001
SUB0383,Algorithms,2,5,C010
SUB0384,Microprocessors,8,5,C008
SUB0385,Microprocessors,3,5,C006
SUB0386,Algorithms,8,4,C007
SUB0387,Compiler Design,2,2,C009
SUB0388,Data Analytics,4,5,C004
SUB0389,Deep Learning,3,5,C003
SUB0390,Object Oriented Programming,7,4,C006
SUB0391,Big Data,8,4,C008
SUB0392,Object Oriented Programming,2,5,C005
SUB0393,Cyber Security,3,3,C005
SUB0394,Software Engineering,4,5,C004
SUB0395,Compiler Design,7,5,C003
SUB0396,Algorithms,4,3,C002
SUB0397,Cloud Computing,3,3,C007
SUB0398,Computer Networks,4,5,C003
SUB0399,Compiler Design,7,3,C006
SUB0400,Statistics,2,5,C005
SUB0401,Computer Graphics,8,4,C001
SUB0402,Algorithms,8,4,C003
SUB0403,Artificial Intelligence,3,4,C006
SUB0404,Data Structures,6,5,C006
SUB0405,Compiler Design,8,4,C010
SUB0406,Operating Systems,1,5,C004
SUB0407,Cloud Computing,4,3,C009
SUB0408,Programming in Java,6,4,C008
SUB0409,Cyber Security,8,4,C010
SUB0410,Data Structures,4,3,C010
SUB0411,Deep Learning,4,4,C003
SUB0412,Deep Learning,2,3,C002
SUB0413,Operating Systems,8,5,C001
SUB0414,Object Oriented Programming,6,5,C010
SUB0415,Microprocessors,6,2,C010
SUB0416,Engineering Mathematics,4,2,C008
SUB0417,Operating Systems,8,5,C002
SUB0418,Algorithms,8,2,C003
SUB0419,Compiler Design,2,5,C003
SUB0420,Machine Learning,5,3,C002
SUB0421,Digital Logic,7,2,C005
SUB0422,Artificial Intelligence,5,2,C009
SUB0423,Software Engineering,7,2,C007
SUB0424,Computer Networks,2,5,C010
SUB0425,Engineering Mathematics,6,4,C003
SUB0426,Software Engineering,4,4,C009
SUB0427,Programming in Python,5,4,C010
SUB0428,Cloud Computing,6,3,C005
SUB0429,Database Management System,6,4,C003
SUB0430,Programming in Java,1,3,C001
SUB0431,Object Oriented Programming,4,5,C006
SUB0432,Cyber Security,8,2,C002
SUB0433,Digital Logic,1,3,C001
SUB0434,Statistics,8,2,C009
SUB0435,Digital Logic,4,3,C010
SUB0436,Operating Systems,8,2,C008
SUB0437,Statistics,8,3,C001
SUB0438,Artificial Intelligence,7,5,C007
SUB0439,Discrete Mathematics,4,3,C006
SUB0440,Digital Logic,6,4,C003
SUB0441,Compiler Design,8,2,C003
SUB0442,Data Structures,7,4,C001
SUB0443,Statistics,5,5,C008
SUB0444,Data Mining,4,3,C007
SUB0445,Digital Logic,5,4,C008
SUB0446,Statistics,1,2,C002
SUB0447,Programming in Python,6,5,C008
SUB0448,Programming in Java,2,3,C007
SUB0449,Computer Networks,8,2,C002
SUB0450,Programming in Java,2,2,C004
SUB0451,Cyber Security,2,5,C007
SUB0452,Algorithms,2,5,C009
SUB0453,Artificial Intelligence,7,4,C004
SUB0454,Cloud Computing,4,4,C009
SUB0455,Artificial Intelligence,2,4,C009
SUB0456,Discrete Mathematics,3,3,C002
SUB0457,Data Analytics,3,4,C003
SUB0458,Big Data,3,3,C010
SUB0459,Computer Networks,2,3,C005
SUB0460,Cyber Security,1,5,C007
SUB0461,Algorithms,5,5,C010
SUB0462,Operating Systems,8,2,C007
SUB0463,Programming in C,4,4,C009
SUB0464,Data Mining,3,5,C001
SUB0465,Computer Networks,3,5,C004
SUB0466,Programming in C,3,4,C003
SUB0467,Cloud Computing,4,2,C010
SUB0468,Deep Learning,5,4,C007
SUB0469,Software Engineering,3,2,C006
SUB0470,Discrete Mathematics,1,5,C004
SUB0471,Artificial Intelligence,2,5,C006
SUB0472,Data Mining,1,5,C009
SUB0473,Cyber Security,1,4,C001
SUB0474,Data Analytics,1,2,C003
SUB0475,Data Mining,4,5,C006
SUB0476,Cloud Computing,1,3,C004
SUB0477,Big Data,5,5,C007
SUB0478,Statistics,5,3,C007
SUB0479,Cyber Security,8,4,C003
SUB0480,Machine Learning,3,4,C007
SUB0481,Computer Networks,8,2,C007
SUB0482,Computer Networks,2,4,C001
SUB0483,Big Data,1,3,C001
SUB0484,Discrete Mathematics,5,2,C003
SUB0485,Deep Learning,5,2,C007
SUB0486,Data Structures,8,3,C005
SUB0487,Cloud Computing,1,5,C004
SUB0488,Programming in C,5,5,C008
SUB0489,Computer Networks,1,5,C001
SUB0490,Computer Graphics,7,2,C004
SUB0491,Data Analytics,7,5,C007
SUB0492,Data Analytics,7,5,C003
SUB0493,Cyber Security,1,5,C001
SUB0494,Engineering Mathematics,2,3,C004
SUB0495,Statistics,7,4,C007
SUB0496,Compiler Design,2,2,C009
SUB0497,Cyber Security,3,5,C001
SUB0498,Data Structures,4,4,C004
SUB0499,Algorithms,5,4,C008
SUB0500,Data Mining,3,2,C002
SUB0501,Database Management System,5,3,C008
SUB0502,Deep Learning,1,3,C001
SUB0503,Database Management System,2,3,C006
SUB0504,Big Data,4,5,C007
SUB0505,Object Oriented Programming,5,3,C001
SUB0506,Operating Systems,2,2,C010
SUB0507,Data Analytics,3,4,C002
SUB0508,Data Structures,3,4,C004
SUB0509,Digital Logic,3,2,C003
SUB0510,Digital Logic,8,3,C001
SUB0511,Data Structures,1,3,C003
SUB0512,Programming in Python,4,3,C002
SUB0513,Cyber Security,1,2,C001
SUB0514,Programming in Python,2,5,C004
SUB0515,Compiler Design,3,2,C004
SUB0516,Programming in C,2,3,C009
SUB0517,Algorithms,3,3,C005
SUB0518,Database Management System,6,5,C001
SUB0519,Operating Systems,3,4,C002
SUB0520,Cloud Computing,5,2,C001
SUB0521,Algorithms,5,2,C002
SUB0522,Operating Systems,8,5,C010
SUB0523,Software Engineering,5,2,C007
SUB0524,Artificial Intelligence,7,4,C001
SUB0525,Software Engineering,4,2,C010
SUB0526,Programming in Java,2,5,C003
SUB0527,Digital Logic,5,3,C005
SUB0528,Data Mining,6,2,C007
SUB0529,Software Engineering,7,2,C006
SUB0530,Deep Learning,8,5,C001
SUB0531,Big Data,5,4,C001
SUB0532,Programming in C,6,3,C005
SUB0533,Compiler Design,3,3,C008
SUB0534,Statistics,6,5,C007
SUB0535,Cloud Computing,5,2,C003
SUB0536,Programming in C,6,5,C004
SUB0537,Database Management System,7,4,C005
SUB0538,Data Mining,3,4,C003
SUB0539,Data Analytics,7,4,C008
SUB0540,Compiler Design,7,3,C004
SUB0541,Artificial Intelligence,2,2,C006
SUB0542,Object Oriented Programming,4,3,C009
SUB0543,Data Structures,4,4,C001
SUB0544,Cyber Security,1,3,C007
SUB0545,Data Mining,8,5,C008
SUB0546,Statistics,1,4,C009
SUB0547,Microprocessors,3,2,C009
SUB0548,Data Structures,3,5,C007
SUB0549,Deep Learning,6,5,C002
SUB0550,Deep Learning,5,4,C007
SUB0551,Computer Networks,5,5,C009
SUB0552,Compiler Design,4,2,C008
SUB0553,Engineering Mathematics,8,4,C010
SUB0554,Data Analytics,3,3,C003
SUB0555,Artificial Intelligence,6,4,C009
SUB0556,Machine Learning,4,4,C003
SUB0557,Discrete Mathematics,2,4,C009
SUB0558,Machine Learning,1,5,C010
SUB0559,Microprocessors,7,5,C001
SUB0560,Discrete Mathematics,3,2,C006
SUB0561,Programming in Python,1,2,C003
SUB0562,Cyber Security,1,4,C008
SUB0563,Data Mining,3,3,C006
SUB0564,Database Management System,7,3,C005
SUB0565,Programming in Python,5,4,C008
SUB0566,Data Mining,1,3,C006
SUB0567,Programming in C,1,3,C009
SUB0568,Software Engineering,3,5,C001
SUB0569,Cloud Computing,8,5,C003
SUB0570,Object Oriented Programming,3,4,C001
SUB0571,Big Data,6,5,C009
SUB0572,Big Data,1,3,C008
SUB0573,Data Analytics,6,3,C002
SUB0574,Big Data,7,3,C002
SUB0575,Programming in C,5,3,C002
SUB0576,Statistics,2,3,C006
SUB0577,Data Mining,5,2,C003
SUB0578,Artificial Intelligence,2,5,C007
SUB0579,Engineering Mathematics,4,4,C006
SUB0580,Cyber Security,8,3,C004
SUB0581,Computer Graphics,1,5,C001
SUB0582,Computer Graphics,4,3,C006
SUB0583,Cyber Security,8,2,C004
SUB0584,Software Engineering,7,3,C002
SUB0585,Data Analytics,8,3,C008
SUB0586,Statistics,6,2,C004
SUB0587,Digital Logic,3,4,C002
SUB0588,Computer Networks,4,5,C001
SUB0589,Cyber Security,6,4,C006
SUB0590,Data Analytics,2,4,C002
SUB0591,Algorithms,1,2,C009
SUB0592,Compiler Design,4,3,C009
SUB0593,Object Oriented Programming,8,4,C008
SUB0594,Deep Learning,8,5,C006
SUB0595,Programming in Python,1,2,C007
SUB0596,Compiler Design,5,5,C006
SUB0597,Big Data,5,2,C002
SUB0598,Computer Graphics,3,4,C003
SUB0599,Data Mining,3,4,C007
SUB0600,Data Mining,3,5,C002
SUB0601,Programming in Java,5,3,C007
SUB0602,Data Mining,8,2,C006
SUB0603,Computer Networks,5,4,C004
SUB0604,Computer Graphics,1,2,C005
SUB0605,Engineering Mathematics,8,5,C003
SUB0606,Computer Networks,1,2,C005
SUB0607,Operating Systems,5,3,C007
SUB0608,Compiler Design,5,4,C006
SUB0609,Artificial Intelligence,4,3,C009
SUB0610,Computer Networks,8,3,C003
SUB0611,Statistics,6,3,C009
SUB0612,Artificial Intelligence,8,3,C007
SUB0613,Artificial Intelligence,1,2,C009
SUB0614,Computer Graphics,3,5,C005
SUB0615,Programming in Python,7,4,C010
SUB0616,Data Structures,1,3,C006
SUB0617,Object Oriented Programming,4,4,C010
SUB0618,Engineering Mathematics,7,4,C007
SUB0619,Cyber Security,8,3,C002
SUB0620,Compiler Design,2,3,C002
SUB0621,Cloud Computing,4,5,C001
SUB0622,Engineering Mathematics,4,5,C005
SUB0623,Big Data,6,4,C010
SUB0624,Statistics,3,4,C005
SUB0625,Database Management System,5,4,C007
SUB0626,Compiler Design,7,2,C002
SUB0627,Computer Networks,6,5,C005
SUB0628,Compiler Design,5,2,C003
SUB0629,Computer Networks,3,5,C004
SUB0630,Database Management System,7,4,C007
SUB0631,Data Analytics,3,4,C010
SUB0632,Programming in Python,1,4,C008
SUB0633,Data Structures,5,4,C001
SUB0634,Software Engineering,7,4,C002
SUB0635,Programming in Python,5,2,C005
SUB0636,Engineering Mathematics,8,2,C005
SUB0637,Programming in Python,2,2,C001
SUB0638,Microprocessors,3,5,C009
SUB0639,Cloud Computing,2,5,C002
SUB0640,Cyber Security,2,2,C001
SUB0641,Digital Logic,4,4,C006
SUB0642,Cyber Security,6,3,C001
SUB0643,Object Oriented Programming,6,3,C006
SUB0644,Data Structures,4,2,C010
SUB0645,Digital Logic,4,3,C010
SUB0646,Engineering Mathematics,3,2,C006
SUB0647,Statistics,5,5,C002
SUB0648,Cyber Security,6,2,C007
SUB0649,Data Structures,1,5,C010
SUB0650,Cloud Computing,1,3,C009
SUB0651,Engineering Mathematics,2,2,C005
SUB0652,Artificial Intelligence,3,2,C006
SUB0653,Computer Networks,3,2,C005
SUB0654,Programming in C,8,5,C004
SUB0655,Programming in Java,5,5,C001
SUB0656,Algorithms,3,5,C009
SUB0657,Programming in C,5,2,C002
SUB0658,Programming in C,7,5,C010
SUB0659,Computer Networks,1,5,C001
SUB0660,Discrete Mathematics,5,2,C001
SUB0661,Operating Systems,6,2,C010
SUB0662,Computer Graphics,8,4,C001
SUB0663,Object Oriented Programming,3,4,C001
SUB0664,Big Data,1,4,C008
SUB0665,Microprocessors,6,2,C001
SUB0666,Artificial Intelligence,7,2,C002
SUB0667,Compiler Design,5,5,C001
SUB0668,Database Management System,2,3,C001
SUB0669,Data Analytics,8,4,C008
SUB0670,Object Oriented Programming,7,5,C002
SUB0671,Computer Graphics,4,3,C002
SUB0672,Deep Learning,4,2,C010
SUB0673,Object Oriented Programming,7,2,C005
SUB0674,Software Engineering,3,4,C005
SUB0675,Compiler Design,6,5,C010
SUB0676,Software Engineering,7,2,C003
SUB0677,Discrete Mathematics,8,4,C006
SUB0678,Computer Graphics,3,2,C009
SUB0679,Deep Learning,4,3,C005
SUB0680,Microprocessors,7,3,C005
SUB0681,Cloud Computing,6,2,C007
SUB0682,Microprocessors,8,2,C009
SUB0683,Programming in C,3,4,C001
SUB0684,Machine Learning,8,3,C009
SUB0685,Microprocessors,5,2,C009
SUB0686,Cloud Computing,5,2,C002
SUB0687,Operating Systems,3,2,C008
SUB0688,Operating Systems,6,3,C010
SUB0689,Discrete Mathematics,7,4,C002
SUB0690,Object Oriented Programming,5,3,C006
