attendance_id,student_id,subject_id,date,status
91,S0356,SUB0628,2026-05-01,Absent
92,S0583,SUB0642,2025-09-05,Absent
93,S0138,SUB0771,2026-01-17,Absent
94,S0377,SUB0535,2025-12-08,Absent
95,S0016,SUB0804,2025-08-14,Absent
96,S0978,SUB0037,2026-07-12,Leave
97,S0995,SUB0597,2025-09-23,Present
98,S0454,SUB0617,2025-08-16,Leave
99,S0181,SUB0676,2026-02-22,Present
100,S0776,SUB0513,2026-01-06,Present
101,S0785,SUB0317,2025-12-29,Absent
102,S0075,SUB0621,2025-12-04,Leave
103,S0627,SUB0147,2025-08-02,Leave
104,S0513,SUB0644,2026-02-03,Leave
105,S0939,SUB0326,2025-12-08,Absent
106,S0068,SUB0623,2025-12-14,Present
107,S0976,SUB0434,2026-05-05,Present
108,S0013,SUB0815,2026-03-19,Leave
109,S0883,SUB0289,2025-09-05,Present
110,S0779,SUB0194,2025-10-31,Leave
111,S0437,SUB0491,2025-11-30,Absent
112,S0535,SUB0368,2025-10-26,Absent
113,S0785,SUB0400,2025-12-16,Present
114,S0853,SUB0556,2025-11-21,Absent
115,S0293,SUB0142,2025-08-05,Leave
116,S0053,SUB0764,2026-07-05,Absent
117,S0629,SUB0871,2026-06-18,Absent
118,S0786,SUB0135,2026-05-18,Absent
119,S0790,SUB0162,2026-02-21,Present
120,S0242,SUB0042,2025-07-23,Present
121,S0444,SUB0407,2025-07-22,Absent
122,S0165,SUB0689,2026-02-18,Present
123,S0312,SUB0191,2026-02-07,Absent
124,S0870,SUB0044,2025-10-04,Present
125,S0886,SUB0370,2026-05-26,Leave
126,S0405,SUB0755,2025-08-21,Present
127,S0131,SUB0770,2026-06-11,Leave
128,S0425,SUB0453,2026-04-03,Leave
129,S0389,SUB0163,2025-08-24,Leave
130,S0638,SUB0215,2026-01-17,Present
131,S0743,SUB0740,2026-02-21,Present
132,S0460,SUB0566,2025-11-19,Leave
133,S0582,SUB0223,2025-12-18,Leave
134,S0005,SUB0830,2025-08-18,Absent
135,S0389,SUB0636,2026-05-31,Leave
136,S0047,SUB0115,2026-05-11,Absent
137,S0056,SUB0535,2025-10-27,Absent
138,S0955,SUB0949,2025-11-25,Present
139,S0929,SUB0270,2025-09-17,Leave
140,S0326,SUB0755,2026-06-21,Leave
141,S0589,SUB0539,2026-03-07,Present
142,S0686,SUB0670,2026-01-08,Absent
143,S0949,SUB0870,2025-09-28,Absent
144,S0622,SUB0944,2026-01-28,Leave
145,S0942,SUB0718,2025-08-03,Leave
146,S0726,SUB0885,2026-03-26,Absent
147,S0406,SUB0784,2026-06-05,Leave
148,S0872,SUB0014,2025-08-06,Absent
149,S0955,SUB0988,2026-05-07,Absent
150,S0907,SUB0931,2025-12-14,Leave
151,S0418,SUB0817,2025-08-10,Leave
152,S0505,SUB0861,2026-05-30,Leave
153,S0467,SUB0141,2025-09-28,Present
154,S0017,SUB0897,2026-06-06,Absent
155,S0570,SUB0237,2025-09-15,Absent
156,S0489,SUB0640,2026-03-17,Present
157,S0437,SUB0568,2025-10-11,Absent
158,S0069,SUB0015,2026-06-27,Leave
159,S0688,SUB0883,2026-03-02,Absent
160,S0071,SUB0846,2025-07-31,Absent
161,S0932,SUB0826,2025-10-02,Leave
162,S0889,SUB0957,2026-05-19,Present
163,S0367,SUB0230,2026-01-30,Absent
164,S0851,SUB0909,2025-08-19,Present
165,S0787,SUB0219,2026-05-04,Leave
166,S0769,SUB0590,2026-05-14,Leave
167,S0282,SUB0183,2025-12-13,Present
168,S0297,SUB0022,2025-07-26,Leave
169,S0390,SUB0264,2025-10-01,Absent
170,S0680,SUB0707,2025-09-04,Leave
171,S0940,SUB0859,2025-09-03,Present
172,S0671,SUB0161,2026-02-20,Present
173,S0389,SUB0277,2026-01-17,Present
174,S0661,SUB0330,2026-04-15,Leave
175,S0692,SUB0775,2026-03-22,Absent
176,S0394,SUB0218,2026-05-15,Absent
177,S0925,SUB0243,2025-12-13,Absent
178,S0724,SUB0371,2026-03-12,Leave
179,S0324,SUB0705,2026-01-11,Leave
180,S0511,SUB0555,2026-06-18,Absent
181,S0865,SUB0629,2025-12-28,Present
182,S0492,SUB0818,2026-04-11,Leave
183,S0936,SUB0891,2025-12-24,Present
184,S0423,SUB0046,2025-07-31,Present
185,S0039,SUB0643,2025-07-25,Absent
186,S0383,SUB0675,2026-06-03,Leave
187,S0884,SUB0268,2026-01-25,Absent
188,S0435,SUB0324,2026-02-12,Absent
189,S0569,SUB0460,2025-07-18,Absent
190,S0754,SUB0929,2026-06-14,Absent
191,S0743,SUB0169,2026-03-02,Leave
192,S0078,SUB0614,2025-08-15,Present
193,S0500,SUB0485,2026-01-20,Absent
194,S0793,SUB0788,2026-01-18,Leave
195,S0729,SUB0863,2025-10-07,Absent
196,S0552,SUB0915,2025-08-20,Absent
197,S0134,SUB0359,2025-09-23,Absent
198,S0812,SUB0089,2025-08-14,Absent
199,S0862,SUB0506,2026-06-19,Absent
200,S0450,SUB0510,2026-01-27,Absent
201,S0369,SUB0820,2026-02-19,Present
202,S0293,SUB0816,2025-10-31,Absent
203,S0236,SUB0624,2025-11-15,Leave
204,S0307,SUB0674,2026-04-08,Present
205,S0669,SUB0756,2025-10-26,Leave
206,S0443,SUB0195,2026-01-11,Present
207,S0221,SUB0445,2026-01-19,Absent
208,S0849,SUB0287,2025-11-09,Absent
209,S0927,SUB0863,2026-07-04,Leave
210,S0475,SUB0684,2026-03-22,Absent
211,S0453,SUB0385,2025-12-21,Absent
212,S0064,SUB0551,2026-07-14,Leave
213,S0999,SUB0982,2025-08-21,Leave
214,S0927,SUB0492,2025-10-10,Absent
215,S0627,SUB0118,2026-02-27,Leave
216,S0979,SUB0221,2026-04-30,Present
217,S0204,SUB0132,2026-03-28,Absent
218,S0187,SUB0796,2025-08-10,Leave
219,S0527,SUB0691,2026-03-19,Present
220,S0985,SUB0702,2026-07-12,Present
221,S0664,SUB0944,2025-12-22,Present
222,S0970,SUB0470,2026-02-04,Absent
223,S0137,SUB0842,2025-12-19,Present
224,S0669,SUB0251,2026-04-23,Leave
225,S0402,SUB0727,2025-07-22,Present
226,S0630,SUB0493,2025-12-04,Present
227,S0543,SUB0280,2026-07-06,Leave
228,S0208,SUB0069,2026-06-29,Present
229,S0915,SUB0424,2026-05-29,Absent
230,S0924,SUB0953,2025-08-07,Absent
231,S0312,SUB0488,2026-03-24,Absent
232,S0727,SUB0427,2026-05-09,Absent
233,S0636,SUB0089,2025-08-05,Present
234,S0973,SUB0286,2026-06-06,Absent
235,S0335,SUB0640,2026-04-08,Absent
236,S0979,SUB0443,2025-11-14,Absent
237,S0708,SUB0046,2025-09-08,Absent
238,S0010,SUB0997,2026-05-01,Present
239,S0126,SUB0845,2025-07-21,Present
240,S0035,SUB0845,2025-08-27,Present
241,S0582,SUB0506,2025-08-06,Present
242,S0740,SUB0162,2026-05-08,Absent
243,S0230,SUB0678,2025-11-28,Absent
244,S0030,SUB0041,2025-11-23,Present
245,S0109,SUB0859,2025-09-07,Absent
246,S0029,SUB0805,2025-12-10,Present
247,S0962,SUB0116,2025-11-22,Present
248,S0806,SUB0073,2026-01-03,Leave
249,S0050,SUB0642,2025-11-11,Absent
250,S0682,SUB0915,2026-01-02,Present
251,S0401,SUB0969,2025-11-20,Present
252,S0128,SUB0837,2026-06-19,Present
253,S0917,SUB0934,2025-10-30,Absent
254,S0203,SUB0197,2026-06-05,Leave
255,S0495,SUB0287,2026-05-13,Leave
256,S0605,SUB0566,2026-07-08,Present
257,S0496,SUB0507,2026-01-17,Leave
258,S0303,SUB0250,2025-10-31,Leave
259,S0005,SUB0711,2026-01-17,Absent
260,S0377,SUB0649,2025-09-07,Present
261,S0141,SUB0493,2026-02-27,Absent
262,S0065,SUB0235,2025-09-05,Absent
263,S0063,SUB0241,2025-09-01,Absent
264,S0813,SUB0828,2026-04-01,Leave
265,S0304,SUB0101,2026-05-16,Present
266,S0675,SUB0208,2025-11-01,Present
267,S0605,SUB0154,2026-04-21,Leave
268,S0538,SUB0060,2026-06-06,Present
269,S0280,SUB0319,2025-11-26,Present
270,S0771,SUB0677,2025-12-30,Absent
271,S0266,SUB0199,2026-06-01,Leave
272,S0459,SUB0289,2025-09-09,Leave
273,S0223,SUB0733,2025-09-26,Leave
274,S0187,SUB0607,2025-10-05,Leave
275,S0176,SUB0729,2025-12-21,Leave
276,S0206,SUB0454,2026-05-02,Absent
277,S0332,SUB0005,2026-07-08,Present
278,S0136,SUB0223,2026-01-05,Absent
279,S0883,SUB0355,2025-12-31,Leave
280,S0882,SUB0356,2025-08-13,Leave
281,S0539,SUB0585,2025-09-05,Absent
282,S0190,SUB0458,2025-10-02,Present
283,S0419,SUB0028,2025-11-27,Leave
284,S0481,SUB0172,2026-05-29,Absent
285,S0369,SUB0381,2026-03-25,Absent
286,S0297,SUB0253,2026-02-16,Absent
287,S0299,SUB0364,2026-02-10,Leave
288,S0963,SUB0530,2025-12-31,Leave
289,S0280,SUB0101,2026-03-19,Present
290,S0826,SUB0665,2026-01-07,Leave
291,S0622,SUB0521,2026-02-03,Present
292,S0765,SUB0264,2025-12-19,Leave
293,S0867,SUB0535,2026-01-30,Present
294,S0108,SUB0893,2025-07-23,Leave
295,S0472,SUB0319,2025-10-30,Absent
296,S0303,SUB0301,2025-07-26,Present
297,S0962,SUB0949,2025-11-11,Present
298,S0804,SUB0594,2025-11-20,Leave
299,S0302,SUB0676,2026-04-08,Absent
300,S0955,SUB0254,2026-01-18,Leave
301,S0931,SUB0759,2025-09-21,Absent
302,S0923,SUB0247,2025-09-18,Present
303,S0520,SUB0810,2025-09-27,Present
304,S0183,SUB0488,2025-08-22,Leave
305,S0551,SUB0833,2026-07-01,Absent
306,S0215,SUB0351,2026-05-21,Leave
307,S0083,SUB0643,2025-12-16,Present
308,S0022,SUB0643,2025-11-07,Absent
309,S0952,SUB0922,2025-07-21,Present
310,S0655,SUB0750,2026-04-01,Absent
311,S0909,SUB0762,2026-01-23,Absent
312,S0557,SUB0353,2026-04-20,Absent
313,S0101,SUB0735,2026-04-05,Leave
314,S0417,SUB0575,2026-05-15,Leave
315,S0238,SUB0058,2026-05-03,Leave
316,S0109,SUB0686,2026-03-30,Leave
317,S0281,SUB0540,2025-07-23,Leave
318,S0488,SUB0981,2026-05-19,Leave
319,S0424,SUB0288,2026-03-10,Absent
320,S0470,SUB0309,2025-12-13,Present
321,S0165,SUB0454,2025-11-13,Leave
322,S0053,SUB0648,2026-04-14,Present
323,S0419,SUB0876,2026-03-22,Absent
324,S0027,SUB0408,2025-07-18,Leave
325,S0606,SUB0239,2025-07-21,Leave
326,S0623,SUB0626,2026-02-19,Present
327,S0643,SUB0584,2026-04-29,Leave
328,S0097,SUB0217,2025-08-04,Present
329,S0737,SUB0094,2026-04-21,Leave
330,S0619,SUB0565,2026-07-02,Leave
331,S0376,SUB0836,2025-08-13,Absent
332,S0133,SUB0422,2026-07-10,Present
333,S0538,SUB0952,2026-02-09,Absent
334,S0223,SUB0749,2026-05-25,Leave
335,S0486,SUB0058,2026-06-01,Leave
336,S0318,SUB0060,2026-07-04,Absent
337,S0119,SUB0550,2026-02-13,Absent
338,S0182,SUB0626,2025-11-03,Leave
339,S0828,SUB0156,2025-11-20,Absent
340,S0040,SUB0461,2026-02-26,Present
341,S0322,SUB0954,2026-02-11,Absent
342,S0508,SUB0378,2025-07-19,Absent
343,S0089,SUB0438,2026-03-01,Absent
344,S0796,SUB0279,2026-07-01,Absent
345,S0139,SUB0035,2026-04-23,Leave
346,S0450,SUB0508,2026-03-14,Leave
347,S0770,SUB0190,2025-11-05,Present
348,S0114,SUB0574,2026-05-07,Absent
349,S0428,SUB0517,2026-05-15,Leave
350,S0431,SUB0659,2026-02-23,Leave
351,S0856,SUB0464,2025-10-19,Absent
352,S0938,SUB0052,2025-08-11,Absent
353,S0551,SUB0978,2026-01-23,Absent
354,S0912,SUB0884,2025-12-10,Leave
355,S0761,SUB0790,2026-05-13,Leave
356,S0491,SUB0080,2025-12-21,Present
357,S0005,SUB0403,2026-02-22,Leave
358,S0762,SUB0114,2026-03-02,Present
359,S0285,SUB0250,2025-11-30,Present
360,S0021,SUB0118,2025-10-18,Leave
361,S0819,SUB0968,2026-07-05,Leave
362,S0884,SUB0760,2025-09-10,Present
363,S0720,SUB0299,2026-02-14,Absent
364,S0320,SUB0209,2026-05-27,Absent
365,S0708,SUB0446,2026-06-04,Leave
366,S0165,SUB0849,2026-06-06,Present
367,S0533,SUB0751,2026-07-03,Leave
368,S0331,SUB0255,2026-04-08,Present
369,S0431,SUB0559,2026-03-03,Leave
370,S0191,SUB0002,2026-05-17,Absent
371,S0180,SUB0304,2026-04-19,Absent
372,S0585,SUB0829,2026-06-14,Present
373,S0617,SUB0282,2026-01-03,Leave
374,S0378,SUB0315,2026-05-05,Absent
375,S0662,SUB0512,2026-07-07,Absent
376,S0172,SUB0956,2026-04-28,Leave
377,S0802,SUB0944,2025-10-16,Leave
378,S0926,SUB0237,2026-04-02,Absent
379,S0291,SUB0561,2025-09-09,Leave
380,S0350,SUB0953,2025-07-25,Leave
381,S0833,SUB0446,2025-09-25,Absent
382,S0919,SUB0627,2026-06-29,Present
383,S0422,SUB0692,2026-02-09,Absent
384,S0399,SUB0945,2025-09-18,Leave
385,S0497,SUB0634,2026-06-27,Absent
386,S0921,SUB0391,2025-08-21,Leave
387,S0205,SUB0059,2026-06-06,Leave
388,S0507,SUB0259,2026-02-06,Present
389,S0707,SUB0113,2025-11-30,Leave
390,S0333,SUB0766,2025-10-02,Present
391,S0703,SUB0229,2026-06-26,Present
392,S0988,SUB0580,2025-12-22,Leave
393,S0177,SUB0228,2025-12-26,Leave
394,S0777,SUB0100,2025-10-20,Leave
395,S0429,SUB0442,2026-04-29,Absent
396,S0132,SUB0462,2026-06-16,Absent
397,S0294,SUB0409,2026-04-29,Present
398,S0618,SUB0262,2025-10-26,Absent
399,S0886,SUB0340,2026-01-03,Leave
400,S0576,SUB0451,2025-11-19,Absent
401,S0938,SUB0611,2026-05-21,Leave
402,S0961,SUB0254,2025-07-21,Leave
403,S0179,SUB0907,2025-11-13,Absent
404,S0633,SUB0651,2025-08-19,Leave
405,S0642,SUB0207,2025-08-10,Present
406,S0948,SUB0498,2026-04-05,Present
407,S0950,SUB0363,2026-05-21,Leave
408,S0146,SUB0094,2026-03-07,Leave
409,S0368,SUB0645,2026-01-07,Present
410,S0400,SUB0194,2026-01-06,Present
411,S0927,SUB0628,2025-12-03,Present
412,S0327,SUB0731,2025-12-29,Present
413,S0555,SUB0404,2025-10-25,Present
414,S0304,SUB0761,2026-01-22,Absent
415,S0677,SUB0750,2025-07-20,Leave
416,S0293,SUB0195,2025-09-09,Leave
417,S0943,SUB0722,2025-10-28,Leave
418,S0479,SUB0870,2026-02-11,Leave
419,S0792,SUB0406,2026-05-07,Leave
420,S0306,SUB0512,2026-06-09,Present
421,S0836,SUB0803,2025-07-30,Absent
422,S0366,SUB0352,2025-09-26,Present
423,S0755,SUB0634,2026-03-01,Leave
424,S0444,SUB0194,2026-02-12,Absent
425,S0385,SUB0249,2025-12-26,Absent
426,S0714,SUB0070,2026-07-03,Leave
427,S0049,SUB0973,2026-02-02,Absent
428,S0200,SUB0084,2026-07-08,Present
429,S0403,SUB0964,2026-02-16,Present
430,S0047,SUB0599,2025-10-05,Absent
431,S0638,SUB0921,2025-08-30,Leave
432,S0389,SUB0393,2026-05-02,Leave
433,S0967,SUB0410,2025-12-27,Present
434,S0837,SUB0053,2025-08-16,Leave
435,S0256,SUB0617,2026-01-01,Leave
436,S0233,SUB0095,2026-01-30,Present
437,S0978,SUB0384,2026-03-14,Present
438,S0765,SUB0075,2025-11-10,Absent
439,S0133,SUB0826,2026-04-16,Present
440,S0443,SUB0736,2025-10-06,Absent
441,S0267,SUB0872,2026-05-28,Present
442,S0967,SUB0166,2025-12-09,Leave
443,S0716,SUB0506,2026-01-28,Absent
444,S0259,SUB0226,2025-08-26,Leave
445,S0801,SUB0895,2026-03-16,Leave
446,S0606,SUB0536,2025-08-29,Leave
447,S0794,SUB0926,2025-12-19,Present
448,S0576,SUB0369,2025-12-06,Absent
449,S0878,SUB0736,2025-11-07,Leave
450,S0572,SUB0023,2025-12-02,Absent
451,S0893,SUB0789,2026-04-29,Present
452,S0321,SUB0443,2026-01-31,Leave
453,S0868,SUB0446,2026-01-31,Leave
454,S0267,SUB0439,2026-07-07,Present
455,S0948,SUB0074,2026-05-02,Leave
456,S0013,SUB0700,2025-12-13,Leave
457,S0810,SUB0711,2025-12-12,Present
458,S0780,SUB0822,2025-11-18,Absent
459,S0469,SUB0151,2026-04-10,Absent
460,S0252,SUB0799,2025-10-20,Leave
461,S0658,SUB0204,2026-02-04,Leave
462,S0378,SUB0560,2025-12-08,Present
463,S0264,SUB0832,2025-09-11,Present
464,S0416,SUB0250,2025-08-24,Leave
465,S0818,SUB0549,2026-02-03,Leave
466,S0326,SUB0141,2026-05-14,Present
467,S0436,SUB0138,2025-08-05,Absent
468,S0089,SUB0238,2026-04-21,Absent
469,S0074,SUB0310,2026-06-19,Present
470,S0869,SUB0276,2025-11-28,Leave
471,S0237,SUB0741,2026-02-25,Present
472,S0629,SUB0430,2025-10-10,Present
473,S1000,SUB0706,2026-03-03,Absent
474,S0501,SUB0317,2026-02-12,Leave
475,S0174,SUB0060,2026-07-13,Present
476,S0473,SUB0263,2025-10-03,Absent
477,S0964,SUB0878,2026-03-02,Present
478,S0422,SUB0012,2025-09-07,Absent
479,S0886,SUB0897,2026-02-01,Absent
480,S0708,SUB0443,2026-02-01,Absent
481,S0923,SUB0967,2026-02-24,Leave
482,S0718,SUB0017,2025-10-09,Leave
483,S0536,SUB0176,2026-05-20,Present
484,S0777,SUB0335,2025-10-15,Leave
485,S0393,SUB0962,2025-08-22,Absent
486,S0501,SUB0077,2026-04-29,Absent
487,S0283,SUB0757,2025-10-05,Present
488,S0764,SUB0228,2026-04-07,Leave
489,S0294,SUB0019,2026-04-28,Present
490,S0610,SUB0678,2025-07-31,Absent
491,S0345,SUB0586,2026-05-30,Present
492,S0544,SUB0318,2025-12-23,Absent
493,S0989,SUB0277,2026-02-27,Leave
494,S0773,SUB0334,2026-05-08,Leave
495,S0369,SUB0894,2026-06-24,Leave
496,S0298,SUB0990,2025-10-22,Leave
497,S0238,SUB0341,2025-11-23,Leave
498,S0990,SUB0655,2025-08-02,Present
499,S0326,SUB0533,2026-03-06,Present
500,S0239,SUB0202,2025-10-24,Absent
501,S0196,SUB0408,2026-05-23,Leave
502,S0544,SUB0900,2025-09-03,Present
503,S0448,SUB0629,2026-01-31,Absent
504,S0904,SUB0592,2026-03-30,Absent
505,S0172,SUB0165,2025-09-04,Leave
506,S0382,SUB0262,2025-07-30,Present
507,S0486,SUB0011,2025-08-27,Present
508,S0683,SUB0411,2026-03-30,Present
509,S0490,SUB0821,2025-09-25,Present
510,S0155,SUB0492,2025-12-01,Leave
511,S0748,SUB0985,2025-09-26,Absent
512,S0681,SUB0508,2026-02-09,Present
513,S0298,SUB0647,2025-12-08,Leave
514,S0620,SUB0744,2026-03-13,Leave
515,S0157,SUB0283,2026-02-26,Present
516,S0801,SUB0983,2025-11-26,Leave
517,S0197,SUB0303,2025-11-23,Leave
518,S0579,SUB0810,2026-05-17,Leave
519,S0188,SUB0194,2025-12-21,Present
520,S0025,SUB0510,2026-03-27,Absent
521,S0081,SUB0614,2026-07-05,Leave
522,S0532,SUB0819,2025-08-29,Present
523,S0342,SUB0412,2025-08-16,Absent
524,S0222,SUB0163,2026-03-22,Leave
525,S0826,SUB0524,2025-09-29,Leave
526,S0031,SUB0667,2025-07-23,Absent
527,S0065,SUB0237,2026-01-24,Absent
528,S0577,SUB0341,2025-07-22,Absent
529,S0297,SUB0153,2026-05-29,Leave
530,S0430,SUB0037,2025-08-16,Leave
531,S0842,SUB0322,2025-10-25,Leave
532,S0476,SUB0083,2025-09-22,Absent
533,S0646,SUB0962,2025-12-06,Absent
534,S0917,SUB0170,2026-05-10,Absent
535,S0230,SUB0233,2026-01-29,Leave
536,S0359,SUB0765,2026-04-28,Present
537,S0672,SUB0991,2025-09-29,Present
538,S0618,SUB0899,2026-05-16,Absent
539,S0112,SUB0362,2026-03-30,Present
540,S0890,SUB0178,2026-06-27,Present
541,S0960,SUB0951,2026-03-21,Absent
542,S0455,SUB0777,2026-03-31,Present
543,S0292,SUB0741,2025-10-12,Leave
544,S0513,SUB0976,2025-11-20,Leave
545,S0965,SUB0700,2025-10-31,Present
546,S0322,SUB0176,2026-05-16,Leave
547,S0867,SUB0413,2025-08-30,Leave
548,S0810,SUB0210,2025-07-26,Leave
549,S0225,SUB0788,2026-02-12,Absent
550,S0684,SUB0045,2026-03-05,Leave
551,S0726,SUB0189,2026-02-13,Absent
552,S0437,SUB0191,2025-12-18,Absent
553,S0249,SUB0085,2025-11-19,Present
554,S0011,SUB0120,2026-03-08,Leave
555,S0545,SUB0785,2025-12-04,Absent
556,S0119,SUB0545,2025-12-02,Present
557,S0663,SUB0745,2025-10-20,Leave
558,S0964,SUB0640,2026-03-31,Absent
559,S0348,SUB0820,2026-04-19,Present
560,S0218,SUB0341,2025-07-29,Absent
561,S0542,SUB0242,2026-05-16,Absent
562,S0560,SUB0134,2025-09-25,Leave
563,S0379,SUB0711,2026-03-14,Leave
564,S0703,SUB0831,2026-07-02,Present
565,S0502,SUB0107,2026-07-03,Present
566,S0894,SUB0605,2026-02-19,Present
567,S0197,SUB0888,2025-10-24,Present
568,S0709,SUB0979,2026-04-02,Present
569,S0302,SUB0128,2026-05-26,Leave
570,S0962,SUB0206,2025-11-04,Absent
571,S0166,SUB0745,2025-10-27,Absent
572,S0410,SUB0411,2026-07-13,Leave
573,S0351,SUB0388,2025-09-21,Present
574,S0457,SUB0936,2026-03-19,Absent
575,S0776,SUB0901,2026-05-04,Leave
576,S0644,SUB0493,2025-08-01,Leave
577,S0655,SUB0788,2026-02-08,Leave
578,S0083,SUB0326,2026-03-13,Absent
579,S0597,SUB0992,2026-03-29,Present
580,S0220,SUB0596,2025-08-24,Absent
581,S0495,SUB0730,2025-10-28,Leave
582,S0656,SUB0837,2026-05-22,Present
583,S0525,SUB0229,2026-06-08,Absent
584,S0700,SUB0682,2025-11-21,Present
585,S0559,SUB0430,2026-04-21,Leave
586,S0022,SUB0137,2025-12-01,Absent
587,S0393,SUB0856,2025-09-04,Leave
588,S0783,SUB0026,2026-06-11,Absent
589,S0042,SUB0259,2025-12-30,Absent
590,S0719,SUB0727,2025-10-22,Leave
591,S0968,SUB0916,2026-05-14,Absent
592,S0571,SUB0604,2026-03-17,Leave
593,S0501,SUB0316,2026-03-05,Present
594,S0731,SUB0347,2025-10-05,Absent
595,S0459,SUB0742,2025-10-06,Absent
596,S0267,SUB0199,2026-04-19,Present
597,S0378,SUB0519,2025-12-24,Absent
598,S0719,SUB0204,2025-11-01,Absent
599,S0480,SUB0266,2025-09-05,Leave
600,S0071,SUB0622,2026-05-14,Leave
601,S0447,SUB0050,2025-12-12,Leave
602,S0464,SUB0287,2025-09-16,Leave
603,S0032,SUB0620,2025-11-03,Absent
604,S0648,SUB0472,2025-11-16,Absent
605,S0626,SUB0996,2026-03-18,Absent
606,S0864,SUB0809,2026-02-01,Absent
607,S0836,SUB0147,2025-12-19,Absent
608,S0704,SUB0242,2025-08-29,Leave
609,S0451,SUB0554,2026-02-17,Absent
610,S0350,SUB0946,2026-05-29,Absent
611,S0084,SUB0030,2026-05-25,Absent
612,S0674,SUB0747,2025-08-17,Present
613,S0715,SUB0852,2026-01-01,Present
614,S0811,SUB0517,2026-06-12,Absent
615,S0654,SUB0654,2026-05-25,Leave
