placement_id,student_id,company_name,job_role,package_lpa,placement_year
P0143,S0143,HCL,ML Engineer,31,2024
P0144,S0144,Oracle,Data Engineer,29,2026
P0145,S0145,Oracle,ML Engineer,10,2026
P0146,S0146,HCL,Data Analyst,4,2025
P0147,S0147,Google,Data Engineer,16,2026
P0148,S0148,Wipro,Cloud Engineer,20,2024
P0149,S0149,Deloitte,Cloud Engineer,9,2025
P0150,S0150,TCS,Data Analyst,24,2025
P0151,S0151,Microsoft,Backend Developer,33,2024
P0152,S0152,Deloitte,Software Engineer,36,2026
P0153,S0153,Amazon,ML Engineer,19,2025
P0154,S0154,Microsoft,Software Engineer,12,2026
P0155,S0155,Infosys,Backend Developer,18,2025
P0156,S0156,Deloitte,Data Engineer,24,2024
P0157,S0157,Accenture,Cloud Engineer,10,2026
P0158,S0158,Infosys,Data Engineer,18,2025
P0159,S0159,Amazon,ML Engineer,19,2026
P0160,S0160,Intel,Backend Developer,27,2025
P0161,S0161,Oracle,Software Engineer,26,2026
P0162,S0162,TCS,Software Engineer,35,2025
P0163,S0163,Adobe,Backend Developer,10,2026
P0164,S0164,Cisco,Data Analyst,8,2024
P0165,S0165,Intel,Data Analyst,39,2026
P0166,S0166,Capgemini,Software Engineer,24,2026
P0167,S0167,TCS,ML Engineer,4,2024
P0168,S0168,Google,Cloud Engineer,28,2024
P0169,S0169,Amazon,Data Analyst,30,2024
P0170,S0170,Oracle,Data Analyst,14,2024
P0171,S0171,Wipro,Data Engineer,6,2025
P0172,S0172,Adobe,Data Engineer,38,2025
P0173,S0173,TCS,Software Engineer,16,2024
P0174,S0174,Deloitte,Data Analyst,9,2026
P0175,S0175,IBM,Data Analyst,31,2026
P0176,S0176,Infosys,ML Engineer,32,2024
P0177,S0177,Infosys,Data Analyst,23,2025
P0178,S0178,Accenture,Software Engineer,10,2024
P0179,S0179,Microsoft,ML Engineer,23,2024
P0180,S0180,IBM,ML Engineer,27,2026
P0181,S0181,Accenture,Data Analyst,34,2025
P0182,S0182,HCL,Cloud Engineer,38,2024
P0183,S0183,Google,Backend Developer,18,2026
P0184,S0184,HCL,Cloud Engineer,34,2024
P0185,S0185,Accenture,Backend Developer,8,2026
P0186,S0186,Adobe,Data Engineer,37,2024
P0187,S0187,Oracle,Software Engineer,12,2024
P0188,S0188,Google,Backend Developer,22,2026
P0189,S0189,Wipro,Backend Developer,40,2025
P0190,S0190,Capgemini,Cloud Engineer,29,2024
P0191,S0191,Infosys,Data Engineer,32,2026
P0192,S0192,Accenture,Cloud Engineer,21,2025
P0193,S0193,Wipro,ML Engineer,15,2026
P0194,S0194,Wipro,Data Engineer,6,2026
P0195,S0195,Oracle,ML Engineer,37,2026
P0196,S0196,Intel,ML Engineer,17,2026
P0197,S0197,Intel,Data Analyst,32,2025
P0198,S0198,Oracle,Backend Developer,20,2024
P0199,S0199,Accenture,Software Engineer,11,2026
P0200,S0200,Amazon,Data Engineer,36,2025
P0201,S0201,Amazon,Data Analyst,32,2026
P0202,S0202,Capgemini,Data Analyst,6,2026
P0203,S0203,TCS,Cloud Engineer,37,2024
P0204,S0204,Adobe,Software Engineer,25,2025
P0205,S0205,Wipro,Software Engineer,27,2026
P0206,S0206,Microsoft,Data Analyst,29,2024
P0207,S0207,TCS,Data Analyst,30,2025
P0208,S0208,IBM,Data Engineer,17,2024
P0209,S0209,Intel,ML Engineer,38,2024
P0210,S0210,Accenture,Cloud Engineer,24,2026
P0211,S0211,Adobe,Backend Developer,31,2024
P0212,S0212,Infosys,Data Analyst,36,2026
P0213,S0213,Infosys,ML Engineer,23,2024
P0214,S0214,IBM,Cloud Engineer,17,2025
P0215,S0215,Oracle,Backend Developer,21,2024
P0216,S0216,Amazon,Cloud Engineer,35,2025
P0217,S0217,Deloitte,Software Engineer,37,2026
P0218,S0218,HCL,Data Analyst,21,2024
P0219,S0219,IBM,Backend Developer,17,2025
P0220,S0220,TCS,Software Engineer,10,2025
P0221,S0221,TCS,Data Engineer,18,2025
P0222,S0222,Cisco,Cloud Engineer,30,2025
P0223,S0223,Microsoft,ML Engineer,20,2026
P0224,S0224,Cisco,Cloud Engineer,26,2026
P0225,S0225,Capgemini,Data Engineer,33,2025
P0226,S0226,Cisco,Data Analyst,35,2025
P0227,S0227,Wipro,Data Engineer,16,2026
P0228,S0228,Deloitte,Data Analyst,8,2024
P0229,S0229,TCS,ML Engineer,6,2024
P0230,S0230,Google,ML Engineer,16,2025
P0231,S0231,Google,ML Engineer,9,2025
P0232,S0232,Amazon,ML Engineer,23,2024
P0233,S0233,Intel,ML Engineer,4,2026
P0234,S0234,Deloitte,Cloud Engineer,34,2024
P0235,S0235,Intel,Backend Developer,34,2026
P0236,S0236,Deloitte,Software Engineer,20,2026
P0237,S0237,Microsoft,ML Engineer,5,2026
P0238,S0238,Cisco,Backend Developer,29,2024
P0239,S0239,Intel,Backend Developer,14,2026
P0240,S0240,Microsoft,Data Analyst,36,2025
P0241,S0241,TCS,Data Engineer,6,2025
P0242,S0242,TCS,Backend Developer,19,2026
P0243,S0243,HCL,Cloud Engineer,35,2025
P0244,S0244,HCL,Software Engineer,19,2024
P0245,S0245,HCL,Data Engineer,5,2026
P0246,S0246,Intel,ML Engineer,30,2026
P0247,S0247,Cisco,Backend Developer,21,2024
P0248,S0248,Capgemini,ML Engineer,24,2024
P0249,S0249,Amazon,ML Engineer,15,2026
P0250,S0250,HCL,Cloud Engineer,17,2025
P0251,S0251,Wipro,Backend Developer,13,2025
P0252,S0252,HCL,Data Engineer,9,2026
P0253,S0253,Capgemini,Software Engineer,7,2024
P0254,S0254,Amazon,ML Engineer,23,2025
P0255,S0255,Accenture,Data Engineer,38,2025
P0256,S0256,Google,Backend Developer,13,2025
P0257,S0257,Google,Backend Developer,27,2025
P0258,S0258,Capgemini,Software Engineer,26,2025
P0259,S0259,Capgemini,Backend Developer,16,2025
P0260,S0260,Capgemini,ML Engineer,22,2025
P0261,S0261,Deloitte,Software Engineer,26,2024
P0262,S0262,Wipro,Data Analyst,31,2024
P0263,S0263,Wipro,Software Engineer,7,2026
P0264,S0264,Amazon,Data Engineer,15,2025
P0265,S0265,Oracle,Backend Developer,17,2024
P0266,S0266,HCL,Backend Developer,40,2026
P0267,S0267,Oracle,Cloud Engineer,22,2025
P0268,S0268,Cisco,Backend Developer,40,2026
P0269,S0269,Accenture,Backend Developer,18,2025
P0270,S0270,IBM,Cloud Engineer,33,2025
P0271,S0271,Adobe,Data Analyst,17,2026
P0272,S0272,IBM,Software Engineer,33,2026
P0273,S0273,Capgemini,Data Analyst,15,2024
P0274,S0274,Infosys,Data Analyst,10,2024
P0275,S0275,Microsoft,Data Analyst,39,2026
P0276,S0276,Cisco,Cloud Engineer,9,2025
P0277,S0277,TCS,Software Engineer,11,2025
P0278,S0278,Adobe,Backend Developer,10,2026
P0279,S0279,IBM,Data Analyst,18,2025
P0280,S0280,Microsoft,Data Engineer,34,2025
P0281,S0281,Google,Software Engineer,36,2024
P0282,S0282,Cisco,Software Engineer,17,2024
P0283,S0283,Infosys,Data Analyst,12,2026
P0284,S0284,Accenture,Cloud Engineer,9,2026
P0285,S0285,TCS,Data Engineer,16,2026
P0286,S0286,Microsoft,Backend Developer,14,2025
P0287,S0287,Deloitte,Data Analyst,15,2026
P0288,S0288,HCL,Data Engineer,23,2025
P0289,S0289,Accenture,ML Engineer,33,2026
P0290,S0290,Intel,Data Analyst,15,2026
P0291,S0291,Infosys,Data Engineer,31,2025
P0292,S0292,Amazon,Data Analyst,11,2026
P0293,S0293,Microsoft,Data Engineer,11,2024
P0294,S0294,Capgemini,Data Engineer,38,2026
P0295,S0295,TCS,Backend Developer,27,2024
P0296,S0296,Cisco,ML Engineer,13,2025
P0297,S0297,Capgemini,Data Analyst,26,2024
P0298,S0298,HCL,Data Analyst,37,2024
P0299,S0299,HCL,Backend Developer,23,2025
P0300,S0300,Accenture,Data Analyst,4,2025
P0301,S0301,Amazon,ML Engineer,28,2026
P0302,S0302,Accenture,Cloud Engineer,7,2024
P0303,S0303,Google,Data Engineer,37,2024
P0304,S0304,Cisco,Cloud Engineer,40,2026
P0305,S0305,Amazon,Data Analyst,16,2025
P0306,S0306,Infosys,Software Engineer,38,2025
P0307,S0307,Deloitte,Backend Developer,28,2025
P0308,S0308,Adobe,Software Engineer,35,2026
P0309,S0309,Intel,ML Engineer,21,2025
P0310,S0310,Adobe,Backend Developer,13,2026
P0311,S0311,Wipro,Cloud Engineer,35,2024
P0312,S0312,Capgemini,Software Engineer,14,2025
P0313,S0313,HCL,Backend Developer,16,2025
P0314,S0314,Accenture,Software Engineer,32,2025
P0315,S0315,IBM,ML Engineer,9,2025
P0316,S0316,HCL,Data Engineer,18,2024
P0317,S0317,Intel,ML Engineer,8,2024
P0318,S0318,Amazon,Software Engineer,39,2024
P0319,S0319,IBM,ML Engineer,12,2024
P0320,S0320,Infosys,ML Engineer,20,2025
P0321,S0321,Microsoft,Backend Developer,7,2025
P0322,S0322,IBM,Backend Developer,9,2025
P0323,S0323,Amazon,Data Analyst,19,2026
P0324,S0324,HCL,Backend Developer,8,2024
P0325,S0325,Deloitte,ML Engineer,17,2026
P0326,S0326,Infosys,Backend Developer,10,2024
P0327,S0327,Microsoft,Software Engineer,5,2026
P0328,S0328,Cisco,Data Analyst,15,2026
P0329,S0329,Capgemini,Cloud Engineer,31,2026
P0330,S0330,HCL,Backend Developer,25,2026
P0331,S0331,Infosys,Cloud Engineer,27,2025
P0332,S0332,HCL,Software Engineer,33,2026
P0333,S0333,Wipro,ML Engineer,27,2025
P0334,S0334,Deloitte,Software Engineer,13,2026
P0335,S0335,Adobe,ML Engineer,22,2025
P0336,S0336,Capgemini,Cloud Engineer,34,2026
P0337,S0337,Adobe,ML Engineer,39,2025
P0338,S0338,Microsoft,Cloud Engineer,28,2026
P0339,S0339,Cisco,Data Engineer,28,2025
P0340,S0340,Infosys,Backend Developer,40,2024
P0341,S0341,Cisco,Data Analyst,34,2025
P0342,S0342,TCS,Data Engineer,35,2024
P0343,S0343,Capgemini,Data Engineer,9,2026
P0344,S0344,Accenture,ML Engineer,20,2026
P0345,S0345,Google,Backend Developer,25,2026
P0346,S0346,Oracle,Software Engineer,16,2026
P0347,S0347,Amazon,Backend Developer,10,2025
P0348,S0348,Wipro,Data Engineer,15,2024
P0349,S0349,Wipro,Cloud Engineer,9,2024
P0350,S0350,TCS,Cloud Engineer,17,2026
P0351,S0351,Infosys,Cloud Engineer,25,2024
P0352,S0352,Intel,Data Analyst,7,2026
P0353,S0353,IBM,Backend Developer,20,2024
P0354,S0354,Deloitte,Cloud Engineer,34,2025
P0355,S0355,Accenture,ML Engineer,35,2024
P0356,S0356,Google,Software Engineer,5,2024
P0357,S0357,Oracle,Software Engineer,5,2026
P0358,S0358,Capgemini,Data Engineer,7,2024
P0359,S0359,TCS,Software Engineer,35,2025
P0360,S0360,Capgemini,Data Engineer,4,2024
P0361,S0361,Oracle,ML Engineer,9,2025
P0362,S0362,IBM,Data Engineer,14,2026
P0363,S0363,Cisco,Software Engineer,40,2025
P0364,S0364,HCL,Backend Developer,27,2024
P0365,S0365,HCL,Data Engineer,34,2026
P0366,S0366,Oracle,ML Engineer,39,2024
P0367,S0367,Capgemini,Data Engineer,38,2025
P0368,S0368,Capgemini,ML Engineer,33,2024
P0369,S0369,Adobe,Data Engineer,21,2026
P0370,S0370,IBM,Data Engineer,20,2024
P0371,S0371,HCL,Backend Developer,21,2024
P0372,S0372,Capgemini,Data Analyst,21,2024
P0373,S0373,Capgemini,Software Engineer,20,2026
P0374,S0374,Accenture,Data Engineer,30,2024
P0375,S0375,Microsoft,Backend Developer,35,2024
P0376,S0376,Amazon,Data Analyst,32,2025
P0377,S0377,Infosys,Cloud Engineer,35,2026
P0378,S0378,Accenture,Backend Developer,11,2024
P0379,S0379,Accenture,Data Engineer,15,2026
P0380,S0380,Accenture,Data Engineer,9,2025
P0381,S0381,TCS,Software Engineer,36,2025
P0382,S0382,Infosys,ML Engineer,29,2024
P0383,S0383,Accenture,Software Engineer,28,2025
P0384,S0384,Google,Data Engineer,38,2026
P0385,S0385,IBM,Software Engineer,14,2026
P0386,S0386,Adobe,Cloud Engineer,31,2025
P0387,S0387,Infosys,Backend Developer,38,2026
P0388,S0388,TCS,Software Engineer,28,2026
P0389,S0389,Capgemini,Data Engineer,25,2025
P0390,S0390,Microsoft,Data Engineer,7,2024
P0391,S0391,Capgemini,Software Engineer,27,2025
P0392,S0392,Deloitte,Data Analyst,18,2025
P0393,S0393,Google,Data Analyst,14,2025
P0394,S0394,Amazon,Data Engineer,17,2026
P0395,S0395,Google,ML Engineer,15,2026
P0396,S0396,Oracle,Software Engineer,21,2024
P0397,S0397,Intel,Data Analyst,28,2026
P0398,S0398,Deloitte,Data Analyst,30,2026
P0399,S0399,Accenture,Data Engineer,29,2025
P0400,S0400,Cisco,Data Analyst,21,2024
P0401,S0401,Wipro,Data Analyst,11,2026
P0402,S0402,Accenture,ML Engineer,39,2025
P0403,S0403,Microsoft,Data Analyst,29,2026
P0404,S0404,HCL,Data Analyst,13,2026
P0405,S0405,Capgemini,Software Engineer,17,2025
P0406,S0406,TCS,Software Engineer,19,2026
P0407,S0407,Capgemini,ML Engineer,8,2024
P0408,S0408,Accenture,Cloud Engineer,25,2024
P0409,S0409,Microsoft,Data Engineer,22,2024
P0410,S0410,Oracle,Data Engineer,11,2024
P0411,S0411,HCL,Backend Developer,7,2024
P0412,S0412,Adobe,Data Analyst,27,2024
P0413,S0413,Cisco,Software Engineer,12,2025
P0414,S0414,Accenture,Software Engineer,14,2025
P0415,S0415,Capgemini,Data Analyst,23,2026
P0416,S0416,Intel,ML Engineer,36,2026
P0417,S0417,IBM,ML Engineer,26,2025
P0418,S0418,IBM,Data Engineer,34,2024
P0419,S0419,Oracle,Data Engineer,28,2024
P0420,S0420,Microsoft,Data Analyst,20,2026
P0421,S0421,Cisco,Software Engineer,16,2025
P0422,S0422,Intel,Data Engineer,26,2025
P0423,S0423,Google,ML Engineer,21,2024
P0424,S0424,HCL,Cloud Engineer,16,2025
P0425,S0425,Wipro,Data Engineer,15,2026
P0426,S0426,Cisco,ML Engineer,20,2025
P0427,S0427,Cisco,Data Analyst,27,2024
P0428,S0428,Oracle,Data Analyst,21,2024
P0429,S0429,Cisco,Data Analyst,18,2026
P0430,S0430,IBM,Backend Developer,19,2025
P0431,S0431,Cisco,Data Engineer,11,2026
P0432,S0432,Intel,Backend Developer,16,2024
P0433,S0433,Adobe,ML Engineer,33,2024
P0434,S0434,Microsoft,Data Engineer,4,2024
P0435,S0435,Microsoft,Software Engineer,27,2026
P0436,S0436,Intel,Software Engineer,28,2026
P0437,S0437,Amazon,Backend Developer,19,2024
P0438,S0438,Capgemini,Cloud Engineer,12,2025
P0439,S0439,Capgemini,Data Engineer,23,2025
P0440,S0440,Microsoft,Software Engineer,38,2025
P0441,S0441,HCL,ML Engineer,24,2026
P0442,S0442,Adobe,Data Engineer,23,2026
P0443,S0443,Amazon,Data Engineer,9,2026
P0444,S0444,Deloitte,Backend Developer,35,2025
P0445,S0445,TCS,Data Analyst,22,2026
P0446,S0446,Amazon,Backend Developer,15,2026
P0447,S0447,Wipro,Cloud Engineer,27,2024
P0448,S0448,Infosys,Data Analyst,14,2025
P0449,S0449,Amazon,Data Engineer,19,2025
P0450,S0450,Deloitte,Cloud Engineer,26,2026
P0451,S0451,Google,Data Engineer,26,2025
P0452,S0452,Microsoft,Software Engineer,15,2024
P0453,S0453,Capgemini,Cloud Engineer,16,2026
P0454,S0454,TCS,Cloud Engineer,35,2024
P0455,S0455,Microsoft,Backend Developer,27,2025
P0456,S0456,Accenture,Software Engineer,10,2024
P0457,S0457,Intel,Data Engineer,29,2024
P0458,S0458,Google,Data Engineer,17,2024
P0459,S0459,Adobe,ML Engineer,9,2024
P0460,S0460,HCL,Data Engineer,20,2024
P0461,S0461,HCL,Cloud Engineer,10,2025
P0462,S0462,Adobe,Software Engineer,30,2025
P0463,S0463,Deloitte,Cloud Engineer,28,2026
P0464,S0464,Capgemini,Backend Developer,25,2025
P0465,S0465,Wipro,Backend Developer,33,2025
P0466,S0466,Capgemini,Cloud Engineer,6,2024
P0467,S0467,Accenture,Data Analyst,34,2025
P0468,S0468,TCS,ML Engineer,33,2024
P0469,S0469,Microsoft,Software Engineer,11,2026
P0470,S0470,Google,Backend Developer,11,2024
P0471,S0471,Oracle,ML Engineer,28,2024
P0472,S0472,Oracle,Backend Developer,22,2026
P0473,S0473,Intel,Software Engineer,8,2025
P0474,S0474,HCL,Data Engineer,5,2026
P0475,S0475,Deloitte,Backend Developer,9,2024
P0476,S0476,Accenture,Software Engineer,27,2026
P0477,S0477,Wipro,Data Analyst,5,2024
P0478,S0478,Adobe,Data Analyst,13,2025
P0479,S0479,Oracle,Data Engineer,14,2025
P0480,S0480,Intel,Backend Developer,25,2026
P0481,S0481,Google,Backend Developer,27,2025
P0482,S0482,IBM,Data Analyst,40,2026
P0483,S0483,TCS,ML Engineer,39,2025
P0484,S0484,Intel,Cloud Engineer,25,2026
P0485,S0485,Capgemini,ML Engineer,31,2024
P0486,S0486,Infosys,Data Engineer,22,2024
P0487,S0487,HCL,Software Engineer,28,2024
P0488,S0488,Wipro,Backend Developer,36,2024
P0489,S0489,Microsoft,Backend Developer,6,2025
P0490,S0490,IBM,ML Engineer,5,2025
P0491,S0491,Wipro,ML Engineer,17,2025
P0492,S0492,HCL,ML Engineer,21,2025
P0493,S0493,Intel,Data Engineer,14,2024
P0494,S0494,Cisco,Cloud Engineer,22,2024
P0495,S0495,Accenture,Data Engineer,8,2024
P0496,S0496,Amazon,ML Engineer,23,2024
P0497,S0497,Deloitte,Data Analyst,33,2025
P0498,S0498,Microsoft,ML Engineer,12,2026
P0499,S0499,Accenture,ML Engineer,36,2025
P0500,S0500,Cisco,Backend Developer,28,2026
P0501,S0501,Microsoft,Backend Developer,15,2025
P0502,S0502,Amazon,Cloud Engineer,11,2025
P0503,S0503,Wipro,Backend Developer,33,2026
P0504,S0504,Oracle,Software Engineer,16,2024
P0505,S0505,Accenture,Software Engineer,31,2026
P0506,S0506,Infosys,Cloud Engineer,38,2026
P0507,S0507,Cisco,Software Engineer,15,2025
P0508,S0508,Accenture,ML Engineer,16,2025
P0509,S0509,HCL,Data Analyst,40,2026
P0510,S0510,Wipro,Cloud Engineer,30,2025
P0511,S0511,IBM,ML Engineer,19,2024
P0512,S0512,Infosys,Cloud Engineer,34,2025
P0513,S0513,Wipro,Software Engineer,12,2026
P0514,S0514,Adobe,Backend Developer,35,2024
P0515,S0515,Oracle,ML Engineer,25,2025
P0516,S0516,Oracle,Backend Developer,31,2025
P0517,S0517,Intel,ML Engineer,9,2025
P0518,S0518,TCS,Software Engineer,36,2025
P0519,S0519,Intel,Cloud Engineer,39,2025
P0520,S0520,TCS,Software Engineer,15,2024
P0521,S0521,Google,Data Analyst,40,2025
P0522,S0522,HCL,Data Engineer,23,2026
P0523,S0523,Capgemini,ML Engineer,9,2024
P0524,S0524,Oracle,Data Analyst,14,2025
P0525,S0525,TCS,Backend Developer,12,2025
P0526,S0526,Infosys,Software Engineer,18,2024
P0527,S0527,Microsoft,ML Engineer,12,2024
P0528,S0528,HCL,Backend Developer,9,2026
P0529,S0529,IBM,Data Analyst,39,2024
P0530,S0530,Capgemini,Backend Developer,9,2025
P0531,S0531,Amazon,Data Engineer,12,2026
P0532,S0532,Cisco,ML Engineer,11,2024
P0533,S0533,Intel,Data Analyst,8,2024
P0534,S0534,Wipro,Backend Developer,11,2024
P0535,S0535,TCS,ML Engineer,14,2024
P0536,S0536,Infosys,Data Analyst,21,2025
P0537,S0537,Intel,ML Engineer,11,2024
P0538,S0538,IBM,Backend Developer,7,2024
P0539,S0539,Microsoft,Data Analyst,40,2025
P0540,S0540,Intel,ML Engineer,31,2026
P0541,S0541,Adobe,ML Engineer,34,2024
P0542,S0542,Deloitte,Data Engineer,19,2024
P0543,S0543,Cisco,ML Engineer,39,2025
P0544,S0544,Microsoft,ML Engineer,21,2024
P0545,S0545,Capgemini,Cloud Engineer,28,2026
P0546,S0546,Amazon,Data Engineer,22,2026
P0547,S0547,Google,Data Engineer,40,2025
P0548,S0548,Capgemini,Software Engineer,13,2026
P0549,S0549,Intel,Data Analyst,32,2025
P0550,S0550,Capgemini,Data Engineer,17,2024
P0551,S0551,Amazon,Data Analyst,28,2025
P0552,S0552,HCL,Cloud Engineer,7,2025
P0553,S0553,Wipro,Data Analyst,21,2025
P0554,S0554,Cisco,ML Engineer,22,2025
P0555,S0555,Accenture,Data Analyst,32,2025
