book_id,book_name,author,publisher,publication_year
B00119,Big Data,Korth,McGraw Hill,2025
B00120,Cloud Computing,Sutton,Oxford,2021
B00121,Data Structures,Ross,Springer,2023
B00122,Python Programming,Galvin,Springer,2012
B00123,Machine Learning,Goodfellow,Wiley,2026
B00124,Machine Learning,James,Pearson,2010
B00125,Microprocessors,Ross,Oxford,2013
B00126,Big Data,Ross,Wiley,2016
B00127,Database Management Systems,Goodfellow,Springer,2022
B00128,Database Management Systems,Stallings,Wiley,2011
B00129,Operating Systems,Silberschatz,McGraw Hill,2020
B00130,Database Management Systems,Silberschatz,Springer,2013
B00131,Digital Logic,James,Springer,2019
B00132,Database Management Systems,Sutton,Pearson,2024
B00133,Big Data,Silberschatz,Springer,2026
B00134,Artificial Intelligence,Sutton,Wiley,2024
B00135,Cloud Computing,Sutton,Springer,2026
B00136,Computer Networks,Galvin,Springer,2020
B00137,Python Programming,Sutton,Pearson,2017
B00138,Deep Learning,Galvin,Pearson,2024
B00139,Software Engineering,Galvin,Oxford,2011
B00140,Machine Learning,Ross,Wiley,2015
B00141,Software Engineering,Cormen,Oxford,2010
B00142,Statistics,Korth,Pearson,2022
B00143,Java Programming,Ross,Springer,2026
B00144,Cloud Computing,Tanenbaum,Wiley,2013
B00145,Statistics,Sutton,Pearson,2020
B00146,Deep Learning,Goodfellow,Pearson,2018
B00147,Computer Networks,Tanenbaum,Wiley,2017
B00148,Statistics,Goodfellow,Springer,2026
B00149,Data Structures,Silberschatz,Springer,2016
B00150,Software Engineering,Sutton,Pearson,2011
B00151,Java Programming,Ross,Oxford,2012
B00152,Microprocessors,Cormen,Oxford,2017
B00153,Cloud Computing,Cormen,Oxford,2013
B00154,Discrete Mathematics,Ross,Springer,2023
B00155,Digital Logic,Galvin,Pearson,2017
B00156,Deep Learning,Cormen,Springer,2019
B00157,Python Programming,Cormen,Wiley,2016
B00158,Deep Learning,Stallings,Wiley,2017
B00159,Cyber Security,Goodfellow,Wiley,2018
B00160,Compiler Design,Goodfellow,Oxford,2014
B00161,Java Programming,Stallings,McGraw Hill,2024
B00162,Discrete Mathematics,Galvin,Oxford,2021
B00163,Python Programming,Stallings,Oxford,2010
B00164,Data Mining,Goodfellow,Oxford,2019
B00165,Digital Logic,Korth,Pearson,2014
B00166,Big Data,Ross,McGraw Hill,2026
B00167,Discrete Mathematics,Cormen,Oxford,2017
B00168,Statistics,Silberschatz,Pearson,2025
B00169,Data Structures,Goodfellow,Springer,2023
B00170,Cloud Computing,James,McGraw Hill,2018
B00171,Software Engineering,Cormen,McGraw Hill,2018
B00172,Algorithms,Korth,Pearson,2011
B00173,Artificial Intelligence,Silberschatz,Wiley,2020
B00174,Software Engineering,Sutton,Oxford,2013
B00175,Cloud Computing,Stallings,Pearson,2022
B00176,Computer Networks,Stallings,Oxford,2017
B00177,Cloud Computing,Goodfellow,Oxford,2016
B00178,Big Data,Silberschatz,Wiley,2011
B00179,Compiler Design,James,Springer,2016
B00180,Cyber Security,Stallings,Pearson,2013
B00181,Cloud Computing,Ross,Oxford,2015
B00182,Statistics,Galvin,Oxford,2013
B00183,Operating Systems,Galvin,Pearson,2023
B00184,Microprocessors,Galvin,Pearson,2026
B00185,Operating Systems,Cormen,McGraw Hill,2013
B00186,Compiler Design,Cormen,Pearson,2018
B00187,Machine Learning,Sutton,Oxford,2011
B00188,Data Structures,Ross,McGraw Hill,2020
B00189,Big Data,Tanenbaum,McGraw Hill,2018
B00190,Big Data,Tanenbaum,Pearson,2011
B00191,Python Programming,Goodfellow,Springer,2012
B00192,Artificial Intelligence,James,Wiley,2018
B00193,Computer Networks,Cormen,McGraw Hill,2018
B00194,Cyber Security,James,Pearson,2021
B00195,Algorithms,Stallings,McGraw Hill,2010
B00196,Computer Networks,Sutton,Wiley,2016
B00197,Data Structures,Korth,Oxford,2024
B00198,Microprocessors,Tanenbaum,Oxford,2011
B00199,Artificial Intelligence,Silberschatz,Springer,2023
B00200,Software Engineering,Goodfellow,Oxford,2010
B00201,Data Mining,Ross,Springer,2018
B00202,Operating Systems,Galvin,Springer,2022
B00203,Deep Learning,James,McGraw Hill,2026
B00204,Python Programming,Galvin,Springer,2011
B00205,Operating Systems,Galvin,McGraw Hill,2016
B00206,Compiler Design,Silberschatz,Springer,2015
B00207,Digital Logic,Ross,Pearson,2020
B00208,Artificial Intelligence,Cormen,Wiley,2022
B00209,Database Management Systems,Goodfellow,Springer,2020
B00210,Java Programming,James,Springer,2020
B00211,Database Management Systems,Silberschatz,Pearson,2018
B00212,Machine Learning,Goodfellow,Oxford,2025
B00213,Microprocessors,Silberschatz,McGraw Hill,2018
B00214,Digital Logic,Stallings,Oxford,2013
B00215,Java Programming,Korth,Wiley,2026
B00216,Cloud Computing,Silberschatz,Springer,2025
B00217,Computer Networks,Galvin,Pearson,2025
B00218,Digital Logic,Stallings,Wiley,2019
B00219,Operating Systems,Cormen,Wiley,2013
B00220,Data Structures,Goodfellow,Springer,2019
B00221,Python Programming,Korth,McGraw Hill,2021
B00222,Microprocessors,Tanenbaum,Wiley,2023
B00223,Software Engineering,Stallings,Springer,2020
B00224,Artificial Intelligence,Korth,McGraw Hill,2014
B00225,Statistics,Sutton,Oxford,2019
B00226,Deep Learning,Tanenbaum,Springer,2017
B00227,Compiler Design,Korth,Wiley,2019
B00228,Statistics,Cormen,Wiley,2016
B00229,Software Engineering,Sutton,Oxford,2024
B00230,Compiler Design,Cormen,Wiley,2010
B00231,Cyber Security,Silberschatz,McGraw Hill,2022
B00232,Cloud Computing,Ross,McGraw Hill,2013
B00233,Discrete Mathematics,Cormen,Pearson,2010
B00234,Computer Networks,Silberschatz,Oxford,2014
B00235,Compiler Design,Sutton,McGraw Hill,2011
B00236,Python Programming,Cormen,Oxford,2016
B00237,Statistics,Galvin,Wiley,2019
B00238,Database Management Systems,Goodfellow,McGraw Hill,2011
B00239,Database Management Systems,Tanenbaum,Wiley,2023
B00240,Java Programming,James,Oxford,2016
B00241,Java Programming,James,Wiley,2021
B00242,Data Mining,James,Pearson,2015
B00243,Machine Learning,Sutton,Springer,2022
B00244,Data Mining,Silberschatz,Wiley,2023
B00245,Algorithms,Silberschatz,Oxford,2017
B00246,Data Structures,Stallings,Oxford,2019
B00247,Java Programming,Galvin,Pearson,2012
B00248,Compiler Design,James,McGraw Hill,2024
B00249,Deep Learning,Ross,Pearson,2015
B00250,Microprocessors,Stallings,Springer,2018
B00251,Algorithms,Sutton,Springer,2016
B00252,Machine Learning,Korth,Springer,2024
B00253,Artificial Intelligence,Stallings,Springer,2015
B00254,Python Programming,Korth,Pearson,2012
B00255,Java Programming,James,Wiley,2022
B00256,Computer Networks,James,Springer,2018
B00257,Algorithms,James,McGraw Hill,2024
B00258,Python Programming,Goodfellow,Wiley,2016
B00259,Statistics,Korth,Wiley,2016
B00260,Statistics,Korth,Wiley,2026
B00261,Python Programming,Silberschatz,Springer,2014
B00262,Database Management Systems,Silberschatz,Springer,2010
B00263,Deep Learning,Stallings,Pearson,2020
B00264,Data Mining,Korth,Wiley,2017
B00265,Compiler Design,Sutton,Wiley,2015
B00266,Microprocessors,Tanenbaum,Oxford,2010
B00267,Discrete Mathematics,Cormen,Pearson,2016
B00268,Database Management Systems,Ross,McGraw Hill,2010
B00269,Data Mining,Stallings,Wiley,2021
B00270,Python Programming,Sutton,Oxford,2015
B00271,Digital Logic,Galvin,Oxford,2019
B00272,Cyber Security,Tanenbaum,Pearson,2023
B00273,Digital Logic,James,Oxford,2024
B00274,Digital Logic,Goodfellow,Pearson,2014
B00275,Machine Learning,James,McGraw Hill,2015
B00276,Compiler Design,Cormen,Springer,2018
B00277,Artificial Intelligence,James,Oxford,2023
B00278,Cyber Security,Sutton,Springer,2012
B00279,Microprocessors,Ross,Springer,2017
B00280,Machine Learning,Galvin,Springer,2016
B00281,Big Data,Sutton,McGraw Hill,2020
B00282,Microprocessors,Cormen,Pearson,2018
B00283,Algorithms,Goodfellow,Oxford,2016
B00284,Cyber Security,Cormen,Wiley,2012
B00285,Discrete Mathematics,Galvin,Oxford,2017
B00286,Java Programming,Silberschatz,Springer,2014
B00287,Computer Networks,Goodfellow,Oxford,2023
B00288,Software Engineering,Galvin,Oxford,2015
B00289,Digital Logic,Galvin,McGraw Hill,2016
B00290,Discrete Mathematics,Sutton,Pearson,2022
B00291,Cyber Security,Ross,Wiley,2016
B00292,Artificial Intelligence,Ross,McGraw Hill,2023
B00293,Statistics,Cormen,Wiley,2014
B00294,Digital Logic,Stallings,Oxford,2016
B00295,Artificial Intelligence,Sutton,Oxford,2024
B00296,Machine Learning,Cormen,Oxford,2011
B00297,Computer Networks,James,Wiley,2026
B00298,Computer Networks,Goodfellow,Oxford,2013
B00299,Data Mining,Ross,Oxford,2018
B00300,Cyber Security,Goodfellow,Oxford,2026
B00301,Operating Systems,Stallings,McGraw Hill,2021
B00302,Database Management Systems,Goodfellow,McGraw Hill,2021
B00303,Machine Learning,Sutton,Oxford,2016
B00304,Statistics,Goodfellow,Wiley,2021
B00305,Algorithms,Tanenbaum,Pearson,2011
B00306,Cyber Security,Silberschatz,McGraw Hill,2015
B00307,Data Mining,Silberschatz,Oxford,2018
B00308,Statistics,Silberschatz,McGraw Hill,2014
B00309,Java Programming,Korth,Oxford,2015
B00310,Microprocessors,Galvin,McGraw Hill,2013
B00311,Deep Learning,Cormen,Pearson,2017
B00312,Python Programming,Galvin,Springer,2023
B00313,Software Engineering,Cormen,Oxford,2016
B00314,Data Mining,Cormen,Wiley,2015
B00315,Big Data,Ross,Oxford,2013
B00316,Python Programming,Tanenbaum,Oxford,2026
B00317,Cyber Security,Silberschatz,Pearson,2015
B00318,Digital Logic,Goodfellow,McGraw Hill,2019
B00319,Artificial Intelligence,Tanenbaum,Pearson,2020
B00320,Cloud Computing,Korth,McGraw Hill,2013
B00321,Data Structures,Silberschatz,Oxford,2026
B00322,Software Engineering,James,McGraw Hill,2023
B00323,Big Data,Sutton,Pearson,2026
B00324,Database Management Systems,Galvin,Pearson,2014
B00325,Microprocessors,James,McGraw Hill,2012
B00326,Cyber Security,Korth,McGraw Hill,2011
B00327,Microprocessors,Galvin,Pearson,2015
B00328,Data Mining,James,Oxford,2012
B00329,Computer Networks,Korth,McGraw Hill,2020
B00330,Compiler Design,Ross,Pearson,2021
B00331,Data Structures,Goodfellow,McGraw Hill,2012
B00332,Big Data,Cormen,Springer,2022
B00333,Computer Networks,Korth,McGraw Hill,2014
B00334,Java Programming,Stallings,McGraw Hill,2023
B00335,Big Data,Galvin,McGraw Hill,2018
B00336,Data Mining,James,Springer,2023
B00337,Algorithms,Cormen,McGraw Hill,2018
B00338,Java Programming,Stallings,Pearson,2015
B00339,Algorithms,Sutton,Pearson,2018
B00340,Python Programming,Goodfellow,Pearson,2016
B00341,Microprocessors,Stallings,McGraw Hill,2019
B00342,Algorithms,Korth,Springer,2020
B00343,Compiler Design,Galvin,Pearson,2020
B00344,Discrete Mathematics,Ross,Oxford,2010
B00345,Java Programming,Tanenbaum,McGraw Hill,2011
B00346,Compiler Design,Korth,McGraw Hill,2010
B00347,Java Programming,Cormen,Springer,2026
B00348,Python Programming,Silberschatz,Springer,2020
B00349,Database Management Systems,Ross,Springer,2022
B00350,Cyber Security,Galvin,Springer,2021
B00351,Digital Logic,Tanenbaum,Pearson,2018
B00352,Big Data,Goodfellow,Springer,2026
B00353,Data Mining,Tanenbaum,Oxford,2024
B00354,Compiler Design,Silberschatz,Oxford,2014
B00355,Database Management Systems,James,Oxford,2026
B00356,Statistics,James,Oxford,2019
B00357,Algorithms,Silberschatz,Wiley,2025
B00358,Machine Learning,Cormen,Springer,2010
B00359,Database Management Systems,Korth,McGraw Hill,2010
B00360,Java Programming,Sutton,Pearson,2015
B00361,Data Mining,Stallings,Pearson,2019
B00362,Deep Learning,Sutton,Oxford,2019
B00363,Database Management Systems,James,Wiley,2023
B00364,Machine Learning,Korth,Springer,2023
B00365,Data Structures,Ross,Oxford,2019
B00366,Algorithms,Stallings,Wiley,2025
B00367,Discrete Mathematics,Goodfellow,Pearson,2010
B00368,Database Management Systems,Sutton,Pearson,2011
B00369,Cyber Security,Stallings,McGraw Hill,2024
B00370,Cyber Security,Ross,McGraw Hill,2011
B00371,Database Management Systems,James,McGraw Hill,2026
B00372,Discrete Mathematics,James,Oxford,2023
B00373,Operating Systems,Silberschatz,McGraw Hill,2020
B00374,Database Management Systems,Tanenbaum,McGraw Hill,2011
B00375,Data Mining,James,Oxford,2026
B00376,Algorithms,Ross,McGraw Hill,2025
B00377,Compiler Design,Silberschatz,Springer,2023
B00378,Machine Learning,Stallings,Pearson,2012
B00379,Compiler Design,Tanenbaum,Oxford,2015
B00380,Discrete Mathematics,Goodfellow,Springer,2018
B00381,Digital Logic,Galvin,Pearson,2020
B00382,Cyber Security,James,Wiley,2012
B00383,Deep Learning,Cormen,McGraw Hill,2010
B00384,Algorithms,Goodfellow,Wiley,2012
B00385,Big Data,James,Wiley,2022
B00386,Digital Logic,Sutton,Pearson,2016
B00387,Data Structures,Stallings,Wiley,2017
B00388,Java Programming,Ross,Oxford,2012
B00389,Algorithms,James,Wiley,2010
B00390,Database Management Systems,Ross,McGraw Hill,2013
B00391,Artificial Intelligence,Galvin,Pearson,2012
B00392,Data Structures,Goodfellow,McGraw Hill,2010
B00393,Software Engineering,Goodfellow,Springer,2015
B00394,Machine Learning,Cormen,Wiley,2019
B00395,Statistics,Galvin,Springer,2017
B00396,Database Management Systems,Stallings,Oxford,2013
B00397,Big Data,Silberschatz,McGraw Hill,2023
B00398,Data Mining,Korth,Wiley,2019
B00399,Computer Networks,Cormen,Springer,2013
B00400,Digital Logic,James,Springer,2022
B00401,Statistics,Silberschatz,Springer,2024
B00402,Big Data,Galvin,Wiley,2024
B00403,Python Programming,Tanenbaum,McGraw Hill,2017
B00404,Machine Learning,Ross,McGraw Hill,2019
B00405,Discrete Mathematics,Goodfellow,Springer,2024
B00406,Data Mining,Ross,McGraw Hill,2022
B00407,Deep Learning,Ross,McGraw Hill,2024
B00408,Machine Learning,Sutton,McGraw Hill,2017
B00409,Database Management Systems,Cormen,McGraw Hill,2022
B00410,Algorithms,Stallings,Wiley,2013
B00411,Python Programming,Korth,Springer,2015
B00412,Cyber Security,Tanenbaum,Springer,2021
B00413,Java Programming,Sutton,Wiley,2026
B00414,Discrete Mathematics,Tanenbaum,Springer,2012
B00415,Data Structures,Ross,Oxford,2013
B00416,Java Programming,Korth,Pearson,2019
B00417,Artificial Intelligence,Stallings,McGraw Hill,2018
B00418,Compiler Design,Goodfellow,Pearson,2010
B00419,Operating Systems,Goodfellow,Oxford,2020
B00420,Artificial Intelligence,Korth,Springer,2022
B00421,Algorithms,Korth,Springer,2024
B00422,Data Mining,Tanenbaum,Wiley,2025
B00423,Cloud Computing,Silberschatz,Oxford,2010
B00424,Statistics,Silberschatz,Oxford,2020
B00425,Statistics,James,Springer,2022
B00426,Digital Logic,Galvin,Oxford,2010
B00427,Database Management Systems,Galvin,McGraw Hill,2017
B00428,Compiler Design,Sutton,Oxford,2020
B00429,Computer Networks,Tanenbaum,Pearson,2021
B00430,Cyber Security,James,McGraw Hill,2018
B00431,Cyber Security,Silberschatz,McGraw Hill,2026
B00432,Artificial Intelligence,Cormen,McGraw Hill,2019
B00433,Machine Learning,Tanenbaum,Wiley,2016
B00434,Python Programming,Stallings,Wiley,2025
B00435,Microprocessors,James,McGraw Hill,2020
B00436,Discrete Mathematics,James,McGraw Hill,2014
B00437,Microprocessors,Galvin,Springer,2020
B00438,Cyber Security,Galvin,McGraw Hill,2016
B00439,Statistics,Sutton,McGraw Hill,2023
B00440,Microprocessors,Stallings,Springer,2017
B00441,Microprocessors,Silberschatz,Wiley,2014
B00442,Cloud Computing,Galvin,Pearson,2015
B00443,Software Engineering,Tanenbaum,Oxford,2020
B00444,Big Data,Silberschatz,McGraw Hill,2022
B00445,Big Data,Korth,Wiley,2020
B00446,Computer Networks,Silberschatz,Oxford,2026
B00447,Java Programming,Korth,McGraw Hill,2017
B00448,Python Programming,Silberschatz,McGraw Hill,2025
B00449,Data Structures,Silberschatz,Oxford,2020
B00450,Software Engineering,Korth,Oxford,2013
B00451,Data Structures,Ross,Wiley,2013
B00452,Machine Learning,Tanenbaum,Wiley,2014
B00453,Data Structures,Sutton,Springer,2024
B00454,Computer Networks,Galvin,Springer,2010
B00455,Data Structures,Galvin,Pearson,2015
B00456,Microprocessors,Ross,Oxford,2023
B00457,Operating Systems,Cormen,Oxford,2021
B00458,Compiler Design,Tanenbaum,McGraw Hill,2013
B00459,Database Management Systems,James,Wiley,2016
B00460,Data Mining,Korth,Springer,2014
B00461,Cyber Security,Sutton,Wiley,2013
B00462,Database Management Systems,Stallings,McGraw Hill,2022
B00463,Statistics,Ross,Oxford,2022
B00464,Cloud Computing,Stallings,McGraw Hill,2013
B00465,Database Management Systems,Ross,Pearson,2025
B00466,Data Mining,Goodfellow,Wiley,2018
B00467,Deep Learning,Ross,McGraw Hill,2016
B00468,Python Programming,James,Pearson,2017
B00469,Algorithms,Goodfellow,Wiley,2019
B00470,Artificial Intelligence,Cormen,Pearson,2017
B00471,Java Programming,Ross,Springer,2012
B00472,Computer Networks,Tanenbaum,Springer,2015
B00473,Microprocessors,Cormen,Pearson,2019
B00474,Java Programming,Tanenbaum,McGraw Hill,2010
B00475,Discrete Mathematics,James,Springer,2012
B00476,Artificial Intelligence,Korth,Wiley,2012
B00477,Machine Learning,Sutton,Wiley,2025
B00478,Compiler Design,Stallings,McGraw Hill,2021
B00479,Database Management Systems,Goodfellow,McGraw Hill,2010
B00480,Big Data,James,Springer,2014
B00481,Microprocessors,Galvin,Wiley,2025
B00482,Statistics,Tanenbaum,Oxford,2013
B00483,Data Structures,Ross,Oxford,2025
B00484,Machine Learning,Sutton,Springer,2011
B00485,Cloud Computing,Sutton,Springer,2014
B00486,Digital Logic,Tanenbaum,Oxford,2013
B00487,Cloud Computing,Silberschatz,Springer,2020
B00488,Python Programming,James,Pearson,2020
B00489,Database Management Systems,Stallings,McGraw Hill,2020
B00490,Digital Logic,James,Oxford,2011
B00491,Big Data,Korth,Oxford,2019
B00492,Big Data,Tanenbaum,Springer,2017
B00493,Database Management Systems,Goodfellow,Springer,2019
B00494,Machine Learning,James,Springer,2010
B00495,Computer Networks,Korth,McGraw Hill,2014
B00496,Computer Networks,Ross,Wiley,2026
B00497,Microprocessors,Stallings,Pearson,2026
B00498,Data Structures,Sutton,Pearson,2023
B00499,Data Mining,Silberschatz,Springer,2015
B00500,Operating Systems,Korth,Wiley,2024
B00501,Java Programming,Stallings,Oxford,2011
B00502,Artificial Intelligence,Korth,McGraw Hill,2026
B00503,Cyber Security,Goodfellow,Springer,2018
B00504,Microprocessors,Goodfellow,Pearson,2010
B00505,Digital Logic,Sutton,Springer,2022
B00506,Data Mining,Goodfellow,Pearson,2011
B00507,Discrete Mathematics,Korth,Wiley,2019
B00508,Cloud Computing,Ross,Pearson,2013
B00509,Python Programming,Cormen,Springer,2023
B00510,Statistics,Korth,McGraw Hill,2020
B00511,Cloud Computing,Sutton,Pearson,2022
B00512,Cloud Computing,Cormen,Oxford,2017
B00513,Digital Logic,Goodfellow,Springer,2016
B00514,Statistics,Tanenbaum,Springer,2016
B00515,Compiler Design,Goodfellow,Pearson,2010
B00516,Database Management Systems,Stallings,Oxford,2024
B00517,Deep Learning,Goodfellow,McGraw Hill,2020
B00518,Compiler Design,Sutton,Pearson,2024
B00519,Database Management Systems,Sutton,Springer,2012
B00520,Java Programming,Cormen,Pearson,2020
B00521,Data Mining,Stallings,Pearson,2021
B00522,Deep Learning,James,Springer,2015
B00523,Database Management Systems,Goodfellow,Wiley,2026
B00524,Computer Networks,Stallings,McGraw Hill,2020
B00525,Software Engineering,Galvin,Springer,2021
B00526,Cyber Security,Stallings,Pearson,2024
B00527,Database Management Systems,Tanenbaum,McGraw Hill,2024
B00528,Database Management Systems,Ross,Pearson,2010
B00529,Deep Learning,Silberschatz,Springer,2026
B00530,Big Data,Ross,Springer,2015
B00531,Java Programming,Tanenbaum,Wiley,2025
B00532,Python Programming,Galvin,Pearson,2023
B00533,Cyber Security,James,Pearson,2012
B00534,Cloud Computing,Stallings,Wiley,2012
B00535,Computer Networks,Korth,McGraw Hill,2023
B00536,Algorithms,Ross,Wiley,2011
B00537,Cloud Computing,Sutton,Pearson,2025
B00538,Compiler Design,James,Springer,2015
B00539,Cloud Computing,Cormen,Pearson,2012
B00540,Java Programming,Goodfellow,Wiley,2012
B00541,Deep Learning,Stallings,McGraw Hill,2022
B00542,Python Programming,Cormen,McGraw Hill,2025
B00543,Deep Learning,Tanenbaum,Oxford,2026
B00544,Compiler Design,Stallings,Wiley,2014
B00545,Machine Learning,Sutton,Pearson,2012
B00546,Data Mining,James,McGraw Hill,2019
B00547,Operating Systems,James,Springer,2017
B00548,Cyber Security,Goodfellow,Oxford,2019
B00549,Digital Logic,James,McGraw Hill,2019
B00550,Python Programming,Tanenbaum,Oxford,2017
B00551,Software Engineering,Silberschatz,Oxford,2015
B00552,Software Engineering,Stallings,Springer,2020
B00553,Deep Learning,Cormen,Oxford,2025
B00554,Data Mining,Goodfellow,Springer,2023
B00555,Microprocessors,James,Oxford,2015
B00556,Java Programming,Tanenbaum,Wiley,2016
B00557,Operating Systems,Ross,McGraw Hill,2020
B00558,Cyber Security,Ross,Wiley,2017
B00559,Compiler Design,James,Pearson,2010
B00560,Algorithms,Goodfellow,Oxford,2024
B00561,Microprocessors,Goodfellow,Wiley,2011
B00562,Computer Networks,Korth,Wiley,2018
B00563,Discrete Mathematics,Korth,Wiley,2022
B00564,Algorithms,Stallings,Oxford,2012
B00565,Python Programming,Goodfellow,McGraw Hill,2023
B00566,Cloud Computing,Stallings,Oxford,2025
B00567,Statistics,Tanenbaum,Oxford,2016
B00568,Operating Systems,Galvin,McGraw Hill,2024
