fee_id,student_id,amount,status,payment_date
FEE0081,S0081,80000,Pending,2025-12-01
FEE0082,S0082,70000,Partial,2026-02-26
FEE0083,S0083,50000,Paid,2024-11-29
FEE0084,S0084,50000,Pending,2025-01-07
FEE0085,S0085,50000,Paid,2025-08-06
FEE0086,S0086,80000,Pending,2025-06-14
FEE0087,S0087,50000,Pending,2024-12-02
FEE0088,S0088,90000,Pending,2025-06-30
FEE0089,S0089,70000,Partial,2026-03-08
FEE0090,S0090,50000,Partial,2025-05-06
FEE0091,S0091,90000,Pending,2024-12-18
FEE0092,S0092,90000,Paid,2025-07-29
FEE0093,S0093,80000,Partial,2026-06-17
FEE0094,S0094,80000,Partial,2024-09-09
FEE0095,S0095,70000,Pending,2026-04-22
FEE0096,S0096,65000,Pending,2025-09-28
FEE0097,S0097,65000,Partial,2024-08-03
FEE0098,S0098,50000,Pending,2026-04-05
FEE0099,S0099,65000,Partial,2025-09-20
FEE0100,S0100,50000,Paid,2025-01-31
FEE0101,S0101,90000,Pending,2025-08-27
FEE0102,S0102,80000,Partial,2024-10-30
FEE0103,S0103,80000,Pending,2024-11-23
FEE0104,S0104,50000,Paid,2025-06-05
FEE0105,S0105,80000,Partial,2025-11-25
FEE0106,S0106,65000,Pending,2025-07-25
FEE0107,S0107,90000,Pending,2024-09-18
FEE0108,S0108,65000,Partial,2026-04-30
FEE0109,S0109,70000,Partial,2024-10-15
FEE0110,S0110,80000,Paid,2024-07-18
FEE0111,S0111,70000,Paid,2025-03-23
FEE0112,S0112,80000,Paid,2025-09-15
FEE0113,S0113,90000,Partial,2025-02-02
FEE0114,S0114,90000,Pending,2026-01-30
FEE0115,S0115,65000,Pending,2025-07-07
FEE0116,S0116,80000,Pending,2026-01-14
FEE0117,S0117,50000,Pending,2025-04-17
FEE0118,S0118,65000,Pending,2025-10-02
FEE0119,S0119,50000,Partial,2024-09-25
FEE0120,S0120,90000,Pending,2024-11-09
FEE0121,S0121,80000,Partial,2025-06-30
FEE0122,S0122,65000,Pending,2024-09-03
FEE0123,S0123,80000,Partial,2025-03-26
FEE0124,S0124,90000,Paid,2024-10-26
FEE0125,S0125,65000,Partial,2026-03-09
FEE0126,S0126,65000,Paid,2026-02-26
FEE0127,S0127,65000,Partial,2025-10-13
FEE0128,S0128,65000,Partial,2025-09-25
FEE0129,S0129,65000,Paid,2026-04-10
FEE0130,S0130,70000,Pending,2025-04-03
FEE0131,S0131,80000,Paid,2026-06-10
FEE0132,S0132,90000,Partial,2024-08-03
FEE0133,S0133,50000,Paid,2026-01-18
FEE0134,S0134,50000,Partial,2025-10-10
FEE0135,S0135,80000,Paid,2026-05-13
FEE0136,S0136,50000,Paid,2025-07-24
FEE0137,S0137,80000,Pending,2024-11-11
FEE0138,S0138,70000,Pending,2026-05-01
FEE0139,S0139,70000,Pending,2026-07-06
FEE0140,S0140,90000,Partial,2024-07-19
FEE0141,S0141,50000,Partial,2026-05-31
FEE0142,S0142,50000,Paid,2025-01-02
FEE0143,S0143,90000,Pending,2025-08-04
FEE0144,S0144,50000,Partial,2025-09-14
FEE0145,S0145,80000,Partial,2024-09-30
FEE0146,S0146,70000,Paid,2026-03-02
FEE0147,S0147,65000,Partial,2025-08-03
FEE0148,S0148,50000,Paid,2025-08-24
FEE0149,S0149,65000,Pending,2024-11-10
FEE0150,S0150,70000,Pending,2024-07-28
FEE0151,S0151,50000,Paid,2025-10-30
FEE0152,S0152,70000,Pending,2024-12-26
FEE0153,S0153,70000,Paid,2026-02-16
FEE0154,S0154,80000,Pending,2024-09-07
FEE0155,S0155,65000,Pending,2026-07-11
FEE0156,S0156,70000,Partial,2025-04-19
FEE0157,S0157,90000,Partial,2024-10-24
FEE0158,S0158,70000,Partial,2025-09-15
FEE0159,S0159,70000,Paid,2025-05-04
FEE0160,S0160,80000,Pending,2025-01-12
FEE0161,S0161,70000,Paid,2025-08-04
FEE0162,S0162,90000,Paid,2025-05-17
FEE0163,S0163,90000,Pending,2025-02-01
FEE0164,S0164,90000,Pending,2025-01-05
FEE0165,S0165,90000,Pending,2025-04-29
FEE0166,S0166,90000,Pending,2026-02-13
FEE0167,S0167,80000,Paid,2025-10-22
FEE0168,S0168,70000,Partial,2025-07-31
FEE0169,S0169,65000,Paid,2024-10-20
FEE0170,S0170,50000,Paid,2025-07-15
FEE0171,S0171,70000,Pending,2025-08-06
FEE0172,S0172,90000,Paid,2024-12-13
FEE0173,S0173,70000,Pending,2026-04-17
FEE0174,S0174,65000,Pending,2026-01-27
FEE0175,S0175,70000,Pending,2025-01-17
FEE0176,S0176,65000,Paid,2026-02-27
FEE0177,S0177,80000,Partial,2026-03-20
FEE0178,S0178,50000,Pending,2026-07-15
FEE0179,S0179,50000,Paid,2025-04-14
FEE0180,S0180,50000,Partial,2025-06-25
FEE0181,S0181,50000,Paid,2025-09-28
FEE0182,S0182,80000,Pending,2026-03-21
FEE0183,S0183,90000,Pending,2026-03-21
FEE0184,S0184,90000,Pending,2024-12-30
FEE0185,S0185,70000,Pending,2024-12-01
FEE0186,S0186,80000,Paid,2026-05-03
FEE0187,S0187,90000,Pending,2026-05-22
FEE0188,S0188,50000,Partial,2025-07-09
FEE0189,S0189,50000,Pending,2025-10-14
FEE0190,S0190,65000,Pending,2024-11-25
FEE0191,S0191,80000,Pending,2025-02-21
FEE0192,S0192,50000,Paid,2024-07-17
FEE0193,S0193,65000,Partial,2025-12-13
FEE0194,S0194,50000,Partial,2024-08-31
FEE0195,S0195,50000,Partial,2025-07-28
FEE0196,S0196,90000,Paid,2025-10-01
FEE0197,S0197,70000,Partial,2026-04-05
FEE0198,S0198,90000,Partial,2025-12-29
FEE0199,S0199,90000,Paid,2025-10-30
FEE0200,S0200,90000,Pending,2025-09-08
FEE0201,S0201,90000,Pending,2025-05-13
FEE0202,S0202,80000,Partial,2025-07-21
FEE0203,S0203,80000,Paid,2026-04-07
FEE0204,S0204,65000,Partial,2025-05-07
FEE0205,S0205,80000,Paid,2025-10-06
FEE0206,S0206,65000,Pending,2025-02-20
FEE0207,S0207,70000,Paid,2026-06-19
FEE0208,S0208,80000,Partial,2024-11-25
FEE0209,S0209,65000,Pending,2026-05-18
FEE0210,S0210,70000,Paid,2025-04-10
FEE0211,S0211,90000,Paid,2026-04-24
FEE0212,S0212,65000,Partial,2026-07-02
FEE0213,S0213,90000,Partial,2026-05-06
FEE0214,S0214,80000,Paid,2024-08-17
FEE0215,S0215,65000,Pending,2026-05-29
FEE0216,S0216,70000,Partial,2025-08-03
FEE0217,S0217,65000,Pending,2025-12-13
FEE0218,S0218,65000,Partial,2026-01-28
FEE0219,S0219,70000,Pending,2026-06-07
FEE0220,S0220,90000,Paid,2025-06-23
FEE0221,S0221,90000,Partial,2025-10-29
FEE0222,S0222,80000,Partial,2025-12-15
FEE0223,S0223,65000,Pending,2025-12-20
FEE0224,S0224,70000,Paid,2025-06-17
FEE0225,S0225,50000,Partial,2026-06-16
FEE0226,S0226,50000,Paid,2025-03-21
FEE0227,S0227,70000,Pending,2025-10-20
FEE0228,S0228,50000,Pending,2024-07-20
FEE0229,S0229,65000,Partial,2025-04-01
FEE0230,S0230,65000,Pending,2026-01-06
FEE0231,S0231,70000,Pending,2025-01-11
FEE0232,S0232,70000,Pending,2026-07-05
FEE0233,S0233,80000,Paid,2024-11-17
FEE0234,S0234,90000,Paid,2025-04-19
FEE0235,S0235,70000,Pending,2026-02-02
FEE0236,S0236,50000,Pending,2026-03-20
FEE0237,S0237,50000,Pending,2025-05-28
FEE0238,S0238,50000,Partial,2025-11-14
FEE0239,S0239,90000,Paid,2025-01-29
FEE0240,S0240,80000,Paid,2026-07-07
FEE0241,S0241,70000,Paid,2025-03-10
FEE0242,S0242,80000,Paid,2026-01-13
FEE0243,S0243,65000,Pending,2026-05-05
FEE0244,S0244,65000,Partial,2024-11-16
FEE0245,S0245,65000,Pending,2025-06-26
FEE0246,S0246,50000,Partial,2025-11-12
FEE0247,S0247,65000,Paid,2024-09-22
FEE0248,S0248,90000,Pending,2025-05-18
FEE0249,S0249,90000,Paid,2025-03-19
FEE0250,S0250,90000,Pending,2026-06-03
FEE0251,S0251,65000,Partial,2025-06-04
FEE0252,S0252,65000,Paid,2025-04-13
FEE0253,S0253,70000,Paid,2024-12-14
FEE0254,S0254,80000,Paid,2026-03-02
FEE0255,S0255,70000,Pending,2025-04-21
FEE0256,S0256,65000,Pending,2025-08-24
FEE0257,S0257,50000,Paid,2026-06-09
FEE0258,S0258,50000,Paid,2025-01-01
FEE0259,S0259,90000,Pending,2026-04-27
FEE0260,S0260,65000,Partial,2025-09-27
FEE0261,S0261,80000,Partial,2026-05-21
FEE0262,S0262,90000,Pending,2025-10-30
FEE0263,S0263,90000,Paid,2025-02-26
FEE0264,S0264,50000,Pending,2025-03-03
FEE0265,S0265,50000,Paid,2026-04-26
FEE0266,S0266,70000,Paid,2025-06-30
FEE0267,S0267,80000,Partial,2025-08-17
FEE0268,S0268,80000,Paid,2024-09-06
FEE0269,S0269,65000,Partial,2024-08-21
FEE0270,S0270,50000,Partial,2025-12-08
FEE0271,S0271,70000,Pending,2026-03-23
FEE0272,S0272,50000,Paid,2026-03-24
FEE0273,S0273,70000,Paid,2026-02-02
FEE0274,S0274,70000,Paid,2024-09-21
FEE0275,S0275,50000,Pending,2025-11-07
FEE0276,S0276,50000,Paid,2024-09-07
FEE0277,S0277,80000,Pending,2025-05-23
FEE0278,S0278,70000,Pending,2024-07-22
FEE0279,S0279,90000,Pending,2026-01-01
FEE0280,S0280,50000,Partial,2025-04-17
FEE0281,S0281,80000,Paid,2025-03-26
FEE0282,S0282,70000,Partial,2025-11-12
FEE0283,S0283,80000,Pending,2025-03-29
FEE0284,S0284,65000,Pending,2025-03-27
FEE0285,S0285,90000,Partial,2026-05-23
FEE0286,S0286,80000,Pending,2026-06-04
FEE0287,S0287,50000,Paid,2026-03-02
FEE0288,S0288,90000,Paid,2025-09-21
FEE0289,S0289,90000,Pending,2026-06-18
FEE0290,S0290,65000,Partial,2025-05-29
FEE0291,S0291,70000,Paid,2025-02-18
FEE0292,S0292,90000,Partial,2024-10-29
FEE0293,S0293,65000,Pending,2025-07-15
FEE0294,S0294,65000,Paid,2026-03-15
FEE0295,S0295,70000,Pending,2026-01-20
FEE0296,S0296,65000,Partial,2026-03-07
FEE0297,S0297,65000,Partial,2025-05-06
FEE0298,S0298,90000,Paid,2026-01-25
FEE0299,S0299,70000,Partial,2025-04-20
FEE0300,S0300,65000,Pending,2025-10-08
FEE0301,S0301,80000,Paid,2025-11-11
FEE0302,S0302,80000,Pending,2025-03-16
FEE0303,S0303,65000,Paid,2024-08-03
FEE0304,S0304,80000,Pending,2025-07-17
FEE0305,S0305,50000,Paid,2025-01-01
FEE0306,S0306,80000,Partial,2025-08-29
FEE0307,S0307,70000,Pending,2024-11-07
FEE0308,S0308,70000,Partial,2025-12-02
FEE0309,S0309,50000,Pending,2025-06-05
FEE0310,S0310,70000,Partial,2025-08-22
FEE0311,S0311,70000,Pending,2024-08-24
FEE0312,S0312,50000,Pending,2025-03-06
FEE0313,S0313,50000,Partial,2025-12-01
FEE0314,S0314,80000,Paid,2025-06-08
FEE0315,S0315,80000,Partial,2026-05-27
FEE0316,S0316,50000,Partial,2025-10-10
FEE0317,S0317,90000,Partial,2025-01-12
FEE0318,S0318,80000,Paid,2026-06-08
FEE0319,S0319,50000,Paid,2025-03-19
FEE0320,S0320,65000,Pending,2026-02-19
FEE0321,S0321,90000,Pending,2026-01-18
FEE0322,S0322,65000,Partial,2025-02-03
FEE0323,S0323,50000,Pending,2024-11-22
FEE0324,S0324,50000,Partial,2024-10-03
FEE0325,S0325,70000,Partial,2026-01-09
FEE0326,S0326,65000,Pending,2025-01-15
FEE0327,S0327,90000,Pending,2026-04-23
FEE0328,S0328,50000,Pending,2024-08-12
FEE0329,S0329,65000,Partial,2024-11-15
FEE0330,S0330,50000,Partial,2026-04-20
FEE0331,S0331,80000,Partial,2026-02-14
FEE0332,S0332,80000,Partial,2025-04-24
FEE0333,S0333,90000,Paid,2025-02-24
FEE0334,S0334,80000,Paid,2025-10-31
FEE0335,S0335,70000,Pending,2025-10-16
FEE0336,S0336,90000,Paid,2025-04-12
FEE0337,S0337,50000,Pending,2025-12-16
FEE0338,S0338,90000,Partial,2026-02-14
FEE0339,S0339,65000,Pending,2024-11-07
FEE0340,S0340,70000,Pending,2024-07-26
FEE0341,S0341,90000,Partial,2025-07-03
FEE0342,S0342,65000,Partial,2024-11-30
FEE0343,S0343,90000,Paid,2025-04-10
FEE0344,S0344,50000,Pending,2025-09-29
FEE0345,S0345,65000,Partial,2025-09-18
FEE0346,S0346,65000,Partial,2026-03-18
FEE0347,S0347,70000,Partial,2025-01-31
FEE0348,S0348,50000,Pending,2025-03-24
FEE0349,S0349,80000,Paid,2025-10-10
FEE0350,S0350,50000,Pending,2024-12-14
FEE0351,S0351,65000,Partial,2025-01-17
FEE0352,S0352,80000,Pending,2025-09-13
FEE0353,S0353,65000,Partial,2026-03-04
FEE0354,S0354,90000,Partial,2025-01-12
FEE0355,S0355,65000,Pending,2024-12-15
FEE0356,S0356,50000,Partial,2024-09-03
FEE0357,S0357,65000,Pending,2025-10-25
FEE0358,S0358,90000,Pending,2024-09-08
FEE0359,S0359,80000,Partial,2025-12-06
FEE0360,S0360,90000,Partial,2024-12-24
FEE0361,S0361,50000,Pending,2024-07-21
FEE0362,S0362,70000,Pending,2026-05-12
FEE0363,S0363,50000,Pending,2024-12-14
FEE0364,S0364,80000,Partial,2024-10-18
FEE0365,S0365,70000,Paid,2025-10-13
FEE0366,S0366,50000,Pending,2025-02-13
FEE0367,S0367,70000,Partial,2025-06-18
FEE0368,S0368,90000,Pending,2026-04-15
FEE0369,S0369,90000,Partial,2026-06-02
FEE0370,S0370,80000,Pending,2026-06-04
FEE0371,S0371,90000,Partial,2025-03-27
FEE0372,S0372,65000,Partial,2024-07-19
FEE0373,S0373,65000,Paid,2025-01-26
FEE0374,S0374,90000,Partial,2026-03-24
FEE0375,S0375,50000,Partial,2025-06-15
FEE0376,S0376,50000,Partial,2026-04-12
FEE0377,S0377,70000,Pending,2025-02-25
FEE0378,S0378,70000,Paid,2026-06-26
FEE0379,S0379,80000,Pending,2024-08-28
FEE0380,S0380,80000,Pending,2025-12-07
FEE0381,S0381,90000,Partial,2025-05-30
FEE0382,S0382,90000,Paid,2024-12-24
FEE0383,S0383,70000,Paid,2024-09-07
FEE0384,S0384,90000,Pending,2026-06-05
FEE0385,S0385,65000,Partial,2025-08-23
FEE0386,S0386,80000,Paid,2024-12-03
FEE0387,S0387,70000,Partial,2026-05-29
FEE0388,S0388,80000,Paid,2025-04-01
FEE0389,S0389,80000,Partial,2025-09-23
FEE0390,S0390,70000,Pending,2024-12-30
FEE0391,S0391,70000,Partial,2025-11-23
FEE0392,S0392,70000,Pending,2025-04-09
FEE0393,S0393,80000,Partial,2024-09-22
FEE0394,S0394,50000,Partial,2026-01-02
FEE0395,S0395,80000,Partial,2025-05-19
FEE0396,S0396,70000,Paid,2024-07-31
FEE0397,S0397,90000,Partial,2024-11-03
FEE0398,S0398,70000,Partial,2026-05-18
FEE0399,S0399,65000,Paid,2024-11-17
FEE0400,S0400,65000,Pending,2025-04-11
FEE0401,S0401,65000,Paid,2026-02-16
FEE0402,S0402,90000,Pending,2025-09-22
FEE0403,S0403,70000,Paid,2025-03-07
FEE0404,S0404,80000,Paid,2025-04-17
FEE0405,S0405,90000,Paid,2025-08-19
FEE0406,S0406,50000,Pending,2025-04-10
FEE0407,S0407,80000,Pending,2024-11-16
FEE0408,S0408,50000,Paid,2026-04-07
FEE0409,S0409,70000,Partial,2024-07-19
FEE0410,S0410,80000,Pending,2025-02-24
FEE0411,S0411,70000,Partial,2025-05-21
FEE0412,S0412,90000,Paid,2025-06-30
FEE0413,S0413,90000,Pending,2025-07-13
FEE0414,S0414,50000,Pending,2025-02-18
FEE0415,S0415,50000,Pending,2025-01-12
FEE0416,S0416,80000,Partial,2026-03-29
FEE0417,S0417,50000,Pending,2024-08-12
FEE0418,S0418,70000,Pending,2025-09-11
FEE0419,S0419,65000,Paid,2026-05-09
FEE0420,S0420,90000,Paid,2026-05-24
FEE0421,S0421,80000,Pending,2025-08-19
FEE0422,S0422,50000,Partial,2026-02-27
FEE0423,S0423,80000,Pending,2026-06-03
FEE0424,S0424,90000,Paid,2025-05-06
FEE0425,S0425,80000,Paid,2025-01-28
FEE0426,S0426,50000,Partial,2026-04-29
FEE0427,S0427,65000,Partial,2025-10-31
FEE0428,S0428,65000,Pending,2025-08-10
FEE0429,S0429,80000,Partial,2024-10-29
FEE0430,S0430,65000,Partial,2025-05-25
FEE0431,S0431,70000,Pending,2025-02-20
FEE0432,S0432,70000,Paid,2026-05-03
FEE0433,S0433,50000,Pending,2024-10-10
FEE0434,S0434,65000,Partial,2024-10-17
FEE0435,S0435,90000,Pending,2024-07-30
FEE0436,S0436,65000,Pending,2026-06-25
FEE0437,S0437,50000,Partial,2025-01-19
FEE0438,S0438,50000,Partial,2026-04-15
FEE0439,S0439,65000,Pending,2025-08-12
FEE0440,S0440,80000,Paid,2026-05-29
FEE0441,S0441,65000,Pending,2026-07-05
FEE0442,S0442,65000,Pending,2025-11-24
FEE0443,S0443,80000,Paid,2025-04-30
FEE0444,S0444,50000,Partial,2025-02-12
FEE0445,S0445,80000,Pending,2025-02-25
FEE0446,S0446,80000,Pending,2024-08-10
FEE0447,S0447,65000,Partial,2025-05-29
FEE0448,S0448,80000,Pending,2025-10-17
FEE0449,S0449,65000,Partial,2026-02-05
FEE0450,S0450,90000,Partial,2025-08-29
FEE0451,S0451,80000,Partial,2026-06-23
FEE0452,S0452,65000,Paid,2025-07-17
FEE0453,S0453,65000,Partial,2026-04-04
FEE0454,S0454,90000,Pending,2026-05-07
FEE0455,S0455,80000,Partial,2025-12-24
FEE0456,S0456,80000,Paid,2024-09-15
FEE0457,S0457,80000,Pending,2024-11-06
FEE0458,S0458,50000,Pending,2024-10-22
FEE0459,S0459,90000,Paid,2026-04-25
FEE0460,S0460,65000,Partial,2024-08-15
FEE0461,S0461,80000,Paid,2024-12-29
FEE0462,S0462,70000,Paid,2025-05-09
FEE0463,S0463,65000,Paid,2025-10-13
FEE0464,S0464,90000,Pending,2026-06-25
FEE0465,S0465,80000,Paid,2024-09-17
FEE0466,S0466,65000,Partial,2024-08-08
FEE0467,S0467,70000,Pending,2026-07-14
FEE0468,S0468,65000,Partial,2024-08-16
FEE0469,S0469,80000,Partial,2026-02-01
FEE0470,S0470,70000,Pending,2025-08-31
FEE0471,S0471,70000,Partial,2026-02-14
FEE0472,S0472,90000,Paid,2025-08-17
FEE0473,S0473,50000,Pending,2025-01-17
FEE0474,S0474,65000,Partial,2025-02-26
FEE0475,S0475,80000,Partial,2025-05-12
FEE0476,S0476,50000,Partial,2025-06-05
FEE0477,S0477,70000,Pending,2026-02-17
FEE0478,S0478,50000,Pending,2026-06-19
FEE0479,S0479,80000,Paid,2025-03-15
FEE0480,S0480,50000,Partial,2026-04-28
FEE0481,S0481,50000,Partial,2025-05-13
FEE0482,S0482,80000,Pending,2024-10-27
FEE0483,S0483,80000,Partial,2025-10-27
FEE0484,S0484,70000,Paid,2025-09-16
FEE0485,S0485,90000,Paid,2026-02-11
FEE0486,S0486,50000,Partial,2025-09-11
FEE0487,S0487,50000,Pending,2026-06-10
FEE0488,S0488,70000,Partial,2024-10-29
FEE0489,S0489,65000,Partial,2024-10-07
FEE0490,S0490,90000,Paid,2025-06-26
FEE0491,S0491,80000,Paid,2026-02-11
FEE0492,S0492,80000,Partial,2024-10-16
FEE0493,S0493,70000,Partial,2025-11-17
FEE0494,S0494,80000,Partial,2025-04-20
FEE0495,S0495,65000,Partial,2025-12-23
FEE0496,S0496,80000,Pending,2025-09-26
FEE0497,S0497,80000,Partial,2025-03-16
FEE0498,S0498,50000,Pending,2024-09-24
FEE0499,S0499,90000,Partial,2025-02-05
FEE0500,S0500,90000,Pending,2024-12-13
FEE0501,S0501,80000,Partial,2025-11-01
FEE0502,S0502,90000,Pending,2024-08-14
FEE0503,S0503,65000,Paid,2026-05-29
FEE0504,S0504,50000,Pending,2024-12-07
FEE0505,S0505,50000,Pending,2024-12-22
FEE0506,S0506,90000,Paid,2025-08-02
FEE0507,S0507,70000,Pending,2024-07-21
FEE0508,S0508,90000,Paid,2025-12-02
FEE0509,S0509,70000,Paid,2024-09-19
FEE0510,S0510,80000,Paid,2025-10-01
FEE0511,S0511,90000,Paid,2025-03-05
FEE0512,S0512,50000,Pending,2025-08-14
FEE0513,S0513,80000,Partial,2025-03-04
FEE0514,S0514,80000,Paid,2024-12-04
FEE0515,S0515,80000,Paid,2025-06-02
FEE0516,S0516,65000,Partial,2025-02-13
FEE0517,S0517,50000,Pending,2026-01-28
FEE0518,S0518,50000,Paid,2025-02-09
FEE0519,S0519,70000,Partial,2024-11-07
FEE0520,S0520,70000,Pending,2026-06-21
FEE0521,S0521,70000,Pending,2024-08-09
FEE0522,S0522,70000,Pending,2025-08-08
FEE0523,S0523,50000,Partial,2025-11-23
FEE0524,S0524,80000,Paid,2024-09-10
FEE0525,S0525,50000,Partial,2025-02-02
FEE0526,S0526,90000,Pending,2024-08-12
FEE0527,S0527,70000,Partial,2025-01-15
FEE0528,S0528,50000,Partial,2026-06-17
FEE0529,S0529,80000,Paid,2025-12-19
FEE0530,S0530,80000,Paid,2025-12-28
FEE0531,S0531,80000,Paid,2024-10-03
FEE0532,S0532,65000,Partial,2026-02-20
FEE0533,S0533,90000,Partial,2024-11-05
FEE0534,S0534,65000,Pending,2025-09-15
FEE0535,S0535,50000,Partial,2024-12-01
FEE0536,S0536,65000,Paid,2026-04-22
FEE0537,S0537,80000,Partial,2025-11-14
FEE0538,S0538,50000,Paid,2025-08-14
FEE0539,S0539,70000,Pending,2024-12-02
FEE0540,S0540,90000,Pending,2025-11-15
FEE0541,S0541,70000,Paid,2025-06-22
FEE0542,S0542,65000,Partial,2026-02-22
FEE0543,S0543,80000,Paid,2025-08-21
FEE0544,S0544,90000,Paid,2025-06-20
FEE0545,S0545,80000,Pending,2024-10-18
FEE0546,S0546,70000,Partial,2024-09-15
FEE0547,S0547,80000,Paid,2024-09-18
FEE0548,S0548,70000,Pending,2025-02-28
FEE0549,S0549,80000,Paid,2024-08-18
FEE0550,S0550,70000,Paid,2025-04-05
FEE0551,S0551,65000,Partial,2024-08-13
FEE0552,S0552,65000,Paid,2024-09-27
FEE0553,S0553,90000,Paid,2025-08-11
FEE0554,S0554,70000,Pending,2025-02-02
FEE0555,S0555,80000,Partial,2025-06-03
FEE0556,S0556,65000,Paid,2026-01-18
FEE0557,S0557,65000,Partial,2024-12-26
FEE0558,S0558,70000,Pending,2024-11-04
FEE0559,S0559,65000,Paid,2025-09-10
FEE0560,S0560,70000,Paid,2024-10-25
FEE0561,S0561,65000,Paid,2026-04-29
FEE0562,S0562,50000,Paid,2026-02-17
FEE0563,S0563,65000,Pending,2024-08-31
FEE0564,S0564,70000,Partial,2024-11-02
FEE0565,S0565,65000,Partial,2024-12-28
FEE0566,S0566,80000,Pending,2024-10-01
FEE0567,S0567,65000,Partial,2024-08-01
FEE0568,S0568,90000,Paid,2024-09-18
FEE0569,S0569,70000,Paid,2024-09-30
FEE0570,S0570,80000,Pending,2025-01-01
FEE0571,S0571,50000,Pending,2026-05-12
FEE0572,S0572,80000,Pending,2026-05-13
FEE0573,S0573,80000,Paid,2025-02-05
FEE0574,S0574,90000,Paid,2024-12-03
FEE0575,S0575,50000,Pending,2025-08-20
FEE0576,S0576,50000,Pending,2024-12-28
FEE0577,S0577,70000,Paid,2026-02-04
FEE0578,S0578,70000,Paid,2026-05-10
FEE0579,S0579,65000,Paid,2026-05-23
FEE0580,S0580,80000,Pending,2025-08-30
FEE0581,S0581,90000,Partial,2026-05-01
