hostel_id,hostel_name,room_number,room_type,student_id
H0126,Boys Hostel A,318,Double,S0231
H0127,Boys Hostel A,381,Triple,S0552
H0128,Boys Hostel B,153,Double,S0008
H0129,Girls Hostel A,440,Double,S0291
H0130,Boys Hostel A,264,Double,S0586
H0131,Girls Hostel A,298,Single,S0658
H0132,Boys Hostel A,179,Triple,S0871
H0133,Girls Hostel A,317,Single,S0534
H0134,Girls Hostel B,163,Triple,S0015
H0135,Girls Hostel B,171,Triple,S0925
H0136,Girls Hostel A,188,Double,S0264
H0137,Boys Hostel B,399,Single,S0600
H0138,Girls Hostel B,247,Double,S0495
H0139,Boys Hostel B,257,Single,S0667
H0140,Boys Hostel A,293,Single,S0040
H0141,Boys Hostel B,421,Double,S0593
H0142,Girls Hostel A,287,Double,S0894
H0143,Boys Hostel B,168,Single,S0254
H0144,Girls Hostel A,115,Single,S0294
H0145,Girls Hostel A,258,Double,S0363
H0146,Girls Hostel A,138,Triple,S0318
H0147,Boys Hostel A,403,Double,S0583
H0148,Girls Hostel A,231,Single,S0705
H0149,Boys Hostel B,109,Triple,S0802
H0150,Girls Hostel B,282,Single,S0420
H0151,Boys Hostel A,422,Double,S0510
H0152,Boys Hostel A,198,Double,S0920
H0153,Boys Hostel A,339,Double,S0395
H0154,Girls Hostel A,223,Triple,S0293
H0155,Girls Hostel B,250,Single,S0816
H0156,Girls Hostel A,111,Single,S0087
H0157,Girls Hostel B,221,Double,S0026
H0158,Boys Hostel B,108,Single,S0349
H0159,Boys Hostel A,391,Triple,S0572
H0160,Boys Hostel B,294,Triple,S0840
H0161,Girls Hostel A,439,Double,S0839
H0162,Boys Hostel B,358,Triple,S0237
H0163,Girls Hostel B,224,Double,S0998
H0164,Girls Hostel B,364,Triple,S0403
H0165,Girls Hostel A,293,Double,S0469
H0166,Girls Hostel A,274,Double,S0077
H0167,Girls Hostel B,255,Triple,S0423
H0168,Girls Hostel A,329,Double,S0388
H0169,Girls Hostel A,243,Triple,S0529
H0170,Girls Hostel A,113,Triple,S0791
H0171,Girls Hostel A,298,Single,S0374
H0172,Girls Hostel A,383,Single,S0819
H0173,Boys Hostel A,272,Triple,S0523
H0174,Girls Hostel B,107,Triple,S0550
H0175,Boys Hostel A,169,Double,S0998
H0176,Boys Hostel B,301,Triple,S0242
H0177,Girls Hostel A,125,Triple,S0055
H0178,Boys Hostel B,377,Triple,S0493
H0179,Boys Hostel B,261,Single,S0929
H0180,Boys Hostel B,310,Double,S0638
H0181,Boys Hostel B,206,Single,S0194
H0182,Girls Hostel A,238,Triple,S0063
H0183,Boys Hostel B,182,Single,S0570
H0184,Boys Hostel A,431,Single,S0839
H0185,Boys Hostel B,450,Single,S0314
H0186,Girls Hostel B,441,Triple,S0912
H0187,Boys Hostel B,101,Triple,S0887
H0188,Girls Hostel B,447,Triple,S0833
H0189,Boys Hostel A,159,Triple,S0204
H0190,Boys Hostel B,348,Double,S0814
H0191,Girls Hostel A,383,Single,S0046
H0192,Girls Hostel B,334,Single,S0491
H0193,Girls Hostel B,413,Triple,S0466
H0194,Girls Hostel B,429,Double,S0417
H0195,Girls Hostel A,167,Triple,S0243
H0196,Boys Hostel B,347,Double,S0542
H0197,Boys Hostel A,292,Triple,S0716
H0198,Boys Hostel A,243,Triple,S0834
H0199,Girls Hostel B,154,Double,S0029
H0200,Girls Hostel B,109,Double,S0449
H0201,Girls Hostel B,354,Triple,S0427
H0202,Girls Hostel A,326,Single,S0214
H0203,Girls Hostel B,247,Triple,S0545
H0204,Girls Hostel A,148,Triple,S0366
H0205,Girls Hostel A,330,Double,S0023
H0206,Girls Hostel B,427,Triple,S0826
H0207,Boys Hostel B,243,Triple,S0830
H0208,Girls Hostel B,285,Double,S0739
H0209,Boys Hostel A,408,Triple,S0668
H0210,Girls Hostel A,203,Double,S0913
H0211,Girls Hostel B,350,Double,S0892
H0212,Boys Hostel B,420,Single,S0719
H0213,Boys Hostel A,325,Triple,S0022
H0214,Boys Hostel B,258,Triple,S0916
H0215,Girls Hostel B,214,Single,S0368
H0216,Girls Hostel A,323,Double,S0615
H0217,Girls Hostel B,419,Double,S0782
H0218,Girls Hostel A,445,Single,S0089
H0219,Girls Hostel A,155,Double,S0783
H0220,Boys Hostel B,181,Triple,S0676
H0221,Girls Hostel B,394,Triple,S0970
H0222,Girls Hostel B,390,Triple,S0352
H0223,Boys Hostel A,265,Single,S0797
H0224,Girls Hostel B,105,Single,S0532
H0225,Girls Hostel A,315,Single,S0804
H0226,Boys Hostel B,161,Triple,S0924
H0227,Boys Hostel A,181,Double,S0495
H0228,Boys Hostel A,106,Single,S0108
H0229,Boys Hostel A,109,Single,S0858
H0230,Boys Hostel A,386,Double,S0108
H0231,Girls Hostel B,294,Single,S0662
H0232,Boys Hostel B,198,Double,S0317
H0233,Girls Hostel B,422,Single,S0645
H0234,Girls Hostel A,264,Single,S0879
H0235,Boys Hostel B,291,Triple,S0367
H0236,Girls Hostel A,274,Double,S0036
H0237,Boys Hostel B,165,Double,S0789
H0238,Boys Hostel B,448,Triple,S0849
H0239,Girls Hostel A,110,Single,S0702
H0240,Boys Hostel A,176,Single,S0757
H0241,Boys Hostel A,431,Single,S0431
H0242,Girls Hostel A,399,Single,S0231
H0243,Girls Hostel B,329,Single,S0453
H0244,Girls Hostel A,356,Double,S0616
H0245,Boys Hostel B,392,Single,S0529
H0246,Girls Hostel A,189,Single,S0834
H0247,Boys Hostel B,140,Double,S0828
H0248,Boys Hostel A,117,Triple,S0507
H0249,Boys Hostel A,336,Single,S0310
H0250,Girls Hostel B,147,Triple,S0093
H0251,Girls Hostel B,159,Triple,S0963
H0252,Boys Hostel B,359,Double,S0893
H0253,Boys Hostel A,142,Double,S0300
H0254,Boys Hostel B,400,Triple,S0158
H0255,Girls Hostel B,258,Double,S0479
H0256,Boys Hostel B,270,Double,S0522
H0257,Boys Hostel B,382,Single,S0892
H0258,Girls Hostel A,284,Single,S0505
H0259,Girls Hostel B,342,Double,S0846
H0260,Girls Hostel A,149,Double,S0176
H0261,Girls Hostel B,443,Triple,S0880
H0262,Boys Hostel A,255,Single,S0254
H0263,Boys Hostel B,378,Double,S0723
H0264,Boys Hostel A,123,Triple,S0951
H0265,Boys Hostel B,101,Single,S0074
H0266,Boys Hostel B,359,Triple,S0488
H0267,Boys Hostel B,358,Single,S0680
H0268,Girls Hostel B,446,Double,S0311
H0269,Girls Hostel B,445,Single,S0913
H0270,Boys Hostel A,355,Triple,S0763
H0271,Girls Hostel B,378,Single,S0851
H0272,Boys Hostel B,407,Single,S0626
H0273,Girls Hostel B,420,Single,S0639
H0274,Girls Hostel B,267,Single,S0092
H0275,Boys Hostel B,240,Double,S0492
H0276,Girls Hostel B,415,Single,S0431
H0277,Boys Hostel A,224,Triple,S0371
H0278,Boys Hostel B,307,Triple,S0822
H0279,Boys Hostel A,445,Triple,S0221
H0280,Boys Hostel A,253,Triple,S0921
H0281,Girls Hostel A,212,Single,S0389
H0282,Boys Hostel B,127,Double,S0357
H0283,Boys Hostel B,352,Double,S0419
H0284,Boys Hostel B,378,Single,S0303
H0285,Boys Hostel A,409,Triple,S0084
H0286,Boys Hostel B,169,Single,S0222
H0287,Girls Hostel B,390,Double,S0088
H0288,Boys Hostel B,383,Double,S0812
H0289,Boys Hostel B,408,Triple,S0652
H0290,Boys Hostel B,221,Triple,S0059
H0291,Girls Hostel B,426,Double,S0762
H0292,Girls Hostel B,385,Triple,S0094
H0293,Girls Hostel A,221,Single,S0611
H0294,Girls Hostel A,242,Triple,S0964
H0295,Girls Hostel A,363,Single,S0612
H0296,Girls Hostel A,149,Single,S0526
H0297,Boys Hostel B,214,Double,S0350
H0298,Boys Hostel A,364,Triple,S0113
H0299,Girls Hostel A,164,Double,S0648
H0300,Boys Hostel A,409,Triple,S0342
H0301,Girls Hostel A,441,Single,S0521
H0302,Boys Hostel B,170,Double,S0964
H0303,Girls Hostel A,299,Triple,S0249
H0304,Girls Hostel B,291,Single,S0322
H0305,Girls Hostel B,162,Double,S0878
H0306,Girls Hostel B,351,Single,S0041
H0307,Boys Hostel A,282,Single,S0767
H0308,Boys Hostel A,204,Double,S0629
H0309,Girls Hostel A,276,Single,S0826
H0310,Girls Hostel A,167,Single,S0468
H0311,Girls Hostel A,330,Triple,S0167
H0312,Girls Hostel A,277,Double,S0638
H0313,Boys Hostel B,103,Triple,S0902
H0314,Girls Hostel B,190,Double,S0436
H0315,Girls Hostel A,165,Triple,S0241
H0316,Boys Hostel B,166,Double,S0565
H0317,Boys Hostel B,140,Single,S0077
H0318,Boys Hostel B,308,Triple,S0246
H0319,Boys Hostel A,350,Double,S0858
H0320,Girls Hostel A,207,Single,S0675
H0321,Boys Hostel A,143,Triple,S0591
H0322,Girls Hostel B,263,Single,S0012
H0323,Boys Hostel B,304,Triple,S0331
H0324,Girls Hostel B,422,Single,S0277
H0325,Girls Hostel B,397,Single,S0066
H0326,Girls Hostel B,319,Double,S0117
H0327,Girls Hostel A,124,Triple,S0670
H0328,Boys Hostel A,220,Triple,S0636
H0329,Boys Hostel B,135,Triple,S0352
H0330,Boys Hostel A,130,Triple,S0166
H0331,Boys Hostel A,105,Double,S0521
H0332,Girls Hostel A,369,Double,S0213
H0333,Girls Hostel A,254,Triple,S0476
H0334,Boys Hostel B,222,Triple,S0968
H0335,Boys Hostel A,222,Single,S0774
H0336,Girls Hostel B,429,Single,S0612
H0337,Boys Hostel A,314,Double,S0381
H0338,Boys Hostel A,301,Triple,S0678
H0339,Boys Hostel B,391,Single,S0447
H0340,Boys Hostel B,353,Triple,S0407
H0341,Girls Hostel A,143,Single,S0267
H0342,Boys Hostel A,224,Single,S0813
H0343,Boys Hostel A,340,Single,S0501
H0344,Girls Hostel B,403,Triple,S0476
H0345,Girls Hostel B,159,Single,S0137
H0346,Boys Hostel A,268,Triple,S0160
H0347,Boys Hostel A,335,Double,S0516
H0348,Boys Hostel B,352,Single,S0049
H0349,Girls Hostel B,350,Double,S0169
H0350,Girls Hostel A,373,Single,S0580
H0351,Boys Hostel A,404,Single,S0233
H0352,Girls Hostel B,185,Single,S0305
H0353,Girls Hostel B,284,Triple,S0090
H0354,Girls Hostel B,172,Double,S0537
H0355,Boys Hostel A,440,Double,S0693
H0356,Boys Hostel A,174,Single,S0162
H0357,Girls Hostel A,368,Single,S0606
H0358,Boys Hostel B,186,Double,S0349
H0359,Girls Hostel B,176,Single,S0182
H0360,Girls Hostel B,394,Triple,S0444
H0361,Boys Hostel A,447,Single,S0609
H0362,Boys Hostel B,381,Triple,S0875
H0363,Girls Hostel A,245,Double,S0977
H0364,Girls Hostel B,105,Triple,S0436
H0365,Boys Hostel B,137,Double,S0085
H0366,Girls Hostel A,242,Double,S0204
H0367,Girls Hostel A,327,Single,S0095
H0368,Boys Hostel A,167,Triple,S0674
H0369,Boys Hostel A,337,Double,S0471
H0370,Girls Hostel A,281,Single,S0998
H0371,Boys Hostel B,211,Single,S0848
H0372,Boys Hostel B,217,Single,S0414
H0373,Girls Hostel A,118,Single,S0105
H0374,Girls Hostel A,248,Triple,S0800
H0375,Boys Hostel A,369,Triple,S0270
H0376,Boys Hostel B,209,Triple,S0237
H0377,Girls Hostel B,404,Double,S0410
H0378,Girls Hostel A,266,Double,S0559
H0379,Boys Hostel B,326,Double,S0469
H0380,Girls Hostel A,352,Single,S0882
H0381,Boys Hostel B,192,Single,S0196
H0382,Boys Hostel B,368,Triple,S0308
H0383,Boys Hostel A,129,Single,S0620
H0384,Girls Hostel B,407,Triple,S0060
H0385,Boys Hostel A,314,Single,S0626
H0386,Girls Hostel B,439,Double,S0362
H0387,Girls Hostel A,297,Single,S0626
H0388,Girls Hostel A,109,Double,S0317
H0389,Girls Hostel B,418,Triple,S0713
H0390,Girls Hostel B,432,Single,S0978
H0391,Boys Hostel A,353,Single,S0368
H0392,Girls Hostel B,237,Triple,S0154
H0393,Girls Hostel A,151,Single,S0617
H0394,Girls Hostel A,311,Double,S0905
H0395,Boys Hostel A,159,Single,S0541
H0396,Girls Hostel B,336,Single,S0738
H0397,Girls Hostel B,330,Single,S0648
H0398,Girls Hostel A,134,Triple,S0099
H0399,Girls Hostel B,162,Single,S0624
H0400,Boys Hostel A,378,Double,S0848
H0401,Girls Hostel A,335,Triple,S0061
H0402,Girls Hostel A,232,Single,S0925
H0403,Girls Hostel B,158,Single,S0054
H0404,Boys Hostel A,215,Double,S0837
H0405,Boys Hostel B,382,Triple,S0640
H0406,Girls Hostel A,409,Single,S0987
H0407,Girls Hostel B,104,Single,S0054
H0408,Girls Hostel A,304,Double,S0879
H0409,Girls Hostel A,121,Single,S0038
H0410,Girls Hostel A,333,Double,S0089
H0411,Girls Hostel A,192,Single,S0476
H0412,Girls Hostel B,203,Single,S0389
H0413,Girls Hostel B,358,Single,S0135
H0414,Girls Hostel A,430,Single,S0392
H0415,Boys Hostel B,338,Single,S0117
H0416,Boys Hostel B,157,Single,S0841
H0417,Girls Hostel B,412,Triple,S0782
H0418,Girls Hostel A,135,Double,S0416
H0419,Girls Hostel B,338,Double,S0085
H0420,Boys Hostel A,245,Double,S0348
H0421,Girls Hostel A,123,Single,S0829
H0422,Girls Hostel A,121,Triple,S0468
H0423,Boys Hostel B,406,Single,S0667
H0424,Boys Hostel B,414,Triple,S0528
H0425,Girls Hostel B,229,Triple,S0278
H0426,Girls Hostel B,384,Triple,S0382
H0427,Boys Hostel B,364,Single,S0690
H0428,Boys Hostel A,422,Double,S0488
H0429,Boys Hostel B,149,Double,S0277
H0430,Boys Hostel B,111,Triple,S0647
H0431,Girls Hostel B,244,Single,S0752
H0432,Boys Hostel B,266,Triple,S0851
H0433,Boys Hostel B,169,Double,S0866
H0434,Girls Hostel A,356,Double,S0578
H0435,Girls Hostel A,255,Double,S0597
H0436,Boys Hostel B,144,Triple,S0711
H0437,Boys Hostel A,446,Double,S0599
H0438,Girls Hostel A,309,Triple,S0289
H0439,Girls Hostel A,131,Double,S0796
H0440,Girls Hostel A,282,Triple,S0677
H0441,Boys Hostel B,236,Single,S0854
H0442,Boys Hostel B,272,Double,S0525
H0443,Girls Hostel B,224,Single,S0742
H0444,Girls Hostel B,245,Single,S0007
H0445,Girls Hostel B,144,Double,S0718
H0446,Boys Hostel B,118,Single,S0798
H0447,Boys Hostel B,415,Single,S0489
H0448,Girls Hostel A,317,Single,S0088
H0449,Girls Hostel A,373,Single,S0455
H0450,Boys Hostel B,145,Triple,S0568
H0451,Girls Hostel A,193,Single,S0505
H0452,Boys Hostel B,292,Single,S0278
H0453,Boys Hostel A,310,Triple,S0177
H0454,Girls Hostel B,354,Double,S0833
H0455,Boys Hostel A,237,Single,S0681
H0456,Girls Hostel B,435,Double,S0752
H0457,Boys Hostel B,427,Single,S0635
H0458,Boys Hostel A,128,Triple,S0028
H0459,Boys Hostel B,158,Double,S0489
H0460,Girls Hostel A,358,Triple,S0389
H0461,Boys Hostel A,284,Single,S0044
H0462,Girls Hostel A,394,Single,S0750
H0463,Girls Hostel A,115,Triple,S0308
H0464,Girls Hostel A,146,Triple,S0567
H0465,Girls Hostel A,150,Double,S0920
H0466,Girls Hostel B,164,Triple,S0208
H0467,Boys Hostel A,132,Triple,S0303
H0468,Girls Hostel A,263,Triple,S0820
H0469,Boys Hostel A,406,Double,S0607
H0470,Boys Hostel A,305,Double,S0948
H0471,Girls Hostel B,219,Triple,S0661
H0472,Boys Hostel A,298,Single,S0744
H0473,Girls Hostel A,252,Triple,S0956
H0474,Girls Hostel B,262,Double,S0762
H0475,Boys Hostel A,182,Triple,S0294
H0476,Girls Hostel A,381,Single,S0108
H0477,Boys Hostel B,346,Double,S0061
H0478,Girls Hostel A,239,Double,S0605
H0479,Girls Hostel A,407,Double,S0768
H0480,Boys Hostel A,363,Triple,S0240
H0481,Girls Hostel A,281,Double,S0979
H0482,Boys Hostel B,143,Single,S0909
H0483,Boys Hostel B,151,Single,S0646
H0484,Boys Hostel B,435,Triple,S0998
H0485,Boys Hostel B,285,Triple,S0058
H0486,Boys Hostel A,223,Triple,S0340
H0487,Girls Hostel B,423,Triple,S0719
H0488,Boys Hostel A,292,Double,S0310
H0489,Girls Hostel A,357,Single,S0645
H0490,Girls Hostel A,281,Triple,S0907
H0491,Boys Hostel B,253,Single,S0813
H0492,Girls Hostel A,281,Triple,S0697
H0493,Boys Hostel A,231,Triple,S0324
H0494,Boys Hostel A,229,Double,S0726
H0495,Boys Hostel B,312,Double,S0162
H0496,Girls Hostel A,174,Single,S0021
H0497,Boys Hostel A,162,Single,S0719
H0498,Boys Hostel B,445,Double,S0988
H0499,Girls Hostel B,149,Double,S0589
H0500,Girls Hostel A,373,Triple,S0542
