result_id,student_id,subject_id,marks,grade,year,semester
151,S0680,SUB0411,64,D,2025,7
152,S0473,SUB0015,72,F,2025,3
153,S0980,SUB0553,61,A,2026,3
154,S0202,SUB0992,84,D,2023,3
155,S0033,SUB0077,77,A,2026,4
156,S0105,SUB0751,52,B+,2024,4
157,S0491,SUB0814,93,A+,2026,3
158,S0361,SUB0408,42,C,2022,2
159,S0553,SUB0725,69,D,2024,2
160,S0279,SUB0892,46,B+,2022,6
161,S0160,SUB0038,54,C,2023,1
162,S0640,SUB0642,37,B,2024,2
163,S0629,SUB0855,41,A,2024,2
164,S0670,SUB0750,77,C,2023,3
165,S0521,SUB0967,56,F,2023,4
166,S0739,SUB0756,66,D,2023,1
167,S0970,SUB0608,91,B,2023,7
168,S0828,SUB0604,51,F,2025,3
169,S0798,SUB0765,72,A,2025,3
170,S0365,SUB1000,37,F,2022,3
171,S0473,SUB0640,74,B,2025,7
172,S0585,SUB0094,89,B+,2022,2
173,S0648,SUB0169,42,D,2022,3
174,S0171,SUB0506,73,D,2026,3
175,S0303,SUB0016,78,A+,2022,4
176,S0088,SUB0010,90,D,2023,8
177,S0163,SUB0143,96,C,2022,2
178,S0018,SUB0766,37,C,2026,4
179,S0449,SUB0918,69,D,2026,7
180,S0350,SUB0458,37,A+,2023,5
181,S0623,SUB0132,51,F,2023,2
182,S0464,SUB0917,69,D,2026,7
183,S0138,SUB0440,50,C,2024,4
184,S0022,SUB0776,51,B,2022,4
185,S0641,SUB0840,46,B,2025,7
186,S0467,SUB0941,97,B,2026,3
187,S0681,SUB0207,78,A+,2026,2
188,S0380,SUB0518,60,B+,2026,2
189,S0315,SUB0143,50,B,2023,2
190,S0392,SUB0333,45,D,2025,3
191,S0851,SUB0813,50,C,2022,5
192,S0026,SUB0650,36,D,2025,4
193,S0039,SUB0354,100,B+,2023,1
194,S0488,SUB0928,44,B,2022,8
195,S0276,SUB0330,72,D,2023,6
196,S0052,SUB0639,95,C,2025,7
197,S0163,SUB0977,37,B,2026,3
198,S0178,SUB0988,68,D,2023,8
199,S0666,SUB0892,79,D,2026,2
200,S0408,SUB0438,35,F,2023,1
201,S0447,SUB0855,51,A+,2022,6
202,S0388,SUB0057,77,C,2022,6
203,S0639,SUB0532,75,A,2025,3
204,S0554,SUB0034,52,D,2022,5
205,S0866,SUB0820,65,A,2026,7
206,S0005,SUB0692,49,D,2022,3
207,S0240,SUB0359,52,B+,2023,6
208,S0416,SUB0064,36,D,2023,4
209,S0486,SUB0935,58,F,2024,1
210,S0796,SUB0329,68,D,2022,6
211,S0344,SUB0579,40,B,2026,1
212,S0021,SUB0192,45,B,2022,4
213,S0626,SUB0024,81,A+,2023,8
214,S0949,SUB0769,62,C,2022,2
215,S0935,SUB0839,57,A,2026,7
216,S0148,SUB0449,37,B,2022,2
217,S0930,SUB0514,50,C,2024,2
218,S0388,SUB0533,77,A+,2026,4
219,S0868,SUB0726,92,A+,2023,8
220,S0832,SUB0568,48,A+,2023,4
221,S0863,SUB0877,36,A,2022,6
222,S0641,SUB0069,40,D,2022,8
223,S0624,SUB0059,79,B+,2026,2
224,S0874,SUB0596,79,B,2023,7
225,S0779,SUB0674,52,F,2026,5
226,S0559,SUB0696,80,B,2024,5
227,S0372,SUB0305,61,A,2022,8
228,S0071,SUB0523,95,D,2023,1
229,S0155,SUB0561,80,F,2022,8
230,S0633,SUB0543,35,C,2024,1
231,S0591,SUB0232,100,B+,2022,4
232,S0931,SUB0392,72,B,2023,7
233,S0832,SUB0875,58,B+,2025,5
234,S0018,SUB0630,59,C,2026,7
235,S0034,SUB0975,49,B,2022,4
236,S0857,SUB0184,89,A+,2022,5
237,S0022,SUB0660,45,A+,2023,3
238,S0081,SUB0476,65,F,2023,6
239,S0538,SUB0352,40,B,2023,3
240,S0192,SUB0762,54,F,2022,8
241,S0135,SUB0630,58,B+,2025,1
242,S0781,SUB0871,52,B,2026,3
243,S0161,SUB0083,36,B+,2025,1
244,S0274,SUB0856,47,A+,2022,7
245,S0371,SUB0895,79,A+,2023,4
246,S0237,SUB0581,76,B,2026,3
247,S0346,SUB0043,62,A+,2023,6
248,S0916,SUB0922,61,C,2026,3
249,S0895,SUB0365,63,A,2022,5
250,S0098,SUB0057,87,C,2022,1
251,S0999,SUB0296,80,F,2023,4
252,S0695,SUB0205,57,B,2023,1
253,S0022,SUB0110,80,C,2023,1
254,S0734,SUB0257,61,B,2023,2
255,S0700,SUB0867,74,D,2025,5
256,S0749,SUB0463,65,A+,2022,3
257,S0073,SUB0010,93,A,2022,4
258,S0880,SUB0966,88,B+,2024,6
259,S0564,SUB0683,76,A,2024,3
260,S0871,SUB0584,54,B+,2026,1
261,S0144,SUB0158,46,A+,2025,2
262,S0240,SUB0474,46,C,2025,4
263,S0277,SUB0271,53,D,2025,4
264,S0070,SUB0777,71,A,2022,3
265,S0237,SUB0804,57,B,2023,5
266,S0313,SUB0518,48,D,2023,8
267,S0075,SUB0505,57,A+,2024,6
268,S0206,SUB0608,88,C,2024,5
269,S0848,SUB0098,77,D,2023,1
270,S0736,SUB0025,55,B,2022,7
271,S0131,SUB0151,35,C,2024,3
272,S0463,SUB0913,51,F,2025,6
273,S0911,SUB0331,91,B,2024,8
274,S0452,SUB0638,88,B,2025,4
275,S0958,SUB0793,54,F,2026,8
276,S0611,SUB0832,89,B,2025,6
277,S0427,SUB0032,87,B,2025,8
278,S0210,SUB0889,35,F,2024,5
279,S0282,SUB0039,70,A,2025,3
280,S0207,SUB0088,97,B+,2026,3
281,S0605,SUB0043,37,F,2024,8
282,S0753,SUB0334,59,F,2024,1
283,S0023,SUB0026,65,B+,2023,8
284,S0858,SUB0378,84,B+,2023,7
285,S0743,SUB0137,48,A,2025,6
286,S0975,SUB0526,93,B,2023,4
287,S0903,SUB0616,67,B+,2024,4
288,S0494,SUB0038,43,C,2023,2
289,S0866,SUB0756,41,F,2022,6
290,S0529,SUB0360,65,F,2024,6
291,S0904,SUB0033,74,A,2023,4
292,S0867,SUB0953,66,B+,2022,4
293,S0380,SUB0488,89,A+,2023,6
294,S0937,SUB0318,95,F,2022,3
295,S0197,SUB0419,59,A+,2025,4
296,S0114,SUB0919,63,D,2025,2
297,S0753,SUB0468,72,C,2022,8
298,S0018,SUB0916,42,A,2022,8
299,S0271,SUB0831,36,F,2022,8
300,S0549,SUB0356,59,B,2022,1
301,S0083,SUB0474,90,C,2022,8
302,S0139,SUB0029,43,C,2024,3
303,S0835,SUB0957,74,A,2025,1
304,S0652,SUB0566,99,F,2023,6
305,S0484,SUB0992,53,B+,2026,2
306,S0494,SUB0259,80,F,2024,1
307,S0867,SUB0895,74,F,2023,4
308,S0644,SUB0352,50,A,2026,8
309,S0933,SUB0757,48,B+,2022,5
310,S0128,SUB0122,37,B,2025,3
311,S0834,SUB0769,92,A,2026,7
312,S0936,SUB0233,62,A,2026,4
313,S0817,SUB0525,51,A,2025,2
314,S0216,SUB0911,36,F,2026,2
315,S0308,SUB0548,95,A+,2025,6
316,S0181,SUB0595,41,B,2022,2
317,S0249,SUB0883,67,A,2025,3
318,S0974,SUB0959,36,A,2024,1
319,S0978,SUB0005,65,C,2026,1
320,S0541,SUB0112,60,B,2022,7
321,S0142,SUB0332,57,F,2025,2
322,S0588,SUB0797,81,A+,2023,2
323,S0188,SUB0303,87,B,2025,7
324,S0488,SUB0812,87,B,2024,2
325,S0511,SUB0976,90,B+,2023,6
326,S0944,SUB0837,97,B,2024,7
327,S0666,SUB0101,54,B,2025,8
328,S0295,SUB0703,67,B,2025,4
329,S0290,SUB0940,73,A+,2024,4
330,S0482,SUB0203,87,D,2026,8
331,S0401,SUB0746,93,F,2025,6
332,S0680,SUB0988,62,D,2024,6
333,S0506,SUB0956,67,C,2026,5
334,S0424,SUB0881,58,A+,2022,8
335,S0777,SUB0350,87,C,2023,3
336,S0665,SUB0534,65,B,2026,2
337,S0789,SUB0262,56,A+,2026,2
338,S0408,SUB0756,96,B+,2024,2
339,S0569,SUB0544,54,B+,2025,5
340,S0361,SUB0682,47,B,2026,8
341,S0011,SUB0649,35,B,2023,2
342,S0540,SUB0765,56,A,2022,3
343,S0375,SUB0863,59,F,2026,8
344,S0095,SUB0694,90,A,2025,5
345,S0964,SUB0495,40,A,2026,6
346,S0231,SUB0290,41,B,2025,6
347,S0704,SUB0490,49,A+,2022,4
348,S0448,SUB0306,49,A,2025,6
349,S0598,SUB0591,82,A,2025,2
350,S0841,SUB0493,57,D,2023,1
351,S0861,SUB0902,64,B+,2023,5
352,S0323,SUB0673,85,D,2026,3
353,S0349,SUB0668,35,D,2022,5
354,S0268,SUB0606,88,F,2025,1
355,S0434,SUB0980,79,F,2023,8
356,S0605,SUB0348,67,C,2026,2
357,S0850,SUB0337,77,C,2023,3
358,S0491,SUB0401,87,F,2025,3
359,S0883,SUB0063,44,D,2026,8
360,S0570,SUB0596,79,B,2022,8
361,S0876,SUB0913,76,A,2024,5
362,S0467,SUB0047,88,D,2023,1
363,S0882,SUB0817,69,C,2022,8
364,S0885,SUB0386,48,D,2024,7
365,S0547,SUB0535,77,A+,2026,1
366,S0453,SUB0810,79,B,2024,6
367,S0528,SUB0112,87,A+,2025,8
368,S0384,SUB0619,51,B,2026,4
369,S0043,SUB0848,69,B,2022,1
370,S0006,SUB0930,89,B,2025,3
371,S0345,SUB0183,40,D,2022,7
372,S0662,SUB0992,49,B+,2026,7
373,S0381,SUB0503,85,B,2023,6
374,S0351,SUB0411,89,A+,2024,4
375,S0008,SUB0388,50,A,2024,3
376,S0524,SUB0455,96,A,2022,8
377,S0131,SUB0789,87,A+,2023,2
378,S0976,SUB0692,50,B+,2022,6
379,S0310,SUB0228,93,C,2023,3
380,S0689,SUB0497,65,C,2026,2
381,S0813,SUB0797,77,A,2025,7
382,S0251,SUB0591,49,B+,2023,5
383,S0470,SUB0624,39,F,2023,4
384,S0423,SUB0422,95,F,2024,5
385,S0431,SUB0895,40,A,2022,3
386,S0204,SUB0816,70,A,2022,4
387,S0598,SUB0232,96,A,2022,7
388,S0126,SUB0742,93,B+,2024,4
389,S0412,SUB0427,45,A,2023,2
390,S0008,SUB0457,66,A+,2023,6
391,S0272,SUB0561,65,F,2025,4
392,S0240,SUB0223,54,A,2025,3
393,S0153,SUB0861,35,B+,2025,2
394,S0588,SUB0782,44,C,2025,3
395,S0645,SUB0868,99,C,2023,7
396,S0510,SUB0450,90,C,2022,7
397,S0658,SUB0213,78,F,2023,5
398,S0136,SUB0443,42,B,2022,4
399,S0902,SUB0428,47,A+,2025,5
400,S0208,SUB0938,48,C,2025,1
401,S0731,SUB0114,42,F,2022,4
402,S0877,SUB0385,36,D,2024,6
403,S0118,SUB0565,78,A,2023,2
404,S0027,SUB0995,75,B+,2024,7
405,S0899,SUB0729,98,A+,2024,2
406,S0605,SUB0034,63,B+,2022,5
407,S0640,SUB0113,96,D,2023,8
408,S0417,SUB0774,36,A+,2023,6
409,S0457,SUB0294,83,F,2026,1
410,S0381,SUB0828,48,D,2026,4
411,S0960,SUB0121,35,B+,2022,4
412,S0643,SUB0574,38,A+,2024,5
413,S0643,SUB0494,60,C,2024,1
414,S0142,SUB0083,39,D,2025,7
415,S0843,SUB0703,92,B,2024,1
416,S0603,SUB0718,67,F,2026,2
417,S0622,SUB0092,71,A,2026,7
418,S0711,SUB0640,96,C,2026,2
419,S0052,SUB0551,100,A+,2024,5
420,S0487,SUB0447,98,C,2026,2
421,S0289,SUB0714,78,B,2025,6
422,S0158,SUB0688,54,F,2026,2
423,S0658,SUB0077,81,F,2026,6
424,S0531,SUB0830,45,B+,2026,5
425,S0260,SUB0915,47,C,2024,2
426,S0493,SUB0699,89,A+,2026,3
427,S0703,SUB0757,58,A+,2026,1
428,S0576,SUB0751,51,F,2025,6
429,S0184,SUB0270,72,A,2023,2
430,S0091,SUB0309,68,F,2024,3
431,S0809,SUB0799,43,B+,2022,5
432,S0745,SUB0135,56,F,2025,6
433,S0615,SUB0826,88,C,2022,5
434,S0104,SUB0689,51,F,2025,4
435,S0899,SUB0214,76,A,2023,2
436,S0922,SUB0809,69,F,2023,8
437,S0574,SUB0082,71,A+,2026,4
438,S0220,SUB0169,61,F,2025,7
439,S0209,SUB0154,40,F,2023,7
440,S0127,SUB0692,66,F,2022,4
441,S0070,SUB0270,41,B,2026,3
442,S0185,SUB0046,91,F,2023,7
443,S0529,SUB0661,38,A,2025,5
444,S0128,SUB0720,93,C,2022,2
445,S0445,SUB0682,44,D,2023,7
446,S0006,SUB0002,35,C,2026,6
447,S0450,SUB0790,79,A,2026,7
448,S0079,SUB0653,68,A+,2024,1
449,S0029,SUB0787,47,C,2026,1
450,S0522,SUB0281,94,F,2024,1
451,S0098,SUB0308,65,A+,2025,8
452,S0594,SUB0573,39,F,2023,5
453,S0077,SUB0892,84,D,2023,4
454,S0912,SUB0699,96,D,2024,5
455,S0240,SUB0939,55,C,2025,8
456,S0433,SUB0338,73,F,2025,2
457,S0039,SUB0295,65,A+,2025,8
458,S0310,SUB0191,100,A+,2022,6
459,S0618,SUB0192,94,F,2025,7
460,S0922,SUB0195,73,C,2024,4
461,S0961,SUB0993,87,B,2023,7
462,S0329,SUB0831,84,A,2024,2
463,S0187,SUB0043,41,F,2023,5
464,S0636,SUB0776,86,A+,2025,2
465,S0860,SUB0308,80,D,2026,5
466,S0857,SUB0525,94,F,2023,7
467,S0817,SUB0365,63,F,2026,8
468,S0608,SUB0557,60,A,2023,4
469,S0809,SUB0936,66,B,2023,2
470,S0646,SUB0452,64,D,2025,8
471,S0081,SUB0330,41,D,2024,3
472,S0195,SUB0679,37,F,2025,2
473,S0315,SUB0237,94,F,2025,7
474,S0004,SUB0599,88,C,2024,7
475,S0167,SUB0921,52,B,2022,5
476,S0072,SUB0072,76,A,2022,7
477,S0817,SUB0259,47,C,2022,5
478,S0655,SUB0896,52,A+,2023,3
479,S0031,SUB0514,97,F,2022,2
480,S0766,SUB0315,45,A+,2025,5
481,S0466,SUB0169,80,F,2023,4
482,S0080,SUB0830,81,B,2025,6
483,S0966,SUB0141,93,F,2026,8
484,S0373,SUB0520,55,B+,2024,4
485,S0338,SUB0544,59,A,2026,3
486,S0803,SUB0702,80,A,2022,5
487,S0150,SUB0541,83,D,2026,6
488,S0461,SUB0897,48,A+,2026,5
489,S0849,SUB0006,41,C,2026,5
490,S0936,SUB0172,67,B,2025,4
491,S0239,SUB0871,45,F,2025,2
492,S0622,SUB0975,94,A,2023,6
493,S0309,SUB0877,92,B,2025,8
494,S0598,SUB0239,80,B+,2022,8
495,S0507,SUB0567,82,A,2022,3
496,S0764,SUB0202,63,C,2022,5
497,S0347,SUB0185,70,B+,2022,4
498,S0918,SUB0924,41,B+,2024,8
499,S0759,SUB0134,42,A+,2022,3
500,S0569,SUB0255,39,A+,2026,3
501,S0049,SUB0015,50,C,2022,5
502,S0496,SUB0737,47,D,2024,8
503,S0049,SUB0714,58,A,2026,5
504,S0143,SUB0563,56,A,2026,2
505,S0011,SUB0730,41,A+,2023,3
506,S0275,SUB0507,60,C,2025,2
507,S0067,SUB0996,76,B,2023,4
508,S0381,SUB0497,43,D,2024,4
509,S0930,SUB0091,45,B,2023,6
510,S0844,SUB0602,43,D,2026,2
511,S0813,SUB0517,38,B,2026,5
512,S0823,SUB0587,37,B+,2025,2
513,S0914,SUB0181,74,B,2022,5
514,S0709,SUB0668,66,D,2023,6
515,S0691,SUB0882,64,A,2025,4
516,S0206,SUB0083,83,A+,2026,3
517,S0781,SUB0859,75,B,2023,3
518,S0338,SUB0747,62,F,2025,2
519,S0569,SUB0098,84,C,2024,4
520,S0193,SUB0354,98,B+,2025,2
521,S0162,SUB0017,92,A,2026,3
522,S0103,SUB0232,38,C,2026,5
523,S0858,SUB0861,70,D,2022,2
524,S0940,SUB0223,42,F,2024,3
525,S0346,SUB0234,39,D,2024,7
526,S0769,SUB0177,86,C,2023,1
527,S0463,SUB0963,87,A,2022,4
528,S0166,SUB0357,69,B+,2023,3
529,S0931,SUB0330,45,D,2024,1
530,S0660,SUB0022,76,B,2023,6
531,S0188,SUB0736,45,B,2026,3
532,S0701,SUB0306,95,F,2022,7
533,S0697,SUB0438,51,A+,2025,4
534,S0753,SUB0484,79,B,2022,7
535,S0034,SUB0149,92,B,2025,4
536,S0797,SUB0699,58,A+,2024,2
537,S0715,SUB0789,74,D,2026,4
538,S0266,SUB0587,89,A,2024,3
539,S0086,SUB0608,57,B,2024,4
540,S0182,SUB0678,87,D,2026,2
541,S0308,SUB0239,73,A,2024,3
542,S0430,SUB0960,43,C,2026,1
543,S0655,SUB0498,44,A,2026,5
544,S0079,SUB0056,92,B+,2024,6
545,S0169,SUB0581,92,D,2026,5
546,S0587,SUB0979,94,A+,2024,4
547,S0102,SUB0935,88,C,2024,2
548,S0709,SUB0991,50,D,2023,3
549,S0936,SUB0391,77,C,2022,3
550,S0005,SUB0812,71,B+,2026,1
551,S0475,SUB0010,85,B,2024,7
552,S0119,SUB0538,60,C,2023,3
553,S0278,SUB0524,35,B+,2025,4
554,S0711,SUB0786,69,B,2025,4
555,S0619,SUB0342,95,A+,2023,5
556,S0771,SUB0502,75,B,2025,2
557,S0585,SUB0828,81,B,2026,5
558,S0740,SUB0301,65,A,2022,2
559,S0967,SUB0895,75,F,2025,8
560,S0817,SUB0947,40,B,2022,6
561,S0080,SUB0786,46,F,2025,3
562,S0241,SUB0163,50,F,2023,8
563,S0907,SUB0942,58,F,2024,6
564,S0929,SUB0784,97,D,2022,8
565,S0496,SUB0833,63,B,2025,7
566,S0257,SUB0153,39,A,2025,7
567,S0274,SUB0924,39,A,2023,2
568,S0831,SUB0564,60,F,2025,7
569,S0108,SUB0579,47,A+,2024,2
570,S0434,SUB0538,67,A+,2026,8
571,S0846,SUB0110,47,D,2025,6
572,S0199,SUB0819,90,C,2026,6
573,S0605,SUB0322,37,B+,2026,4
574,S0530,SUB0612,44,C,2026,8
575,S0600,SUB0589,60,C,2026,4
576,S0538,SUB0015,74,B+,2026,6
577,S0444,SUB0630,72,B,2023,5
578,S0565,SUB0674,61,C,2022,1
579,S0677,SUB0048,71,B+,2023,3
580,S0297,SUB0963,61,F,2022,2
581,S0961,SUB0071,43,C,2025,7
582,S0726,SUB0649,93,B,2024,1
583,S0950,SUB0944,90,C,2026,7
584,S0857,SUB0067,78,F,2023,3
585,S0900,SUB0601,62,F,2026,6
586,S0726,SUB0164,66,D,2023,1
587,S0187,SUB0867,57,C,2025,7
588,S0084,SUB0783,51,C,2026,7
589,S0224,SUB0725,60,B+,2025,3
590,S0815,SUB0031,57,A,2022,3
591,S0056,SUB0121,58,A,2022,8
592,S0848,SUB0018,71,D,2023,7
593,S0412,SUB0409,88,D,2022,6
594,S0139,SUB0906,42,C,2025,7
595,S0929,SUB0429,60,B,2025,6
596,S0892,SUB0393,82,A,2026,2
597,S0730,SUB0449,62,A,2022,5
598,S0143,SUB0011,61,B,2024,1
599,S0417,SUB0818,37,B,2023,7
600,S0334,SUB0696,96,D,2026,4
601,S0371,SUB0941,74,F,2024,5
602,S0824,SUB0877,82,B+,2024,5
603,S0527,SUB0991,54,A+,2022,1
604,S0662,SUB0534,38,F,2025,2
605,S0412,SUB0330,96,D,2022,1
606,S0449,SUB0799,68,B,2024,3
607,S0508,SUB0231,96,C,2023,8
608,S0996,SUB0136,96,A+,2025,7
609,S0007,SUB0957,79,C,2023,8
610,S0918,SUB0187,40,A,2023,1
611,S0684,SUB0897,35,B,2026,6
612,S0726,SUB0304,56,A,2026,2
613,S0971,SUB0123,93,B+,2024,4
614,S0825,SUB0266,37,D,2023,8
615,S0354,SUB0606,97,B,2024,4
616,S0018,SUB0442,86,B,2026,2
617,S0348,SUB0488,75,A,2026,3
618,S0066,SUB0030,63,F,2024,3
619,S0663,SUB0901,88,B,2025,3
620,S0476,SUB0164,98,B+,2022,7
621,S0846,SUB0710,68,C,2026,5
622,S0657,SUB0400,67,A+,2022,2
623,S0258,SUB0991,39,A+,2023,3
624,S0933,SUB0280,91,F,2025,5
625,S0396,SUB0334,59,D,2023,2
626,S0914,SUB0934,98,D,2024,2
627,S0155,SUB0533,85,A,2025,1
628,S0411,SUB0218,96,D,2024,7
629,S0678,SUB0125,55,B+,2024,7
630,S0705,SUB0876,39,C,2026,2
631,S0168,SUB0346,80,F,2026,8
632,S0964,SUB0401,86,F,2022,3
633,S0123,SUB0474,100,B,2025,6
634,S0128,SUB0881,82,A,2023,7
635,S0141,SUB0297,56,C,2023,3
636,S0114,SUB0411,59,A,2023,7
637,S0161,SUB0778,85,A,2025,5
638,S0797,SUB0878,86,F,2024,2
639,S0591,SUB0932,87,C,2023,4
640,S0677,SUB0554,42,F,2026,3
641,S0595,SUB0238,37,A+,2022,5
642,S0862,SUB0586,49,D,2026,7
643,S0111,SUB0151,51,A+,2025,2
644,S0174,SUB0549,35,B,2022,3
645,S0044,SUB0115,47,D,2025,3
646,S0403,SUB0933,39,D,2025,2
647,S0004,SUB0717,52,D,2022,2
648,S0176,SUB0878,90,B,2026,3
649,S0108,SUB0542,49,A+,2025,7
650,S0474,SUB0656,90,A+,2022,3
651,S0497,SUB0533,58,B+,2022,3
652,S0138,SUB0078,89,B+,2025,7
653,S0211,SUB0547,82,A+,2022,5
654,S0713,SUB0923,43,D,2023,4
655,S0077,SUB0846,100,D,2025,5
656,S0053,SUB0803,48,B+,2023,8
